,date,value,name_B00MWU3EPY
132,2020-10-15,43302.0,Baby Bath
133,2020-10-16,43302.0,Baby Bath
134,2020-10-17,40794.0,Baby Bath
135,2020-10-18,40794.0,Baby Bath
136,2020-10-19,35218.0,Baby Bath
137,2020-10-20,35218.0,Baby Bath
138,2020-10-21,35218.0,Baby Bath
139,2020-10-22,35218.0,Baby Bath
140,2020-10-23,35218.0,Baby Bath
141,2020-10-24,40888.0,Baby Bath
142,2020-10-25,40888.0,Baby Bath
143,2020-10-26,40888.0,Baby Bath
144,2020-10-27,41556.0,Baby Bath
145,2020-10-28,41556.0,Baby Bath
146,2020-10-29,41556.0,Baby Bath
147,2020-10-30,41556.0,Baby Bath
148,2020-10-31,41556.0,Baby Bath
149,2020-11-01,41556.0,Baby Bath
150,2020-11-02,41556.0,Baby Bath
151,2020-11-03,41556.0,Baby Bath
152,2020-11-04,32724.0,Baby Bath
153,2020-11-05,32724.0,Baby Bath
154,2020-11-06,32724.0,Baby Bath
155,2020-11-07,48850.0,Baby Bath
156,2020-11-08,48850.0,Baby Bath
157,2020-11-09,48850.0,Baby Bath
158,2020-11-10,48850.0,Baby Bath
159,2020-11-11,48850.0,Baby Bath
160,2020-11-12,48850.0,Baby Bath
161,2020-11-13,48850.0,Baby Bath
162,2020-11-14,40352.0,Baby Bath
163,2020-11-15,39792.0,Baby Bath
164,2020-11-16,39792.0,Baby Bath
165,2020-11-17,39792.0,Baby Bath
166,2020-11-18,39792.0,Baby Bath
167,2020-11-19,39792.0,Baby Bath
168,2020-11-20,39792.0,Baby Bath
169,2020-11-21,39792.0,Baby Bath
170,2020-11-22,47272.0,Baby Bath
171,2020-11-23,47272.0,Baby Bath
172,2020-11-24,47272.0,Baby Bath
173,2020-11-25,72106.0,Baby Bath
174,2020-11-26,72106.0,Baby Bath
175,2020-11-27,72106.0,Baby Bath
176,2020-11-28,62436.0,Baby Bath
177,2020-11-29,62436.0,Baby Bath
178,2020-11-30,62436.0,Baby Bath
179,2020-12-01,62436.0,Baby Bath
180,2020-12-02,49075.0,Baby Bath
181,2020-12-03,49075.0,Baby Bath
182,2020-12-04,49075.0,Baby Bath
183,2020-12-05,74059.0,Baby Bath
184,2020-12-06,74059.0,Baby Bath
185,2020-12-07,74059.0,Baby Bath
186,2020-12-08,49656.0,Baby Bath
187,2020-12-09,49656.0,Baby Bath
188,2020-12-10,49656.0,Baby Bath
189,2020-12-11,49656.0,Baby Bath
190,2020-12-12,48373.0,Baby Bath
191,2020-12-13,48373.0,Baby Bath
192,2020-12-14,48373.0,Baby Bath
193,2020-12-15,48373.0,Baby Bath
194,2020-12-16,48373.0,Baby Bath
195,2020-12-17,38086.0,Baby Bath
196,2020-12-18,32607.0,Baby Bath
197,2020-12-19,32607.0,Baby Bath
198,2020-12-20,38513.0,Baby Bath
199,2020-12-21,38513.0,Baby Bath
200,2020-12-22,41608.0,Baby Bath
201,2020-12-23,41608.0,Baby Bath
202,2020-12-24,41608.0,Baby Bath
203,2020-12-25,41608.0,Baby Bath
204,2020-12-26,35708.0,Baby Bath
205,2020-12-27,35708.0,Baby Bath
206,2020-12-28,28954.0,Baby Bath
207,2020-12-29,28954.0,Baby Bath
208,2020-12-30,28954.0,Baby Bath
209,2020-12-31,28954.0,Baby Bath
210,2021-01-01,28954.0,Baby Bath
211,2021-01-02,47803.0,Baby Bath
212,2021-01-03,47803.0,Baby Bath
213,2021-01-04,47803.0,Baby Bath
214,2021-01-05,36222.0,Baby Bath
215,2021-01-06,36222.0,Baby Bath
216,2021-01-07,36636.0,Baby Bath
217,2021-01-08,36636.0,Baby Bath
218,2021-01-09,43986.0,Baby Bath
219,2021-01-10,43986.0,Baby Bath
220,2021-01-11,43986.0,Baby Bath
221,2021-01-12,42477.0,Baby Bath
222,2021-01-13,42477.0,Baby Bath
223,2021-01-14,42477.0,Baby Bath
224,2021-01-15,42477.0,Baby Bath
225,2021-01-16,40620.0,Baby Bath
226,2021-01-17,40620.0,Baby Bath
227,2021-01-18,40620.0,Baby Bath
228,2021-01-19,40620.0,Baby Bath
229,2021-01-20,43227.0,Baby Bath
230,2021-01-21,46618.0,Baby Bath
231,2021-01-22,46618.0,Baby Bath
232,2021-01-23,46762.0,Baby Bath
233,2021-01-24,35640.0,Baby Bath
234,2021-01-25,35640.0,Baby Bath
235,2021-01-26,31443.0,Baby Bath
236,2021-01-27,31443.0,Baby Bath
237,2021-01-28,31443.0,Baby Bath
238,2021-01-29,31443.0,Baby Bath
239,2021-01-30,39364.0,Baby Bath
240,2021-01-31,39364.0,Baby Bath
241,2021-02-01,39364.0,Baby Bath
242,2021-02-02,53514.0,Baby Bath
243,2021-02-03,53514.0,Baby Bath
244,2021-02-04,53514.0,Baby Bath
245,2021-02-05,53514.0,Baby Bath
246,2021-02-06,43611.0,Baby Bath
247,2021-02-07,43611.0,Baby Bath
248,2021-02-08,43611.0,Baby Bath
249,2021-02-09,43611.0,Baby Bath
250,2021-02-10,43611.0,Baby Bath
251,2021-02-11,43611.0,Baby Bath
252,2021-02-12,35426.0,Baby Bath
253,2021-02-13,38813.0,Baby Bath
254,2021-02-14,38813.0,Baby Bath
255,2021-02-15,38813.0,Baby Bath
256,2021-02-16,38813.0,Baby Bath
257,2021-02-17,38813.0,Baby Bath
258,2021-02-18,32668.0,Baby Bath
259,2021-02-19,32668.0,Baby Bath
260,2021-02-20,33201.0,Baby Bath
261,2021-02-21,31389.0,Baby Bath
262,2021-02-22,31389.0,Baby Bath
263,2021-02-23,31389.0,Baby Bath
264,2021-02-24,31389.0,Baby Bath
265,2021-02-25,31389.0,Baby Bath
266,2021-02-26,31389.0,Baby Bath
267,2021-02-27,44275.0,Baby Bath
268,2021-02-28,44275.0,Baby Bath
269,2021-03-01,44275.0,Baby Bath
270,2021-03-02,44275.0,Baby Bath
271,2021-03-03,44275.0,Baby Bath
272,2021-03-04,42771.0,Baby Bath
273,2021-03-05,42771.0,Baby Bath
274,2021-03-06,31413.0,Baby Bath
275,2021-03-07,31413.0,Baby Bath
276,2021-03-08,31413.0,Baby Bath
277,2021-03-09,41027.0,Baby Bath
278,2021-03-10,41027.0,Baby Bath
279,2021-03-11,35100.0,Baby Bath
280,2021-03-12,35100.0,Baby Bath
281,2021-03-13,41613.0,Baby Bath
282,2021-03-14,41613.0,Baby Bath
283,2021-03-15,41613.0,Baby Bath
284,2021-03-16,41613.0,Baby Bath
285,2021-03-17,41613.0,Baby Bath
286,2021-03-18,34732.0,Baby Bath
287,2021-03-19,34732.0,Baby Bath
288,2021-03-20,44756.0,Baby Bath
289,2021-03-21,44756.0,Baby Bath
290,2021-03-22,44756.0,Baby Bath
291,2021-03-23,44756.0,Baby Bath
292,2021-03-24,44756.0,Baby Bath
293,2021-03-25,44756.0,Baby Bath
294,2021-03-26,44756.0,Baby Bath
295,2021-03-27,44034.0,Baby Bath
296,2021-03-28,44034.0,Baby Bath
297,2021-03-29,44034.0,Baby Bath
298,2021-03-30,44034.0,Baby Bath
299,2021-03-31,44034.0,Baby Bath
300,2021-04-01,44034.0,Baby Bath
301,2021-04-02,44034.0,Baby Bath
302,2021-04-03,48955.0,Baby Bath
303,2021-04-04,48955.0,Baby Bath
304,2021-04-05,48955.0,Baby Bath
305,2021-04-06,48955.0,Baby Bath
306,2021-04-07,48955.0,Baby Bath
307,2021-04-08,59780.0,Baby Bath
308,2021-04-09,59780.0,Baby Bath
309,2021-04-10,59048.0,Baby Bath
310,2021-04-11,59048.0,Baby Bath
311,2021-04-12,59048.0,Baby Bath
312,2021-04-13,45387.0,Baby Bath
313,2021-04-14,45387.0,Baby Bath
314,2021-04-15,45387.0,Baby Bath
315,2021-04-16,45387.0,Baby Bath
316,2021-04-17,51544.0,Baby Bath
317,2021-04-18,51544.0,Baby Bath
318,2021-04-19,51544.0,Baby Bath
319,2021-04-20,51544.0,Baby Bath
320,2021-04-21,45595.0,Baby Bath
321,2021-04-22,44322.0,Baby Bath
322,2021-04-23,45826.0,Baby Bath
323,2021-04-24,61568.0,Baby Bath
324,2021-04-25,61568.0,Baby Bath
325,2021-04-26,61568.0,Baby Bath
326,2021-04-27,61568.0,Baby Bath
327,2021-04-28,47406.0,Baby Bath
328,2021-04-29,47406.0,Baby Bath
329,2021-04-30,47406.0,Baby Bath
330,2021-05-01,39121.0,Baby Bath
331,2021-05-02,39121.0,Baby Bath
332,2021-05-03,39121.0,Baby Bath
333,2021-05-04,44098.0,Baby Bath
334,2021-05-05,44098.0,Baby Bath
335,2021-05-06,44098.0,Baby Bath
336,2021-05-07,51375.0,Baby Bath
337,2021-05-08,57658.0,Baby Bath
338,2021-05-09,57658.0,Baby Bath
339,2021-05-10,57658.0,Baby Bath
340,2021-05-11,59589.0,Baby Bath
341,2021-05-12,59589.0,Baby Bath
342,2021-05-13,59589.0,Baby Bath
343,2021-05-14,59589.0,Baby Bath
344,2021-05-15,59589.0,Baby Bath
345,2021-05-16,59589.0,Baby Bath
346,2021-05-17,49739.0,Baby Bath
347,2021-05-18,49739.0,Baby Bath
348,2021-05-19,49739.0,Baby Bath
349,2021-05-20,56611.0,Baby Bath
350,2021-05-21,51837.0,Baby Bath
351,2021-05-22,53392.0,Baby Bath
352,2021-05-23,53392.0,Baby Bath
