,date,value,name_B08J9PR8GP
0,2020-09-20,18844.0,Bath Rugs
1,2020-09-21,18844.0,Bath Rugs
2,2020-09-22,29745.0,Bath Rugs
3,2020-09-23,29745.0,Bath Rugs
4,2020-09-24,29745.0,Bath Rugs
5,2020-09-25,29745.0,Bath Rugs
6,2020-09-26,33091.0,Bath Rugs
7,2020-09-27,33091.0,Bath Rugs
8,2020-09-28,33091.0,Bath Rugs
9,2020-09-29,29014.0,Bath Rugs
10,2020-09-30,14835.0,Bath Rugs
11,2020-10-01,14835.0,Bath Rugs
12,2020-10-02,14835.0,Bath Rugs
13,2020-10-03,14835.0,Bath Rugs
14,2020-10-04,14835.0,Bath Rugs
15,2020-10-05,14835.0,Bath Rugs
16,2020-10-06,30681.0,Bath Rugs
17,2020-10-07,30681.0,Bath Rugs
18,2020-10-08,30681.0,Bath Rugs
19,2020-10-09,27019.0,Bath Rugs
20,2020-10-10,27019.0,Bath Rugs
21,2020-10-11,27019.0,Bath Rugs
22,2020-10-12,25141.0,Bath Rugs
23,2020-10-13,25141.0,Bath Rugs
24,2020-10-14,7305.0,Bath Rugs
25,2020-10-15,7790.0,Bath Rugs
26,2020-10-16,9758.0,Bath Rugs
27,2020-10-17,10516.0,Bath Rugs
28,2020-10-18,10516.0,Bath Rugs
29,2020-10-19,11867.0,Bath Rugs
30,2020-10-20,11218.0,Bath Rugs
31,2020-10-21,11218.0,Bath Rugs
32,2020-10-22,11792.0,Bath Rugs
33,2020-10-23,10651.0,Bath Rugs
34,2020-10-24,9979.0,Bath Rugs
35,2020-10-25,9093.0,Bath Rugs
36,2020-10-26,10048.0,Bath Rugs
37,2020-10-27,13496.0,Bath Rugs
38,2020-10-28,13496.0,Bath Rugs
39,2020-10-29,13496.0,Bath Rugs
40,2020-10-30,13708.0,Bath Rugs
41,2020-10-31,13708.0,Bath Rugs
42,2020-11-01,11013.0,Bath Rugs
43,2020-11-02,13312.0,Bath Rugs
44,2020-11-03,13775.0,Bath Rugs
45,2020-11-04,13556.0,Bath Rugs
46,2020-11-05,13556.0,Bath Rugs
47,2020-11-06,14384.0,Bath Rugs
48,2020-11-07,14823.0,Bath Rugs
49,2020-11-08,14823.0,Bath Rugs
50,2020-11-09,14608.0,Bath Rugs
51,2020-11-10,14608.0,Bath Rugs
52,2020-11-11,37487.0,Bath Rugs
53,2020-11-12,1227212.0,Bath Rugs
54,2020-11-13,55407.0,Bath Rugs
55,2020-11-14,55407.0,Bath Rugs
56,2020-11-15,55407.0,Bath Rugs
57,2020-11-16,17792.0,Bath Rugs
58,2020-11-17,17792.0,Bath Rugs
59,2020-11-18,19867.0,Bath Rugs
60,2020-11-19,19867.0,Bath Rugs
61,2020-11-20,14507.0,Bath Rugs
62,2020-11-21,14507.0,Bath Rugs
63,2020-11-22,14507.0,Bath Rugs
64,2020-11-23,14507.0,Bath Rugs
65,2020-11-24,21114.0,Bath Rugs
66,2020-11-25,19652.0,Bath Rugs
67,2020-11-26,19652.0,Bath Rugs
68,2020-11-27,13641.0,Bath Rugs
69,2020-11-28,13641.0,Bath Rugs
70,2020-11-29,13641.0,Bath Rugs
71,2020-11-30,19704.0,Bath Rugs
72,2020-12-01,12745.0,Bath Rugs
73,2020-12-02,12745.0,Bath Rugs
74,2020-12-03,14259.0,Bath Rugs
75,2020-12-04,15230.0,Bath Rugs
76,2020-12-05,13637.0,Bath Rugs
77,2020-12-06,12343.0,Bath Rugs
78,2020-12-07,13305.0,Bath Rugs
79,2020-12-08,12106.0,Bath Rugs
80,2020-12-09,11243.0,Bath Rugs
81,2020-12-10,11622.0,Bath Rugs
82,2020-12-11,10803.0,Bath Rugs
83,2020-12-12,12088.0,Bath Rugs
84,2020-12-13,12115.0,Bath Rugs
85,2020-12-14,12115.0,Bath Rugs
86,2020-12-15,9529.0,Bath Rugs
87,2020-12-16,9529.0,Bath Rugs
88,2020-12-17,9644.0,Bath Rugs
89,2020-12-18,7735.0,Bath Rugs
90,2020-12-19,6500.0,Bath Rugs
91,2020-12-20,6500.0,Bath Rugs
92,2020-12-21,6276.0,Bath Rugs
93,2020-12-22,4279.0,Bath Rugs
94,2020-12-23,5098.0,Bath Rugs
95,2020-12-24,4378.0,Bath Rugs
96,2020-12-25,4857.0,Bath Rugs
97,2020-12-26,5039.0,Bath Rugs
98,2020-12-27,5039.0,Bath Rugs
99,2020-12-28,5552.0,Bath Rugs
100,2020-12-29,5552.0,Bath Rugs
101,2020-12-30,5552.0,Bath Rugs
102,2020-12-31,4074.0,Bath Rugs
103,2021-01-01,3772.0,Bath Rugs
104,2021-01-02,4507.0,Bath Rugs
105,2021-01-03,4947.0,Bath Rugs
106,2021-01-04,4578.0,Bath Rugs
