,date,value,name_B08175NMZQ
0,2020-01-02,952486.0,Shower Curtain Sets
1,2020-01-03,952486.0,Shower Curtain Sets
2,2020-01-04,952486.0,Shower Curtain Sets
3,2020-01-05,952486.0,Shower Curtain Sets
4,2020-01-06,952486.0,Shower Curtain Sets
5,2020-01-07,952486.0,Shower Curtain Sets
6,2020-01-08,952486.0,Shower Curtain Sets
7,2020-01-09,952486.0,Shower Curtain Sets
8,2020-01-10,952486.0,Shower Curtain Sets
9,2020-01-11,952486.0,Shower Curtain Sets
10,2020-01-12,952486.0,Shower Curtain Sets
11,2020-01-13,952486.0,Shower Curtain Sets
12,2020-01-14,952486.0,Shower Curtain Sets
13,2020-01-15,952486.0,Shower Curtain Sets
14,2020-01-16,952486.0,Shower Curtain Sets
15,2020-01-17,952486.0,Shower Curtain Sets
16,2020-01-18,952486.0,Shower Curtain Sets
17,2020-01-19,952486.0,Shower Curtain Sets
18,2020-01-20,952486.0,Shower Curtain Sets
19,2020-01-21,952486.0,Shower Curtain Sets
20,2020-01-22,1928594.0,Shower Curtain Sets
21,2020-01-23,1928594.0,Shower Curtain Sets
22,2020-01-24,1928594.0,Shower Curtain Sets
23,2020-01-25,1928594.0,Shower Curtain Sets
24,2020-01-26,1928594.0,Shower Curtain Sets
25,2020-01-27,1928594.0,Shower Curtain Sets
26,2020-01-28,1928594.0,Shower Curtain Sets
27,2020-01-29,1928594.0,Shower Curtain Sets
28,2020-01-30,1928594.0,Shower Curtain Sets
29,2020-01-31,1928594.0,Shower Curtain Sets
30,2020-02-01,1928594.0,Shower Curtain Sets
31,2020-02-02,1928594.0,Shower Curtain Sets
32,2020-02-03,1928594.0,Shower Curtain Sets
33,2020-02-04,2224205.0,Shower Curtain Sets
34,2020-02-05,2224205.0,Shower Curtain Sets
35,2020-02-06,2224205.0,Shower Curtain Sets
36,2020-02-07,2224205.0,Shower Curtain Sets
37,2020-02-08,2224205.0,Shower Curtain Sets
38,2020-02-09,2224205.0,Shower Curtain Sets
39,2020-02-10,2224205.0,Shower Curtain Sets
40,2020-02-11,2224205.0,Shower Curtain Sets
41,2020-02-12,2224205.0,Shower Curtain Sets
