,date,value,name_B086B717RV
164,2020-11-06,774.0,Training Pads
165,2020-11-07,927.0,Training Pads
166,2020-11-08,927.0,Training Pads
167,2020-11-09,927.0,Training Pads
168,2020-11-10,1096.0,Training Pads
169,2020-11-11,1177.0,Training Pads
170,2020-11-12,1177.0,Training Pads
171,2020-11-13,1150.0,Training Pads
172,2020-11-14,1150.0,Training Pads
173,2020-11-15,994.0,Training Pads
174,2020-11-16,994.0,Training Pads
175,2020-11-17,994.0,Training Pads
176,2020-11-18,968.0,Training Pads
177,2020-11-19,1189.0,Training Pads
178,2020-11-20,1189.0,Training Pads
179,2020-11-21,1189.0,Training Pads
180,2020-11-22,1209.0,Training Pads
181,2020-11-23,1209.0,Training Pads
182,2020-11-24,1503.0,Training Pads
183,2020-11-25,1503.0,Training Pads
184,2020-11-26,1552.0,Training Pads
185,2020-11-27,1552.0,Training Pads
186,2020-11-28,1552.0,Training Pads
187,2020-11-29,1695.0,Training Pads
188,2020-11-30,1695.0,Training Pads
189,2020-12-01,1408.0,Training Pads
190,2020-12-02,1408.0,Training Pads
191,2020-12-03,1151.0,Training Pads
192,2020-12-04,1151.0,Training Pads
193,2020-12-05,1151.0,Training Pads
194,2020-12-06,1623.0,Training Pads
195,2020-12-07,1623.0,Training Pads
196,2020-12-08,1827.0,Training Pads
197,2020-12-09,1827.0,Training Pads
198,2020-12-10,1633.0,Training Pads
199,2020-12-11,1633.0,Training Pads
200,2020-12-12,1633.0,Training Pads
201,2020-12-13,1688.0,Training Pads
202,2020-12-14,1743.0,Training Pads
203,2020-12-15,1743.0,Training Pads
204,2020-12-16,1743.0,Training Pads
205,2020-12-17,1529.0,Training Pads
206,2020-12-18,1437.0,Training Pads
207,2020-12-19,1437.0,Training Pads
208,2020-12-20,1437.0,Training Pads
209,2020-12-21,1506.0,Training Pads
210,2020-12-22,1475.0,Training Pads
211,2020-12-23,1475.0,Training Pads
212,2020-12-24,1381.0,Training Pads
213,2020-12-25,1381.0,Training Pads
214,2020-12-26,1160.0,Training Pads
215,2020-12-27,1160.0,Training Pads
216,2020-12-28,1160.0,Training Pads
217,2020-12-29,1160.0,Training Pads
218,2020-12-30,893.0,Training Pads
219,2020-12-31,893.0,Training Pads
220,2021-01-01,893.0,Training Pads
221,2021-01-02,956.0,Training Pads
222,2021-01-03,956.0,Training Pads
223,2021-01-04,956.0,Training Pads
224,2021-01-05,996.0,Training Pads
225,2021-01-06,996.0,Training Pads
226,2021-01-07,902.0,Training Pads
227,2021-01-08,451.0,Training Pads
228,2021-01-09,451.0,Training Pads
229,2021-01-10,905.0,Training Pads
230,2021-01-11,905.0,Training Pads
231,2021-01-12,905.0,Training Pads
232,2021-01-13,1038.0,Training Pads
233,2021-01-14,1094.0,Training Pads
234,2021-01-15,1094.0,Training Pads
235,2021-01-16,1183.0,Training Pads
236,2021-01-17,1183.0,Training Pads
237,2021-01-18,1265.0,Training Pads
238,2021-01-19,1253.0,Training Pads
239,2021-01-20,1253.0,Training Pads
240,2021-01-21,1253.0,Training Pads
241,2021-01-22,1253.0,Training Pads
242,2021-01-23,1126.0,Training Pads
243,2021-01-24,1126.0,Training Pads
244,2021-01-25,1126.0,Training Pads
245,2021-01-26,1207.0,Training Pads
246,2021-01-27,1207.0,Training Pads
247,2021-01-28,1207.0,Training Pads
248,2021-01-29,1058.0,Training Pads
249,2021-01-30,1058.0,Training Pads
250,2021-01-31,1082.0,Training Pads
251,2021-02-01,1082.0,Training Pads
252,2021-02-02,1082.0,Training Pads
253,2021-02-03,1154.0,Training Pads
254,2021-02-04,1154.0,Training Pads
255,2021-02-05,1154.0,Training Pads
256,2021-02-06,1008.0,Training Pads
257,2021-02-07,1109.0,Training Pads
258,2021-02-08,1168.0,Training Pads
259,2021-02-09,1168.0,Training Pads
260,2021-02-10,1168.0,Training Pads
261,2021-02-11,1215.0,Training Pads
262,2021-02-12,1292.0,Training Pads
263,2021-02-13,1292.0,Training Pads
264,2021-02-14,1094.0,Training Pads
265,2021-02-15,1094.0,Training Pads
266,2021-02-16,1094.0,Training Pads
267,2021-02-17,1094.0,Training Pads
268,2021-02-18,955.0,Training Pads
269,2021-02-19,955.0,Training Pads
270,2021-02-20,784.0,Training Pads
271,2021-02-21,784.0,Training Pads
272,2021-02-22,803.0,Training Pads
273,2021-02-23,803.0,Training Pads
274,2021-02-24,803.0,Training Pads
275,2021-02-25,727.0,Training Pads
276,2021-02-26,727.0,Training Pads
277,2021-02-27,727.0,Training Pads
278,2021-02-28,704.0,Training Pads
279,2021-03-01,704.0,Training Pads
280,2021-03-02,704.0,Training Pads
281,2021-03-03,636.0,Training Pads
282,2021-03-04,636.0,Training Pads
283,2021-03-05,616.0,Training Pads
284,2021-03-06,616.0,Training Pads
285,2021-03-07,704.0,Training Pads
286,2021-03-08,704.0,Training Pads
287,2021-03-09,643.0,Training Pads
288,2021-03-10,643.0,Training Pads
289,2021-03-11,607.0,Training Pads
290,2021-03-12,607.0,Training Pads
291,2021-03-13,607.0,Training Pads
292,2021-03-14,670.0,Training Pads
293,2021-03-15,670.0,Training Pads
294,2021-03-16,670.0,Training Pads
295,2021-03-17,701.0,Training Pads
296,2021-03-18,701.0,Training Pads
297,2021-03-19,569.0,Training Pads
298,2021-03-20,569.0,Training Pads
299,2021-03-21,571.0,Training Pads
