,date,value,name_B08PYXBT8H
0,2021-03-11,121090,Monitor Arms & Stands
1,2021-03-12,64015,Monitor Arms & Stands
2,2021-03-13,72656,Monitor Arms & Stands
3,2021-03-14,45738,Monitor Arms & Stands
4,2021-03-15,28220,Monitor Arms & Stands
5,2021-03-16,29584,Monitor Arms & Stands
6,2021-03-17,26500,Monitor Arms & Stands
7,2021-03-18,25744,Monitor Arms & Stands
8,2021-03-19,1801,Monitor Arms & Stands
9,2021-03-20,1868,Monitor Arms & Stands
10,2021-03-21,2053,Monitor Arms & Stands
11,2021-03-22,2020,Monitor Arms & Stands
12,2021-03-23,1480,Monitor Arms & Stands
13,2021-03-24,1434,Monitor Arms & Stands
14,2021-03-25,1473,Monitor Arms & Stands
15,2021-03-26,1330,Monitor Arms & Stands
16,2021-03-27,1213,Monitor Arms & Stands
17,2021-03-28,1276,Monitor Arms & Stands
18,2021-03-29,1438,Monitor Arms & Stands
19,2021-03-30,13663,Monitor Arms & Stands
20,2021-03-31,18013,Monitor Arms & Stands
21,2021-04-01,21638,Monitor Arms & Stands
22,2021-04-02,23929,Monitor Arms & Stands
23,2021-04-03,22847,Monitor Arms & Stands
24,2021-04-04,29444,Monitor Arms & Stands
25,2021-04-05,25406,Monitor Arms & Stands
26,2021-04-06,26299,Monitor Arms & Stands
27,2021-04-07,26877,Monitor Arms & Stands
28,2021-04-08,22384,Monitor Arms & Stands
29,2021-04-09,17659,Monitor Arms & Stands
30,2021-04-10,19478,Monitor Arms & Stands
31,2021-04-11,23911,Monitor Arms & Stands
32,2021-04-12,19511,Monitor Arms & Stands
33,2021-04-13,19887,Monitor Arms & Stands
34,2021-04-14,20260,Monitor Arms & Stands
35,2021-04-15,24538,Monitor Arms & Stands
36,2021-04-16,17181,Monitor Arms & Stands
37,2021-04-17,13205,Monitor Arms & Stands
38,2021-04-18,17697,Monitor Arms & Stands
39,2021-04-19,14511,Monitor Arms & Stands
40,2021-04-20,9546,Monitor Arms & Stands
41,2021-04-21,8657,Monitor Arms & Stands
42,2021-04-22,11641,Monitor Arms & Stands
43,2021-04-23,10283,Monitor Arms & Stands
44,2021-04-24,8910,Monitor Arms & Stands
45,2021-04-25,10792,Monitor Arms & Stands
46,2021-04-26,10430,Monitor Arms & Stands
47,2021-04-27,10905,Monitor Arms & Stands
48,2021-04-28,9889,Monitor Arms & Stands
49,2021-04-29,12533,Monitor Arms & Stands
50,2021-04-30,12097,Monitor Arms & Stands
51,2021-05-01,7840,Monitor Arms & Stands
52,2021-05-02,10603,Monitor Arms & Stands
53,2021-05-03,13346,Monitor Arms & Stands
54,2021-05-04,13649,Monitor Arms & Stands
55,2021-05-05,11140,Monitor Arms & Stands
56,2021-05-06,14124,Monitor Arms & Stands
57,2021-05-07,15629,Monitor Arms & Stands
58,2021-05-08,13864,Monitor Arms & Stands
59,2021-05-09,12852,Monitor Arms & Stands
60,2021-05-10,13145,Monitor Arms & Stands
61,2021-05-11,13047,Monitor Arms & Stands
62,2021-05-12,10563,Monitor Arms & Stands
63,2021-05-13,17449,Monitor Arms & Stands
64,2021-05-14,18098,Monitor Arms & Stands
65,2021-05-15,17416,Monitor Arms & Stands
66,2021-05-16,22437,Monitor Arms & Stands
67,2021-05-17,18571,Monitor Arms & Stands
68,2021-05-18,32661,Monitor Arms & Stands
69,2021-05-19,23583,Monitor Arms & Stands
70,2021-05-20,17279,Monitor Arms & Stands
71,2021-05-21,22943,Monitor Arms & Stands
72,2021-05-22,13876,Monitor Arms & Stands
73,2021-05-23,15172,Monitor Arms & Stands
74,2021-05-24,14788,Monitor Arms & Stands
75,2021-05-25,9116,Monitor Arms & Stands
76,2021-05-26,8871,Monitor Arms & Stands
77,2021-05-27,8296,Monitor Arms & Stands
78,2021-05-28,5437,Monitor Arms & Stands
79,2021-05-29,5875,Monitor Arms & Stands
80,2021-05-30,6446,Monitor Arms & Stands
81,2021-05-31,6157,Monitor Arms & Stands
82,2021-06-01,6652,Monitor Arms & Stands
83,2021-06-02,4710,Monitor Arms & Stands
84,2021-06-03,4723,Monitor Arms & Stands
85,2021-06-04,3901,Monitor Arms & Stands
86,2021-06-05,4393,Monitor Arms & Stands
87,2021-06-06,4163,Monitor Arms & Stands
88,2021-06-07,3593,Monitor Arms & Stands
89,2021-06-08,2957,Monitor Arms & Stands
90,2021-06-09,2967,Monitor Arms & Stands
91,2021-06-10,2668,Monitor Arms & Stands
92,2021-06-11,2923,Monitor Arms & Stands
93,2021-06-12,2029,Monitor Arms & Stands
94,2021-06-13,2298,Monitor Arms & Stands
95,2021-06-14,2973,Monitor Arms & Stands
96,2021-06-15,2465,Monitor Arms & Stands
97,2021-06-16,4375,Monitor Arms & Stands
98,2021-06-17,3887,Monitor Arms & Stands
99,2021-06-18,3089,Monitor Arms & Stands
100,2021-06-19,3294,Monitor Arms & Stands
101,2021-06-20,3498,Monitor Arms & Stands
102,2021-06-21,3519,Monitor Arms & Stands
103,2021-06-22,2317,Monitor Arms & Stands
104,2021-06-23,2775,Monitor Arms & Stands
105,2021-06-24,2644,Monitor Arms & Stands
106,2021-06-25,2706,Monitor Arms & Stands
107,2021-06-26,3098,Monitor Arms & Stands
108,2021-06-27,3062,Monitor Arms & Stands
109,2021-06-28,3654,Monitor Arms & Stands
110,2021-06-29,3253,Monitor Arms & Stands
111,2021-06-30,3676,Monitor Arms & Stands
112,2021-07-01,3586,Monitor Arms & Stands
113,2021-07-02,3113,Monitor Arms & Stands
114,2021-07-03,3213,Monitor Arms & Stands
115,2021-07-04,4216,Monitor Arms & Stands
116,2021-07-05,4456,Monitor Arms & Stands
117,2021-07-06,4015,Monitor Arms & Stands
118,2021-07-07,3924,Monitor Arms & Stands
119,2021-07-08,3944,Monitor Arms & Stands
120,2021-07-09,3766,Monitor Arms & Stands
121,2021-07-10,4503,Monitor Arms & Stands
122,2021-07-11,4716,Monitor Arms & Stands
