,date,value,name_B084FL1LVJ
0,2020-02-04,46357.0,Garment Covers
1,2020-02-05,46357.0,Garment Covers
2,2020-02-06,46357.0,Garment Covers
3,2020-02-07,46357.0,Garment Covers
4,2020-02-08,34260.0,Garment Covers
5,2020-02-09,34260.0,Garment Covers
6,2020-02-10,29955.0,Garment Covers
7,2020-02-11,29955.0,Garment Covers
8,2020-02-12,25023.0,Garment Covers
9,2020-02-13,25023.0,Garment Covers
10,2020-02-14,25023.0,Garment Covers
11,2020-02-15,25023.0,Garment Covers
12,2020-02-16,25023.0,Garment Covers
13,2020-02-17,22543.0,Garment Covers
14,2020-02-18,22543.0,Garment Covers
15,2020-02-19,22543.0,Garment Covers
16,2020-02-20,22543.0,Garment Covers
17,2020-02-21,22543.0,Garment Covers
18,2020-02-22,8508.0,Garment Covers
19,2020-02-23,8508.0,Garment Covers
20,2020-02-24,7761.0,Garment Covers
21,2020-02-25,20569.0,Garment Covers
22,2020-02-26,20569.0,Garment Covers
23,2020-02-27,20719.0,Garment Covers
24,2020-02-28,24324.0,Garment Covers
25,2020-02-29,24324.0,Garment Covers
26,2020-03-01,24324.0,Garment Covers
27,2020-03-02,21971.0,Garment Covers
28,2020-03-03,13445.0,Garment Covers
29,2020-03-04,13445.0,Garment Covers
30,2020-03-05,13445.0,Garment Covers
31,2020-03-06,13445.0,Garment Covers
32,2020-03-07,13445.0,Garment Covers
33,2020-03-08,14322.0,Garment Covers
34,2020-03-09,11522.0,Garment Covers
35,2020-03-10,6017.0,Garment Covers
36,2020-03-11,6017.0,Garment Covers
37,2020-03-12,6017.0,Garment Covers
38,2020-03-13,5972.0,Garment Covers
39,2020-03-14,5972.0,Garment Covers
40,2020-03-15,5972.0,Garment Covers
41,2020-03-16,10984.0,Garment Covers
42,2020-03-17,10984.0,Garment Covers
43,2020-03-18,10984.0,Garment Covers
44,2020-03-19,15726.0,Garment Covers
45,2020-03-20,40555.0,Garment Covers
46,2020-03-21,41908.0,Garment Covers
47,2020-03-22,41908.0,Garment Covers
48,2020-03-23,41908.0,Garment Covers
49,2020-03-24,36404.0,Garment Covers
50,2020-03-25,43671.0,Garment Covers
51,2020-03-26,43671.0,Garment Covers
52,2020-03-27,43671.0,Garment Covers
53,2020-03-28,43671.0,Garment Covers
54,2020-03-29,43671.0,Garment Covers
55,2020-03-30,65796.0,Garment Covers
56,2020-03-31,49198.0,Garment Covers
57,2020-04-01,64979.0,Garment Covers
58,2020-04-02,64979.0,Garment Covers
59,2020-04-03,64979.0,Garment Covers
60,2020-04-04,64979.0,Garment Covers
61,2020-04-05,64979.0,Garment Covers
62,2020-04-06,64979.0,Garment Covers
63,2020-04-07,64979.0,Garment Covers
64,2020-04-08,89629.0,Garment Covers
65,2020-04-09,89629.0,Garment Covers
66,2020-04-10,89629.0,Garment Covers
67,2020-04-11,89629.0,Garment Covers
68,2020-04-12,89629.0,Garment Covers
69,2020-04-13,89629.0,Garment Covers
70,2020-04-14,89629.0,Garment Covers
71,2020-04-15,89629.0,Garment Covers
72,2020-04-16,71292.0,Garment Covers
73,2020-04-17,71292.0,Garment Covers
74,2020-04-18,71292.0,Garment Covers
75,2020-04-19,71292.0,Garment Covers
76,2020-04-20,71292.0,Garment Covers
77,2020-04-21,89731.0,Garment Covers
78,2020-04-22,91559.0,Garment Covers
79,2020-04-23,82375.0,Garment Covers
80,2020-04-24,97470.0,Garment Covers
81,2020-04-25,97470.0,Garment Covers
82,2020-04-26,97470.0,Garment Covers
83,2020-04-27,97470.0,Garment Covers
84,2020-04-28,97470.0,Garment Covers
85,2020-04-29,97470.0,Garment Covers
86,2020-04-30,97470.0,Garment Covers
87,2020-05-01,97470.0,Garment Covers
88,2020-05-02,97470.0,Garment Covers
89,2020-05-03,95871.0,Garment Covers
90,2020-05-04,95871.0,Garment Covers
91,2020-05-05,90154.0,Garment Covers
92,2020-05-06,90154.0,Garment Covers
93,2020-05-07,76482.0,Garment Covers
94,2020-05-08,76482.0,Garment Covers
95,2020-05-09,76482.0,Garment Covers
96,2020-05-10,76482.0,Garment Covers
97,2020-05-11,79012.0,Garment Covers
98,2020-05-12,79012.0,Garment Covers
99,2020-05-13,79012.0,Garment Covers
100,2020-05-14,75443.0,Garment Covers
101,2020-05-15,75443.0,Garment Covers
102,2020-05-16,86667.0,Garment Covers
103,2020-05-17,86667.0,Garment Covers
104,2020-05-18,86667.0,Garment Covers
105,2020-05-19,70929.0,Garment Covers
106,2020-05-20,59242.0,Garment Covers
