,date,value,name_B07SKWX2KT
0,2019-09-28,114649.0,Runners
1,2019-09-29,158347.0,Runners
2,2019-09-30,158347.0,Runners
3,2019-10-01,209238.0,Runners
4,2019-10-02,276323.0,Runners
5,2019-10-03,312334.0,Runners
6,2019-10-04,149923.0,Runners
7,2019-10-05,164720.0,Runners
8,2019-10-06,192943.0,Runners
9,2019-10-07,132309.0,Runners
10,2019-10-08,173988.0,Runners
11,2019-10-09,173988.0,Runners
12,2019-10-10,154483.0,Runners
13,2019-10-11,193553.0,Runners
14,2019-10-12,216541.0,Runners
15,2019-10-13,216541.0,Runners
16,2019-10-14,216541.0,Runners
17,2019-10-15,291087.0,Runners
18,2019-10-16,291087.0,Runners
19,2019-10-17,291087.0,Runners
20,2019-10-18,202307.0,Runners
21,2019-10-19,235712.0,Runners
22,2019-10-20,235712.0,Runners
23,2019-10-21,235712.0,Runners
24,2019-10-22,315360.0,Runners
25,2019-10-23,71016.0,Runners
26,2019-10-24,135599.0,Runners
27,2019-10-25,170259.0,Runners
28,2019-10-26,63682.0,Runners
29,2019-10-27,63682.0,Runners
30,2019-10-28,63682.0,Runners
31,2019-10-29,38760.0,Runners
32,2019-10-30,40163.0,Runners
33,2019-10-31,40163.0,Runners
34,2019-11-01,50819.0,Runners
35,2019-11-02,74210.0,Runners
36,2019-11-03,74210.0,Runners
37,2019-11-04,74210.0,Runners
38,2019-11-05,45408.0,Runners
39,2019-11-06,93762.0,Runners
40,2019-11-07,93762.0,Runners
41,2019-11-08,79460.0,Runners
42,2019-11-09,47725.0,Runners
43,2019-11-10,57143.0,Runners
44,2019-11-11,57143.0,Runners
45,2019-11-12,57143.0,Runners
46,2019-11-13,51742.0,Runners
47,2019-11-14,83541.0,Runners
48,2019-11-15,59611.0,Runners
49,2019-11-16,46206.0,Runners
50,2019-11-17,42674.0,Runners
51,2019-11-18,60143.0,Runners
52,2019-11-19,60143.0,Runners
53,2019-11-20,55552.0,Runners
54,2019-11-21,42098.0,Runners
55,2019-11-22,61738.0,Runners
56,2019-11-23,95521.0,Runners
57,2019-11-24,122841.0,Runners
58,2019-11-25,75791.0,Runners
59,2019-11-26,75791.0,Runners
60,2019-11-27,84878.0,Runners
61,2019-11-28,107777.0,Runners
62,2019-11-29,83228.0,Runners
63,2019-11-30,100671.0,Runners
64,2019-12-01,59565.0,Runners
65,2019-12-02,71165.0,Runners
66,2019-12-03,73099.0,Runners
67,2019-12-04,106178.0,Runners
68,2019-12-05,147969.0,Runners
69,2019-12-06,168694.0,Runners
70,2019-12-07,137337.0,Runners
71,2019-12-08,174028.0,Runners
72,2019-12-09,109727.0,Runners
73,2019-12-10,111329.0,Runners
74,2019-12-11,106790.0,Runners
75,2019-12-12,123251.0,Runners
76,2019-12-13,100562.0,Runners
77,2019-12-14,152760.0,Runners
78,2019-12-15,121433.0,Runners
79,2019-12-16,172173.0,Runners
80,2019-12-17,200359.0,Runners
81,2019-12-18,201745.0,Runners
82,2019-12-19,204602.0,Runners
83,2019-12-20,143216.0,Runners
84,2019-12-21,114530.0,Runners
85,2019-12-22,134430.0,Runners
86,2019-12-23,150967.0,Runners
87,2019-12-24,92951.0,Runners
88,2019-12-25,101597.0,Runners
89,2019-12-26,133710.0,Runners
90,2019-12-27,63079.0,Runners
91,2019-12-28,119683.0,Runners
92,2019-12-29,109301.0,Runners
93,2019-12-30,113638.0,Runners
94,2019-12-31,113638.0,Runners
95,2020-01-01,71923.0,Runners
96,2020-01-02,84997.0,Runners
97,2020-01-03,99015.0,Runners
98,2020-01-04,131757.0,Runners
99,2020-01-05,106567.0,Runners
100,2020-01-06,106567.0,Runners
101,2020-01-07,72144.0,Runners
102,2020-01-08,72144.0,Runners
103,2020-01-09,46684.0,Runners
104,2020-01-10,84317.0,Runners
105,2020-01-11,85617.0,Runners
106,2020-01-12,122784.0,Runners
107,2020-01-13,122784.0,Runners
108,2020-01-14,114394.0,Runners
109,2020-01-15,86643.0,Runners
110,2020-01-16,50239.0,Runners
111,2020-01-17,95810.0,Runners
112,2020-01-18,111805.0,Runners
113,2020-01-19,111805.0,Runners
114,2020-01-20,111805.0,Runners
115,2020-01-21,86523.0,Runners
116,2020-01-22,86523.0,Runners
117,2020-01-23,86523.0,Runners
118,2020-01-24,83175.0,Runners
119,2020-01-25,83175.0,Runners
120,2020-01-26,139479.0,Runners
121,2020-01-27,139479.0,Runners
122,2020-01-28,183332.0,Runners
123,2020-01-29,183332.0,Runners
