,date,value,name_B01LMVWM06
0,2019-01-07,1687.0,Pre-Cut Quilt Squares
1,2019-01-08,1645.0,Pre-Cut Quilt Squares
2,2019-01-09,2039.0,Pre-Cut Quilt Squares
3,2019-01-10,2039.0,Pre-Cut Quilt Squares
4,2019-01-11,1510.0,Pre-Cut Quilt Squares
5,2019-01-12,2822.0,Pre-Cut Quilt Squares
6,2019-01-13,2693.0,Pre-Cut Quilt Squares
7,2019-01-14,2464.0,Pre-Cut Quilt Squares
8,2019-01-15,2464.0,Pre-Cut Quilt Squares
9,2019-01-16,2464.0,Pre-Cut Quilt Squares
10,2019-01-17,1963.0,Pre-Cut Quilt Squares
11,2019-01-18,2121.0,Pre-Cut Quilt Squares
12,2019-01-19,2119.0,Pre-Cut Quilt Squares
13,2019-01-20,2251.0,Pre-Cut Quilt Squares
14,2019-01-21,2084.0,Pre-Cut Quilt Squares
15,2019-01-22,1946.0,Pre-Cut Quilt Squares
16,2019-01-23,2031.0,Pre-Cut Quilt Squares
17,2019-01-24,2031.0,Pre-Cut Quilt Squares
18,2019-01-25,1771.0,Pre-Cut Quilt Squares
19,2019-01-26,1771.0,Pre-Cut Quilt Squares
20,2019-01-27,2452.0,Pre-Cut Quilt Squares
21,2019-01-28,2984.0,Pre-Cut Quilt Squares
22,2019-01-29,1411.0,Pre-Cut Quilt Squares
23,2019-01-30,1376.0,Pre-Cut Quilt Squares
24,2019-01-31,1156.0,Pre-Cut Quilt Squares
25,2019-02-01,1372.0,Pre-Cut Quilt Squares
26,2019-02-02,879.0,Pre-Cut Quilt Squares
27,2019-02-03,879.0,Pre-Cut Quilt Squares
28,2019-02-04,879.0,Pre-Cut Quilt Squares
29,2019-02-05,879.0,Pre-Cut Quilt Squares
30,2019-02-06,1265.0,Pre-Cut Quilt Squares
31,2019-02-07,1265.0,Pre-Cut Quilt Squares
32,2019-02-08,1265.0,Pre-Cut Quilt Squares
33,2019-02-09,1265.0,Pre-Cut Quilt Squares
34,2019-02-10,1186.0,Pre-Cut Quilt Squares
35,2019-02-11,890.0,Pre-Cut Quilt Squares
36,2019-02-12,715.0,Pre-Cut Quilt Squares
37,2019-02-13,1084.0,Pre-Cut Quilt Squares
38,2019-02-14,874.0,Pre-Cut Quilt Squares
39,2019-02-15,742.0,Pre-Cut Quilt Squares
40,2019-02-16,1238.0,Pre-Cut Quilt Squares
41,2019-02-17,951.0,Pre-Cut Quilt Squares
42,2019-02-18,754.0,Pre-Cut Quilt Squares
43,2019-02-19,888.0,Pre-Cut Quilt Squares
44,2019-02-20,888.0,Pre-Cut Quilt Squares
45,2019-02-21,860.0,Pre-Cut Quilt Squares
46,2019-02-22,688.0,Pre-Cut Quilt Squares
47,2019-02-23,688.0,Pre-Cut Quilt Squares
48,2019-02-24,1136.0,Pre-Cut Quilt Squares
49,2019-02-25,1261.0,Pre-Cut Quilt Squares
50,2019-02-26,1261.0,Pre-Cut Quilt Squares
51,2019-02-27,1261.0,Pre-Cut Quilt Squares
52,2019-02-28,1261.0,Pre-Cut Quilt Squares
53,2019-03-01,719.0,Pre-Cut Quilt Squares
54,2019-03-02,1058.0,Pre-Cut Quilt Squares
55,2019-03-03,687.0,Pre-Cut Quilt Squares
56,2019-03-04,687.0,Pre-Cut Quilt Squares
57,2019-03-05,606.0,Pre-Cut Quilt Squares
58,2019-03-06,606.0,Pre-Cut Quilt Squares
59,2019-03-07,488.0,Pre-Cut Quilt Squares
60,2019-03-08,637.0,Pre-Cut Quilt Squares
61,2019-03-09,637.0,Pre-Cut Quilt Squares
62,2019-03-10,670.0,Pre-Cut Quilt Squares
63,2019-03-11,500.0,Pre-Cut Quilt Squares
64,2019-03-12,440.0,Pre-Cut Quilt Squares
65,2019-03-13,389.0,Pre-Cut Quilt Squares
66,2019-03-14,389.0,Pre-Cut Quilt Squares
67,2019-03-15,472.0,Pre-Cut Quilt Squares
68,2019-03-16,472.0,Pre-Cut Quilt Squares
69,2019-03-17,472.0,Pre-Cut Quilt Squares
70,2019-03-18,472.0,Pre-Cut Quilt Squares
71,2019-03-19,684.0,Pre-Cut Quilt Squares
72,2019-03-20,684.0,Pre-Cut Quilt Squares
73,2019-03-21,684.0,Pre-Cut Quilt Squares
74,2019-03-22,546.0,Pre-Cut Quilt Squares
75,2019-03-23,731.0,Pre-Cut Quilt Squares
76,2019-03-24,830.0,Pre-Cut Quilt Squares
77,2019-03-25,872.0,Pre-Cut Quilt Squares
78,2019-03-26,924.0,Pre-Cut Quilt Squares
79,2019-03-27,925.0,Pre-Cut Quilt Squares
80,2019-03-28,588.0,Pre-Cut Quilt Squares
81,2019-03-29,588.0,Pre-Cut Quilt Squares
82,2019-03-30,706.0,Pre-Cut Quilt Squares
83,2019-03-31,667.0,Pre-Cut Quilt Squares
84,2019-04-01,483.0,Pre-Cut Quilt Squares
85,2019-04-02,483.0,Pre-Cut Quilt Squares
86,2019-04-03,579.0,Pre-Cut Quilt Squares
87,2019-04-04,815.0,Pre-Cut Quilt Squares
88,2019-04-05,668.0,Pre-Cut Quilt Squares
89,2019-04-06,597.0,Pre-Cut Quilt Squares
