,date,value,name_B0949JLGMN
0,2021-05-10,51036.0,Kiddie Pools
1,2021-05-11,46799.0,Kiddie Pools
2,2021-05-12,25618.0,Kiddie Pools
3,2021-05-13,25618.0,Kiddie Pools
4,2021-05-14,5062.0,Kiddie Pools
5,2021-05-15,3409.0,Kiddie Pools
6,2021-05-16,3409.0,Kiddie Pools
7,2021-05-17,3180.0,Kiddie Pools
8,2021-05-18,3180.0,Kiddie Pools
9,2021-05-19,2652.0,Kiddie Pools
10,2021-05-20,2264.0,Kiddie Pools
11,2021-05-21,1387.0,Kiddie Pools
12,2021-05-22,1177.0,Kiddie Pools
13,2021-05-23,1177.0,Kiddie Pools
14,2021-05-24,910.0,Kiddie Pools
15,2021-05-25,1067.0,Kiddie Pools
16,2021-05-26,1067.0,Kiddie Pools
17,2021-05-27,1559.0,Kiddie Pools
18,2021-05-28,1942.0,Kiddie Pools
19,2021-05-29,1942.0,Kiddie Pools
20,2021-05-30,2758.0,Kiddie Pools
21,2021-05-31,2758.0,Kiddie Pools
22,2021-06-01,1769.0,Kiddie Pools
23,2021-06-02,2161.0,Kiddie Pools
24,2021-06-03,2161.0,Kiddie Pools
25,2021-06-04,2161.0,Kiddie Pools
26,2021-06-05,479.0,Kiddie Pools
27,2021-06-06,479.0,Kiddie Pools
28,2021-06-07,653.0,Kiddie Pools
29,2021-06-08,606.0,Kiddie Pools
30,2021-06-09,606.0,Kiddie Pools
31,2021-06-10,1967.0,Kiddie Pools
32,2021-06-11,1967.0,Kiddie Pools
33,2021-06-12,2040.0,Kiddie Pools
34,2021-06-13,2040.0,Kiddie Pools
35,2021-06-14,845.0,Kiddie Pools
36,2021-06-15,845.0,Kiddie Pools
37,2021-06-16,1297.0,Kiddie Pools
38,2021-06-17,2142.0,Kiddie Pools
39,2021-06-18,2142.0,Kiddie Pools
40,2021-06-19,2142.0,Kiddie Pools
41,2021-06-20,1865.0,Kiddie Pools
42,2021-06-21,2888.0,Kiddie Pools
43,2021-06-22,2446.0,Kiddie Pools
44,2021-06-23,2446.0,Kiddie Pools
45,2021-06-24,3227.0,Kiddie Pools
46,2021-06-25,3227.0,Kiddie Pools
47,2021-06-26,4151.0,Kiddie Pools
48,2021-06-27,4605.0,Kiddie Pools
49,2021-06-28,4930.0,Kiddie Pools
50,2021-06-29,7543.0,Kiddie Pools
51,2021-06-30,9942.0,Kiddie Pools
52,2021-07-01,11163.0,Kiddie Pools
53,2021-07-02,11163.0,Kiddie Pools
54,2021-07-03,11163.0,Kiddie Pools
55,2021-07-04,21507.0,Kiddie Pools
56,2021-07-05,21507.0,Kiddie Pools
57,2021-07-06,33271.0,Kiddie Pools
58,2021-07-07,33271.0,Kiddie Pools
59,2021-07-08,33271.0,Kiddie Pools
60,2021-07-09,35697.0,Kiddie Pools
61,2021-07-10,5084.0,Kiddie Pools
