,date,value,name_B07SN3DSZS
0,2020-05-25,896.0,Vest Harnesses
1,2020-05-26,943.0,Vest Harnesses
2,2020-05-27,893.0,Vest Harnesses
3,2020-05-28,895.0,Vest Harnesses
4,2020-05-29,895.0,Vest Harnesses
5,2020-05-30,1100.0,Vest Harnesses
6,2020-05-31,1100.0,Vest Harnesses
7,2020-06-01,1092.0,Vest Harnesses
8,2020-06-02,1060.0,Vest Harnesses
9,2020-06-03,1075.0,Vest Harnesses
10,2020-06-04,979.0,Vest Harnesses
11,2020-06-05,979.0,Vest Harnesses
12,2020-06-06,979.0,Vest Harnesses
13,2020-06-07,1134.0,Vest Harnesses
14,2020-06-08,1134.0,Vest Harnesses
15,2020-06-09,1134.0,Vest Harnesses
16,2020-06-10,1202.0,Vest Harnesses
17,2020-06-11,1152.0,Vest Harnesses
18,2020-06-12,1163.0,Vest Harnesses
19,2020-06-13,1163.0,Vest Harnesses
20,2020-06-14,1163.0,Vest Harnesses
21,2020-06-15,1163.0,Vest Harnesses
22,2020-06-16,1198.0,Vest Harnesses
23,2020-06-17,1198.0,Vest Harnesses
24,2020-06-18,1440.0,Vest Harnesses
25,2020-06-19,1440.0,Vest Harnesses
26,2020-06-20,1440.0,Vest Harnesses
27,2020-06-21,1341.0,Vest Harnesses
28,2020-06-22,1341.0,Vest Harnesses
29,2020-06-23,1384.0,Vest Harnesses
30,2020-06-24,1573.0,Vest Harnesses
31,2020-06-25,1573.0,Vest Harnesses
32,2020-06-26,2148.0,Vest Harnesses
33,2020-06-27,2148.0,Vest Harnesses
34,2020-06-28,2148.0,Vest Harnesses
35,2020-06-29,2314.0,Vest Harnesses
36,2020-06-30,2314.0,Vest Harnesses
37,2020-07-01,2404.0,Vest Harnesses
38,2020-07-02,2471.0,Vest Harnesses
39,2020-07-03,2167.0,Vest Harnesses
40,2020-07-04,1570.0,Vest Harnesses
41,2020-07-05,1570.0,Vest Harnesses
42,2020-07-06,1896.0,Vest Harnesses
43,2020-07-07,1896.0,Vest Harnesses
44,2020-07-08,1632.0,Vest Harnesses
45,2020-07-09,1320.0,Vest Harnesses
46,2020-07-10,1320.0,Vest Harnesses
47,2020-07-11,1320.0,Vest Harnesses
48,2020-07-12,1538.0,Vest Harnesses
49,2020-07-13,1592.0,Vest Harnesses
50,2020-07-14,1592.0,Vest Harnesses
51,2020-07-15,1776.0,Vest Harnesses
52,2020-07-16,1776.0,Vest Harnesses
53,2020-07-17,1364.0,Vest Harnesses
54,2020-07-18,1706.0,Vest Harnesses
55,2020-07-19,1296.0,Vest Harnesses
56,2020-07-20,1336.0,Vest Harnesses
57,2020-07-21,1569.0,Vest Harnesses
58,2020-07-22,1569.0,Vest Harnesses
59,2020-07-23,1386.0,Vest Harnesses
60,2020-07-24,1437.0,Vest Harnesses
61,2020-07-25,1690.0,Vest Harnesses
62,2020-07-26,1690.0,Vest Harnesses
63,2020-07-27,1690.0,Vest Harnesses
64,2020-07-28,1317.0,Vest Harnesses
65,2020-07-29,1323.0,Vest Harnesses
66,2020-07-30,1323.0,Vest Harnesses
67,2020-07-31,1479.0,Vest Harnesses
68,2020-08-01,1341.0,Vest Harnesses
69,2020-08-02,1366.0,Vest Harnesses
70,2020-08-03,1442.0,Vest Harnesses
71,2020-08-04,1398.0,Vest Harnesses
72,2020-08-05,1342.0,Vest Harnesses
73,2020-08-06,1501.0,Vest Harnesses
74,2020-08-07,1369.0,Vest Harnesses
75,2020-08-08,1369.0,Vest Harnesses
76,2020-08-09,1369.0,Vest Harnesses
77,2020-08-10,1479.0,Vest Harnesses
78,2020-08-11,1503.0,Vest Harnesses
79,2020-08-12,1503.0,Vest Harnesses
80,2020-08-13,1642.0,Vest Harnesses
81,2020-08-14,1355.0,Vest Harnesses
82,2020-08-15,1355.0,Vest Harnesses
83,2020-08-16,1420.0,Vest Harnesses
84,2020-08-17,1415.0,Vest Harnesses
85,2020-08-18,1573.0,Vest Harnesses
86,2020-08-19,1573.0,Vest Harnesses
87,2020-08-20,1396.0,Vest Harnesses
88,2020-08-21,1396.0,Vest Harnesses
89,2020-08-22,1396.0,Vest Harnesses
90,2020-08-23,1561.0,Vest Harnesses
91,2020-08-24,1561.0,Vest Harnesses
92,2020-08-25,1580.0,Vest Harnesses
93,2020-08-26,1713.0,Vest Harnesses
94,2020-08-27,1718.0,Vest Harnesses
95,2020-08-28,1813.0,Vest Harnesses
96,2020-08-29,1620.0,Vest Harnesses
97,2020-08-30,1620.0,Vest Harnesses
98,2020-08-31,1620.0,Vest Harnesses
99,2020-09-01,1586.0,Vest Harnesses
100,2020-09-02,1448.0,Vest Harnesses
101,2020-09-03,1448.0,Vest Harnesses
102,2020-09-04,1448.0,Vest Harnesses
103,2020-09-05,1637.0,Vest Harnesses
104,2020-09-06,1637.0,Vest Harnesses
105,2020-09-07,1740.0,Vest Harnesses
106,2020-09-08,1538.0,Vest Harnesses
107,2020-09-09,1440.0,Vest Harnesses
108,2020-09-10,1489.0,Vest Harnesses
109,2020-09-11,1489.0,Vest Harnesses
110,2020-09-12,1587.0,Vest Harnesses
111,2020-09-13,1587.0,Vest Harnesses
112,2020-09-14,1587.0,Vest Harnesses
113,2020-09-15,1859.0,Vest Harnesses
114,2020-09-16,6271.0,Vest Harnesses
115,2020-09-17,4052.0,Vest Harnesses
116,2020-09-18,2291.0,Vest Harnesses
117,2020-09-19,2291.0,Vest Harnesses
118,2020-09-20,1768.0,Vest Harnesses
119,2020-09-21,1768.0,Vest Harnesses
120,2020-09-22,1959.0,Vest Harnesses
121,2020-09-23,1873.0,Vest Harnesses
122,2020-09-24,1849.0,Vest Harnesses
123,2020-09-25,1758.0,Vest Harnesses
124,2020-09-26,1998.0,Vest Harnesses
125,2020-09-27,1690.0,Vest Harnesses
126,2020-09-28,1785.0,Vest Harnesses
127,2020-09-29,1841.0,Vest Harnesses
128,2020-09-30,2192.0,Vest Harnesses
129,2020-10-01,2220.0,Vest Harnesses
130,2020-10-02,2220.0,Vest Harnesses
