,date,value,name_B08PHXD26L
0,2020-12-08,6803.0,All-Purpose Cleaners
1,2020-12-09,6803.0,All-Purpose Cleaners
2,2020-12-10,7272.0,All-Purpose Cleaners
3,2020-12-11,7272.0,All-Purpose Cleaners
4,2020-12-12,7272.0,All-Purpose Cleaners
5,2020-12-13,6582.0,All-Purpose Cleaners
6,2020-12-14,6582.0,All-Purpose Cleaners
7,2020-12-15,6582.0,All-Purpose Cleaners
8,2020-12-16,7090.0,All-Purpose Cleaners
9,2020-12-17,7090.0,All-Purpose Cleaners
10,2020-12-18,7090.0,All-Purpose Cleaners
11,2020-12-19,7090.0,All-Purpose Cleaners
12,2020-12-20,6052.0,All-Purpose Cleaners
13,2020-12-21,6052.0,All-Purpose Cleaners
14,2020-12-22,5722.0,All-Purpose Cleaners
15,2020-12-23,5722.0,All-Purpose Cleaners
16,2020-12-24,5722.0,All-Purpose Cleaners
17,2020-12-25,5107.0,All-Purpose Cleaners
18,2020-12-26,5107.0,All-Purpose Cleaners
19,2020-12-27,5107.0,All-Purpose Cleaners
20,2020-12-28,4707.0,All-Purpose Cleaners
21,2020-12-29,4707.0,All-Purpose Cleaners
22,2020-12-30,4747.0,All-Purpose Cleaners
23,2020-12-31,4747.0,All-Purpose Cleaners
24,2021-01-01,4747.0,All-Purpose Cleaners
25,2021-01-02,4599.0,All-Purpose Cleaners
26,2021-01-03,4599.0,All-Purpose Cleaners
27,2021-01-04,4054.0,All-Purpose Cleaners
28,2021-01-05,4711.0,All-Purpose Cleaners
29,2021-01-06,4711.0,All-Purpose Cleaners
30,2021-01-07,4711.0,All-Purpose Cleaners
31,2021-01-08,4711.0,All-Purpose Cleaners
32,2021-01-09,5174.0,All-Purpose Cleaners
33,2021-01-10,4154.0,All-Purpose Cleaners
34,2021-01-11,4154.0,All-Purpose Cleaners
35,2021-01-12,4844.0,All-Purpose Cleaners
36,2021-01-13,4844.0,All-Purpose Cleaners
37,2021-01-14,5117.0,All-Purpose Cleaners
38,2021-01-15,5117.0,All-Purpose Cleaners
39,2021-01-16,4364.0,All-Purpose Cleaners
40,2021-01-17,4968.0,All-Purpose Cleaners
41,2021-01-18,5402.0,All-Purpose Cleaners
42,2021-01-19,5402.0,All-Purpose Cleaners
43,2021-01-20,5601.0,All-Purpose Cleaners
44,2021-01-21,5601.0,All-Purpose Cleaners
45,2021-01-22,5886.0,All-Purpose Cleaners
