,date,value,name_B08DJP1WJV
0,2021-02-05,87478.0,Baking & Cookie Sheets
1,2021-02-06,117224.0,Baking & Cookie Sheets
2,2021-02-07,117224.0,Baking & Cookie Sheets
3,2021-02-08,117224.0,Baking & Cookie Sheets
4,2021-02-09,117224.0,Baking & Cookie Sheets
5,2021-02-10,91134.0,Baking & Cookie Sheets
6,2021-02-11,112925.0,Baking & Cookie Sheets
7,2021-02-12,118017.0,Baking & Cookie Sheets
8,2021-02-13,116584.0,Baking & Cookie Sheets
9,2021-02-14,116584.0,Baking & Cookie Sheets
10,2021-02-15,98745.0,Baking & Cookie Sheets
11,2021-02-16,51314.0,Baking & Cookie Sheets
12,2021-02-17,54543.0,Baking & Cookie Sheets
13,2021-02-18,54543.0,Baking & Cookie Sheets
14,2021-02-19,92720.0,Baking & Cookie Sheets
15,2021-02-20,92720.0,Baking & Cookie Sheets
16,2021-02-21,92720.0,Baking & Cookie Sheets
17,2021-02-22,108094.0,Baking & Cookie Sheets
18,2021-02-23,136722.0,Baking & Cookie Sheets
19,2021-02-24,170966.0,Baking & Cookie Sheets
20,2021-02-25,89892.0,Baking & Cookie Sheets
21,2021-02-26,89892.0,Baking & Cookie Sheets
22,2021-02-27,89892.0,Baking & Cookie Sheets
23,2021-02-28,89892.0,Baking & Cookie Sheets
24,2021-03-01,89892.0,Baking & Cookie Sheets
25,2021-03-02,41824.0,Baking & Cookie Sheets
26,2021-03-03,67551.0,Baking & Cookie Sheets
27,2021-03-04,67551.0,Baking & Cookie Sheets
28,2021-03-05,67551.0,Baking & Cookie Sheets
29,2021-03-06,67551.0,Baking & Cookie Sheets
30,2021-03-07,47209.0,Baking & Cookie Sheets
31,2021-03-08,36775.0,Baking & Cookie Sheets
32,2021-03-09,54388.0,Baking & Cookie Sheets
33,2021-03-10,52255.0,Baking & Cookie Sheets
34,2021-03-11,37024.0,Baking & Cookie Sheets
35,2021-03-12,37024.0,Baking & Cookie Sheets
36,2021-03-13,83667.0,Baking & Cookie Sheets
37,2021-03-14,83667.0,Baking & Cookie Sheets
38,2021-03-15,83667.0,Baking & Cookie Sheets
39,2021-03-16,40769.0,Baking & Cookie Sheets
40,2021-03-17,38573.0,Baking & Cookie Sheets
41,2021-03-18,49330.0,Baking & Cookie Sheets
42,2021-03-19,178431.0,Baking & Cookie Sheets
43,2021-03-20,200623.0,Baking & Cookie Sheets
44,2021-03-21,87795.0,Baking & Cookie Sheets
45,2021-03-22,87795.0,Baking & Cookie Sheets
46,2021-03-23,169855.0,Baking & Cookie Sheets
47,2021-03-24,181606.0,Baking & Cookie Sheets
48,2021-03-25,155059.0,Baking & Cookie Sheets
49,2021-03-26,88303.0,Baking & Cookie Sheets
50,2021-03-27,110768.0,Baking & Cookie Sheets
51,2021-03-28,110768.0,Baking & Cookie Sheets
52,2021-03-29,110768.0,Baking & Cookie Sheets
53,2021-03-30,84480.0,Baking & Cookie Sheets
54,2021-03-31,132368.0,Baking & Cookie Sheets
55,2021-04-01,123851.0,Baking & Cookie Sheets
56,2021-04-02,155996.0,Baking & Cookie Sheets
57,2021-04-03,195869.0,Baking & Cookie Sheets
58,2021-04-04,203721.0,Baking & Cookie Sheets
59,2021-04-05,78129.0,Baking & Cookie Sheets
60,2021-04-06,136560.0,Baking & Cookie Sheets
61,2021-04-07,81864.0,Baking & Cookie Sheets
62,2021-04-08,134764.0,Baking & Cookie Sheets
63,2021-04-09,128852.0,Baking & Cookie Sheets
