,date,value,name_B08PTNVV38
0,2020-12-08,2620.0,Accessories
1,2020-12-09,2662.0,Accessories
2,2020-12-10,2591.0,Accessories
3,2020-12-11,2368.0,Accessories
4,2020-12-12,2368.0,Accessories
5,2020-12-13,2368.0,Accessories
6,2020-12-14,3726.0,Accessories
7,2020-12-15,3726.0,Accessories
8,2020-12-16,3125.0,Accessories
9,2020-12-17,3125.0,Accessories
10,2020-12-18,3125.0,Accessories
11,2020-12-19,3758.0,Accessories
12,2020-12-20,3758.0,Accessories
13,2020-12-21,3984.0,Accessories
14,2020-12-22,3984.0,Accessories
15,2020-12-23,3799.0,Accessories
16,2020-12-24,3446.0,Accessories
17,2020-12-25,3446.0,Accessories
18,2020-12-26,3446.0,Accessories
19,2020-12-27,3328.0,Accessories
20,2020-12-28,2258.0,Accessories
21,2020-12-29,2066.0,Accessories
22,2020-12-30,2066.0,Accessories
23,2020-12-31,2066.0,Accessories
24,2021-01-01,1551.0,Accessories
25,2021-01-02,1551.0,Accessories
26,2021-01-03,1551.0,Accessories
27,2021-01-04,1826.0,Accessories
28,2021-01-05,1869.0,Accessories
29,2021-01-06,2299.0,Accessories
30,2021-01-07,1639.0,Accessories
31,2021-01-08,3556.0,Accessories
32,2021-01-09,3556.0,Accessories
33,2021-01-10,3556.0,Accessories
34,2021-01-11,4787.0,Accessories
35,2021-01-12,6009.0,Accessories
36,2021-01-13,6009.0,Accessories
37,2021-01-14,6009.0,Accessories
38,2021-01-15,6298.0,Accessories
39,2021-01-16,6298.0,Accessories
40,2021-01-17,6298.0,Accessories
41,2021-01-18,2686.0,Accessories
42,2021-01-19,2634.0,Accessories
43,2021-01-20,2634.0,Accessories
44,2021-01-21,2080.0,Accessories
45,2021-01-22,2080.0,Accessories
46,2021-01-23,2080.0,Accessories
47,2021-01-24,2048.0,Accessories
48,2021-01-25,2048.0,Accessories
49,2021-01-26,2322.0,Accessories
50,2021-01-27,2066.0,Accessories
51,2021-01-28,1946.0,Accessories
52,2021-01-29,1981.0,Accessories
53,2021-01-30,1652.0,Accessories
54,2021-01-31,2684.0,Accessories
55,2021-02-01,1350.0,Accessories
56,2021-02-02,1781.0,Accessories
57,2021-02-03,1634.0,Accessories
58,2021-02-04,1363.0,Accessories
59,2021-02-05,1363.0,Accessories
60,2021-02-06,1363.0,Accessories
61,2021-02-07,1931.0,Accessories
62,2021-02-08,1931.0,Accessories
63,2021-02-09,1931.0,Accessories
64,2021-02-10,1934.0,Accessories
65,2021-02-11,1934.0,Accessories
66,2021-02-12,1934.0,Accessories
67,2021-02-13,2051.0,Accessories
68,2021-02-14,2051.0,Accessories
69,2021-02-15,1611.0,Accessories
70,2021-02-16,1611.0,Accessories
71,2021-02-17,1615.0,Accessories
72,2021-02-18,1499.0,Accessories
73,2021-02-19,1265.0,Accessories
74,2021-02-20,1436.0,Accessories
75,2021-02-21,1436.0,Accessories
76,2021-02-22,1396.0,Accessories
77,2021-02-23,1396.0,Accessories
78,2021-02-24,1396.0,Accessories
79,2021-02-25,1129.0,Accessories
80,2021-02-26,1471.0,Accessories
81,2021-02-27,1471.0,Accessories
82,2021-02-28,1471.0,Accessories
83,2021-03-01,1925.0,Accessories
84,2021-03-02,1258.0,Accessories
85,2021-03-03,1474.0,Accessories
86,2021-03-04,1423.0,Accessories
87,2021-03-05,1423.0,Accessories
88,2021-03-06,2315.0,Accessories
89,2021-03-07,2315.0,Accessories
90,2021-03-08,4128.0,Accessories
91,2021-03-09,4128.0,Accessories
92,2021-03-10,4128.0,Accessories
93,2021-03-11,18698.0,Accessories
94,2021-03-12,18698.0,Accessories
95,2021-03-13,27347.0,Accessories
96,2021-03-14,27347.0,Accessories
97,2021-03-15,27347.0,Accessories
98,2021-03-16,6711.0,Accessories
99,2021-03-17,5660.0,Accessories
100,2021-03-18,3901.0,Accessories
101,2021-03-19,4764.0,Accessories
102,2021-03-20,4764.0,Accessories
103,2021-03-21,5095.0,Accessories
104,2021-03-22,5095.0,Accessories
105,2021-03-23,5095.0,Accessories
106,2021-03-24,5095.0,Accessories
107,2021-03-25,5095.0,Accessories
108,2021-03-26,3134.0,Accessories
109,2021-03-27,3134.0,Accessories
110,2021-03-28,3134.0,Accessories
111,2021-03-29,3050.0,Accessories
112,2021-03-30,3050.0,Accessories
113,2021-03-31,3050.0,Accessories
114,2021-04-01,2538.0,Accessories
115,2021-04-02,2538.0,Accessories
116,2021-04-03,2538.0,Accessories
117,2021-04-04,2538.0,Accessories
118,2021-04-05,2626.0,Accessories
119,2021-04-06,2626.0,Accessories
120,2021-04-07,2653.0,Accessories
121,2021-04-08,3027.0,Accessories
122,2021-04-09,2194.0,Accessories
123,2021-04-10,2674.0,Accessories
124,2021-04-11,2800.0,Accessories
125,2021-04-12,2800.0,Accessories
126,2021-04-13,2701.0,Accessories
127,2021-04-14,3686.0,Accessories
128,2021-04-15,3686.0,Accessories
129,2021-04-16,3686.0,Accessories
130,2021-04-17,2007.0,Accessories
131,2021-04-18,2426.0,Accessories
132,2021-04-19,2745.0,Accessories
133,2021-04-20,2745.0,Accessories
134,2021-04-21,2147.0,Accessories
135,2021-04-22,2147.0,Accessories
136,2021-04-23,1830.0,Accessories
137,2021-04-24,1830.0,Accessories
138,2021-04-25,1830.0,Accessories
139,2021-04-26,2034.0,Accessories
140,2021-04-27,2034.0,Accessories
141,2021-04-28,2496.0,Accessories
142,2021-04-29,2161.0,Accessories
143,2021-04-30,2161.0,Accessories
144,2021-05-01,3125.0,Accessories
145,2021-05-02,3125.0,Accessories
146,2021-05-03,3125.0,Accessories
147,2021-05-04,2887.0,Accessories
148,2021-05-05,2887.0,Accessories
