,date,value,name_B082NCP8SV
0,2020-05-24,10862.0,LED Bulbs
1,2020-05-25,10540.0,LED Bulbs
2,2020-05-26,10540.0,LED Bulbs
3,2020-05-27,10540.0,LED Bulbs
4,2020-05-28,12588.0,LED Bulbs
5,2020-05-29,12588.0,LED Bulbs
6,2020-05-30,13075.0,LED Bulbs
7,2020-05-31,13508.0,LED Bulbs
8,2020-06-01,14770.0,LED Bulbs
9,2020-06-02,14770.0,LED Bulbs
10,2020-06-03,13633.0,LED Bulbs
11,2020-06-04,12473.0,LED Bulbs
12,2020-06-05,13218.0,LED Bulbs
13,2020-06-06,13218.0,LED Bulbs
14,2020-06-07,13218.0,LED Bulbs
15,2020-06-08,12913.0,LED Bulbs
16,2020-06-09,13652.0,LED Bulbs
17,2020-06-10,13652.0,LED Bulbs
18,2020-06-11,11499.0,LED Bulbs
19,2020-06-12,11499.0,LED Bulbs
20,2020-06-13,11499.0,LED Bulbs
21,2020-06-14,11499.0,LED Bulbs
22,2020-06-15,11949.0,LED Bulbs
23,2020-06-16,11949.0,LED Bulbs
24,2020-06-17,10915.0,LED Bulbs
25,2020-06-18,10915.0,LED Bulbs
26,2020-06-19,10915.0,LED Bulbs
27,2020-06-20,10915.0,LED Bulbs
28,2020-06-21,10915.0,LED Bulbs
29,2020-06-22,10915.0,LED Bulbs
30,2020-06-23,8734.0,LED Bulbs
31,2020-06-24,8734.0,LED Bulbs
32,2020-06-25,9395.0,LED Bulbs
33,2020-06-26,11085.0,LED Bulbs
34,2020-06-27,11085.0,LED Bulbs
35,2020-06-28,9984.0,LED Bulbs
36,2020-06-29,9984.0,LED Bulbs
37,2020-06-30,9984.0,LED Bulbs
38,2020-07-01,9390.0,LED Bulbs
39,2020-07-02,9390.0,LED Bulbs
40,2020-07-03,9390.0,LED Bulbs
41,2020-07-04,9390.0,LED Bulbs
42,2020-07-05,9390.0,LED Bulbs
43,2020-07-06,9390.0,LED Bulbs
44,2020-07-07,10109.0,LED Bulbs
45,2020-07-08,10109.0,LED Bulbs
46,2020-07-09,10109.0,LED Bulbs
47,2020-07-10,10109.0,LED Bulbs
48,2020-07-11,9325.0,LED Bulbs
49,2020-07-12,9325.0,LED Bulbs
50,2020-07-13,9325.0,LED Bulbs
51,2020-07-14,9325.0,LED Bulbs
52,2020-07-15,9115.0,LED Bulbs
53,2020-07-16,9115.0,LED Bulbs
54,2020-07-17,9115.0,LED Bulbs
55,2020-07-18,9115.0,LED Bulbs
56,2020-07-19,9115.0,LED Bulbs
57,2020-07-20,10265.0,LED Bulbs
58,2020-07-21,11519.0,LED Bulbs
59,2020-07-22,7873.0,LED Bulbs
60,2020-07-23,7873.0,LED Bulbs
61,2020-07-24,7873.0,LED Bulbs
62,2020-07-25,7873.0,LED Bulbs
63,2020-07-26,7873.0,LED Bulbs
64,2020-07-27,8456.0,LED Bulbs
65,2020-07-28,8456.0,LED Bulbs
66,2020-07-29,8456.0,LED Bulbs
67,2020-07-30,7980.0,LED Bulbs
68,2020-07-31,7980.0,LED Bulbs
69,2020-08-01,7980.0,LED Bulbs
70,2020-08-02,7980.0,LED Bulbs
71,2020-08-03,8151.0,LED Bulbs
72,2020-08-04,8151.0,LED Bulbs
73,2020-08-05,8151.0,LED Bulbs
74,2020-08-06,8151.0,LED Bulbs
75,2020-08-07,8151.0,LED Bulbs
76,2020-08-08,9195.0,LED Bulbs
77,2020-08-09,5844.0,LED Bulbs
78,2020-08-10,5844.0,LED Bulbs
79,2020-08-11,5844.0,LED Bulbs
80,2020-08-12,6937.0,LED Bulbs
81,2020-08-13,6937.0,LED Bulbs
82,2020-08-14,6937.0,LED Bulbs
83,2020-08-15,8785.0,LED Bulbs
84,2020-08-16,8126.0,LED Bulbs
85,2020-08-17,8126.0,LED Bulbs
86,2020-08-18,8544.0,LED Bulbs
87,2020-08-19,8903.0,LED Bulbs
88,2020-08-20,10310.0,LED Bulbs
89,2020-08-21,9563.0,LED Bulbs
90,2020-08-22,11018.0,LED Bulbs
91,2020-08-23,10945.0,LED Bulbs
92,2020-08-24,10155.0,LED Bulbs
93,2020-08-25,9341.0,LED Bulbs
