,date,value,name_B07Z3B69ZK
0,2019-10-19,18618.0,Pillow Protectors
1,2019-10-20,17954.0,Pillow Protectors
2,2019-10-21,20543.0,Pillow Protectors
3,2019-10-22,19282.0,Pillow Protectors
4,2019-10-23,23411.0,Pillow Protectors
5,2019-10-24,28860.0,Pillow Protectors
6,2019-10-25,29703.0,Pillow Protectors
7,2019-10-26,30495.0,Pillow Protectors
8,2019-10-27,16677.0,Pillow Protectors
9,2019-10-28,18826.0,Pillow Protectors
10,2019-10-29,22280.0,Pillow Protectors
11,2019-10-30,21526.0,Pillow Protectors
12,2019-10-31,13776.0,Pillow Protectors
13,2019-11-01,17673.0,Pillow Protectors
14,2019-11-02,22684.0,Pillow Protectors
15,2019-11-03,23463.0,Pillow Protectors
16,2019-11-04,22972.0,Pillow Protectors
17,2019-11-05,22422.0,Pillow Protectors
18,2019-11-06,24140.0,Pillow Protectors
19,2019-11-07,28459.0,Pillow Protectors
20,2019-11-08,20507.0,Pillow Protectors
21,2019-11-09,20507.0,Pillow Protectors
22,2019-11-10,20701.0,Pillow Protectors
23,2019-11-11,20240.0,Pillow Protectors
24,2019-11-12,19651.0,Pillow Protectors
25,2019-11-13,20875.0,Pillow Protectors
26,2019-11-14,22011.0,Pillow Protectors
27,2019-11-15,17930.0,Pillow Protectors
28,2019-11-16,17930.0,Pillow Protectors
29,2019-11-17,17930.0,Pillow Protectors
30,2019-11-18,17930.0,Pillow Protectors
31,2019-11-19,17930.0,Pillow Protectors
32,2019-11-20,17930.0,Pillow Protectors
33,2019-11-21,15338.0,Pillow Protectors
34,2019-11-22,19268.0,Pillow Protectors
35,2019-11-23,19268.0,Pillow Protectors
36,2019-11-24,19268.0,Pillow Protectors
37,2019-11-25,18223.0,Pillow Protectors
38,2019-11-26,16813.0,Pillow Protectors
39,2019-11-27,15043.0,Pillow Protectors
40,2019-11-28,15043.0,Pillow Protectors
41,2019-11-29,15043.0,Pillow Protectors
42,2019-11-30,15043.0,Pillow Protectors
43,2019-12-01,15043.0,Pillow Protectors
44,2019-12-02,18147.0,Pillow Protectors
45,2019-12-03,18147.0,Pillow Protectors
46,2019-12-04,18147.0,Pillow Protectors
47,2019-12-05,18147.0,Pillow Protectors
48,2019-12-06,18147.0,Pillow Protectors
49,2019-12-07,20978.0,Pillow Protectors
50,2019-12-08,20978.0,Pillow Protectors
51,2019-12-09,20978.0,Pillow Protectors
52,2019-12-10,50900.0,Pillow Protectors
53,2019-12-11,50900.0,Pillow Protectors
54,2019-12-12,50900.0,Pillow Protectors
55,2019-12-13,50900.0,Pillow Protectors
56,2019-12-14,50900.0,Pillow Protectors
57,2019-12-15,50900.0,Pillow Protectors
58,2019-12-16,50900.0,Pillow Protectors
59,2019-12-17,50900.0,Pillow Protectors
60,2019-12-18,50900.0,Pillow Protectors
61,2019-12-19,79915.0,Pillow Protectors
62,2019-12-20,79915.0,Pillow Protectors
63,2019-12-21,79915.0,Pillow Protectors
64,2019-12-22,79915.0,Pillow Protectors
65,2019-12-23,79915.0,Pillow Protectors
66,2019-12-24,79915.0,Pillow Protectors
67,2019-12-25,79922.0,Pillow Protectors
68,2019-12-26,79922.0,Pillow Protectors
69,2019-12-27,79922.0,Pillow Protectors
70,2019-12-28,79922.0,Pillow Protectors
71,2019-12-29,79922.0,Pillow Protectors
72,2019-12-30,79922.0,Pillow Protectors
73,2019-12-31,79922.0,Pillow Protectors
74,2020-01-01,79922.0,Pillow Protectors
75,2020-01-02,79922.0,Pillow Protectors
76,2020-01-03,73350.0,Pillow Protectors
77,2020-01-04,73350.0,Pillow Protectors
78,2020-01-05,62046.0,Pillow Protectors
79,2020-01-06,62046.0,Pillow Protectors
80,2020-01-07,62046.0,Pillow Protectors
81,2020-01-08,62046.0,Pillow Protectors
82,2020-01-09,62046.0,Pillow Protectors
83,2020-01-10,62046.0,Pillow Protectors
84,2020-01-11,62046.0,Pillow Protectors
85,2020-01-12,62046.0,Pillow Protectors
86,2020-01-13,5479.0,Pillow Protectors
87,2020-01-14,4598.0,Pillow Protectors
88,2020-01-15,4598.0,Pillow Protectors
89,2020-01-16,4598.0,Pillow Protectors
90,2020-01-17,5246.0,Pillow Protectors
91,2020-01-18,5246.0,Pillow Protectors
92,2020-01-19,5246.0,Pillow Protectors
93,2020-01-20,5246.0,Pillow Protectors
94,2020-01-21,5246.0,Pillow Protectors
95,2020-01-22,5246.0,Pillow Protectors
96,2020-01-23,5246.0,Pillow Protectors
97,2020-01-24,5246.0,Pillow Protectors
98,2020-01-25,5246.0,Pillow Protectors
99,2020-01-26,5246.0,Pillow Protectors
100,2020-01-27,5246.0,Pillow Protectors
101,2020-01-28,4499.0,Pillow Protectors
102,2020-01-29,4499.0,Pillow Protectors
103,2020-01-30,4114.0,Pillow Protectors
104,2020-01-31,2473.0,Pillow Protectors
105,2020-02-01,2473.0,Pillow Protectors
106,2020-02-02,2473.0,Pillow Protectors
107,2020-02-03,2473.0,Pillow Protectors
108,2020-02-04,2473.0,Pillow Protectors
109,2020-02-05,4194.0,Pillow Protectors
110,2020-02-06,4194.0,Pillow Protectors
111,2020-02-07,4194.0,Pillow Protectors
112,2020-02-08,3135.0,Pillow Protectors
113,2020-02-09,3135.0,Pillow Protectors
114,2020-02-10,3135.0,Pillow Protectors
115,2020-02-11,3135.0,Pillow Protectors
116,2020-02-12,4629.0,Pillow Protectors
117,2020-02-13,4629.0,Pillow Protectors
118,2020-02-14,4629.0,Pillow Protectors
119,2020-02-15,4629.0,Pillow Protectors
120,2020-02-16,4629.0,Pillow Protectors
121,2020-02-17,4357.0,Pillow Protectors
122,2020-02-18,2641.0,Pillow Protectors
123,2020-02-19,2641.0,Pillow Protectors
124,2020-02-20,2641.0,Pillow Protectors
125,2020-02-21,2641.0,Pillow Protectors
126,2020-02-22,5848.0,Pillow Protectors
127,2020-02-23,5848.0,Pillow Protectors
128,2020-02-24,5525.0,Pillow Protectors
129,2020-02-25,5525.0,Pillow Protectors
130,2020-02-26,3744.0,Pillow Protectors
131,2020-02-27,4059.0,Pillow Protectors
132,2020-02-28,4059.0,Pillow Protectors
133,2020-02-29,4059.0,Pillow Protectors
134,2020-03-01,3326.0,Pillow Protectors
135,2020-03-02,3326.0,Pillow Protectors
136,2020-03-03,3222.0,Pillow Protectors
137,2020-03-04,3222.0,Pillow Protectors
138,2020-03-05,3222.0,Pillow Protectors
139,2020-03-06,3919.0,Pillow Protectors
140,2020-03-07,3919.0,Pillow Protectors
141,2020-03-08,3919.0,Pillow Protectors
142,2020-03-09,3919.0,Pillow Protectors
143,2020-03-10,3919.0,Pillow Protectors
144,2020-03-11,3919.0,Pillow Protectors
145,2020-03-12,3919.0,Pillow Protectors
146,2020-03-13,3919.0,Pillow Protectors
147,2020-03-14,3919.0,Pillow Protectors
148,2020-03-15,5187.0,Pillow Protectors
149,2020-03-16,5187.0,Pillow Protectors
150,2020-03-17,5187.0,Pillow Protectors
151,2020-03-18,5187.0,Pillow Protectors
152,2020-03-19,5187.0,Pillow Protectors
153,2020-03-20,4756.0,Pillow Protectors
154,2020-03-21,4756.0,Pillow Protectors
155,2020-03-22,4756.0,Pillow Protectors
156,2020-03-23,4756.0,Pillow Protectors
157,2020-03-24,4756.0,Pillow Protectors
158,2020-03-25,4351.0,Pillow Protectors
159,2020-03-26,4351.0,Pillow Protectors
160,2020-03-27,4351.0,Pillow Protectors
161,2020-03-28,5757.0,Pillow Protectors
162,2020-03-29,5757.0,Pillow Protectors
163,2020-03-30,5757.0,Pillow Protectors
164,2020-03-31,6322.0,Pillow Protectors
165,2020-04-01,4850.0,Pillow Protectors
166,2020-04-02,4819.0,Pillow Protectors
167,2020-04-03,4819.0,Pillow Protectors
168,2020-04-04,4819.0,Pillow Protectors
169,2020-04-05,4819.0,Pillow Protectors
170,2020-04-06,4819.0,Pillow Protectors
171,2020-04-07,5843.0,Pillow Protectors
172,2020-04-08,5843.0,Pillow Protectors
173,2020-04-09,5843.0,Pillow Protectors
174,2020-04-10,9161.0,Pillow Protectors
175,2020-04-11,9161.0,Pillow Protectors
176,2020-04-12,9161.0,Pillow Protectors
177,2020-04-13,9957.0,Pillow Protectors
178,2020-04-14,9957.0,Pillow Protectors
179,2020-04-15,9957.0,Pillow Protectors
180,2020-04-16,13941.0,Pillow Protectors
181,2020-04-17,13941.0,Pillow Protectors
182,2020-04-18,17687.0,Pillow Protectors
183,2020-04-19,17687.0,Pillow Protectors
184,2020-04-20,17687.0,Pillow Protectors
185,2020-04-21,17687.0,Pillow Protectors
186,2020-04-22,17687.0,Pillow Protectors
187,2020-04-23,15923.0,Pillow Protectors
188,2020-04-24,15923.0,Pillow Protectors
189,2020-04-25,15923.0,Pillow Protectors
190,2020-04-26,22690.0,Pillow Protectors
191,2020-04-27,22690.0,Pillow Protectors
192,2020-04-28,22690.0,Pillow Protectors
193,2020-04-29,22690.0,Pillow Protectors
194,2020-04-30,22690.0,Pillow Protectors
195,2020-05-01,14890.0,Pillow Protectors
196,2020-05-02,14890.0,Pillow Protectors
197,2020-05-03,14890.0,Pillow Protectors
198,2020-05-04,12342.0,Pillow Protectors
199,2020-05-05,12900.0,Pillow Protectors
200,2020-05-06,12900.0,Pillow Protectors
201,2020-05-07,12900.0,Pillow Protectors
202,2020-05-08,12900.0,Pillow Protectors
203,2020-05-09,12900.0,Pillow Protectors
204,2020-05-10,8846.0,Pillow Protectors
205,2020-05-11,9543.0,Pillow Protectors
206,2020-05-12,9543.0,Pillow Protectors
207,2020-05-13,9543.0,Pillow Protectors
208,2020-05-14,8997.0,Pillow Protectors
209,2020-05-15,8997.0,Pillow Protectors
210,2020-05-16,8997.0,Pillow Protectors
211,2020-05-17,8562.0,Pillow Protectors
212,2020-05-18,8562.0,Pillow Protectors
213,2020-05-19,8562.0,Pillow Protectors
214,2020-05-20,6682.0,Pillow Protectors
215,2020-05-21,6682.0,Pillow Protectors
216,2020-05-22,6682.0,Pillow Protectors
217,2020-05-23,8069.0,Pillow Protectors
218,2020-05-24,8069.0,Pillow Protectors
219,2020-05-25,8069.0,Pillow Protectors
220,2020-05-26,4804.0,Pillow Protectors
221,2020-05-27,4804.0,Pillow Protectors
222,2020-05-28,4804.0,Pillow Protectors
