,date,value,name_B07X4BD8VC
132,2021-06-29,5821.0,Cooking & Baking Kits
133,2021-06-30,5821.0,Cooking & Baking Kits
134,2021-07-01,4993.0,Cooking & Baking Kits
135,2021-07-02,4993.0,Cooking & Baking Kits
136,2021-07-03,4206.0,Cooking & Baking Kits
137,2021-07-04,4206.0,Cooking & Baking Kits
138,2021-07-05,4206.0,Cooking & Baking Kits
139,2021-07-06,7416.0,Cooking & Baking Kits
140,2021-07-07,4860.0,Cooking & Baking Kits
141,2021-07-08,3787.0,Cooking & Baking Kits
142,2021-07-09,3787.0,Cooking & Baking Kits
143,2021-07-10,5605.0,Cooking & Baking Kits
