,date,value,name_B01K4XGBCI
0,2019-10-13,69867.0,"Braces, Splints & Supports"
1,2019-10-14,69867.0,"Braces, Splints & Supports"
2,2019-10-15,69867.0,"Braces, Splints & Supports"
3,2019-10-16,77764.0,"Braces, Splints & Supports"
4,2019-10-17,77764.0,"Braces, Splints & Supports"
5,2019-10-18,100652.0,"Braces, Splints & Supports"
6,2019-10-19,100652.0,"Braces, Splints & Supports"
7,2019-10-20,121977.0,"Braces, Splints & Supports"
8,2019-10-21,121977.0,"Braces, Splints & Supports"
9,2019-10-22,80166.0,"Braces, Splints & Supports"
10,2019-10-23,80166.0,"Braces, Splints & Supports"
11,2019-10-24,30188.0,"Braces, Splints & Supports"
12,2019-10-25,35660.0,"Braces, Splints & Supports"
13,2019-10-26,35660.0,"Braces, Splints & Supports"
14,2019-10-27,49085.0,"Braces, Splints & Supports"
15,2019-10-28,43579.0,"Braces, Splints & Supports"
16,2019-10-29,56032.0,"Braces, Splints & Supports"
17,2019-10-30,55096.0,"Braces, Splints & Supports"
18,2019-10-31,55096.0,"Braces, Splints & Supports"
19,2019-11-01,66659.0,"Braces, Splints & Supports"
20,2019-11-02,66659.0,"Braces, Splints & Supports"
21,2019-11-03,78798.0,"Braces, Splints & Supports"
22,2019-11-04,78798.0,"Braces, Splints & Supports"
23,2019-11-05,78798.0,"Braces, Splints & Supports"
24,2019-11-06,91409.0,"Braces, Splints & Supports"
25,2019-11-07,91409.0,"Braces, Splints & Supports"
26,2019-11-08,91409.0,"Braces, Splints & Supports"
27,2019-11-09,91409.0,"Braces, Splints & Supports"
28,2019-11-10,91409.0,"Braces, Splints & Supports"
29,2019-11-11,91409.0,"Braces, Splints & Supports"
30,2019-11-12,37206.0,"Braces, Splints & Supports"
31,2019-11-13,37206.0,"Braces, Splints & Supports"
32,2019-11-14,37206.0,"Braces, Splints & Supports"
33,2019-11-15,37206.0,"Braces, Splints & Supports"
34,2019-11-16,37206.0,"Braces, Splints & Supports"
35,2019-11-17,46644.0,"Braces, Splints & Supports"
36,2019-11-18,46644.0,"Braces, Splints & Supports"
37,2019-11-19,60608.0,"Braces, Splints & Supports"
38,2019-11-20,60608.0,"Braces, Splints & Supports"
39,2019-11-21,60608.0,"Braces, Splints & Supports"
40,2019-11-22,40775.0,"Braces, Splints & Supports"
41,2019-11-23,51354.0,"Braces, Splints & Supports"
42,2019-11-24,51354.0,"Braces, Splints & Supports"
43,2019-11-25,51354.0,"Braces, Splints & Supports"
44,2019-11-26,29752.0,"Braces, Splints & Supports"
45,2019-11-27,38259.0,"Braces, Splints & Supports"
46,2019-11-28,38259.0,"Braces, Splints & Supports"
47,2019-11-29,38259.0,"Braces, Splints & Supports"
48,2019-11-30,38259.0,"Braces, Splints & Supports"
49,2019-12-01,38259.0,"Braces, Splints & Supports"
50,2019-12-02,38259.0,"Braces, Splints & Supports"
51,2019-12-03,38259.0,"Braces, Splints & Supports"
52,2019-12-04,38259.0,"Braces, Splints & Supports"
53,2019-12-05,38259.0,"Braces, Splints & Supports"
54,2019-12-06,22483.0,"Braces, Splints & Supports"
55,2019-12-07,22483.0,"Braces, Splints & Supports"
56,2019-12-08,22483.0,"Braces, Splints & Supports"
57,2019-12-09,22483.0,"Braces, Splints & Supports"
58,2019-12-10,33479.0,"Braces, Splints & Supports"
59,2019-12-11,33479.0,"Braces, Splints & Supports"
60,2019-12-12,33479.0,"Braces, Splints & Supports"
61,2019-12-13,34664.0,"Braces, Splints & Supports"
62,2019-12-14,34664.0,"Braces, Splints & Supports"
63,2019-12-15,34664.0,"Braces, Splints & Supports"
64,2019-12-16,32066.0,"Braces, Splints & Supports"
65,2019-12-17,32066.0,"Braces, Splints & Supports"
66,2019-12-18,32066.0,"Braces, Splints & Supports"
67,2019-12-19,32066.0,"Braces, Splints & Supports"
68,2019-12-20,32066.0,"Braces, Splints & Supports"
69,2019-12-21,42823.0,"Braces, Splints & Supports"
70,2019-12-22,42823.0,"Braces, Splints & Supports"
71,2019-12-23,42823.0,"Braces, Splints & Supports"
72,2019-12-24,42823.0,"Braces, Splints & Supports"
73,2019-12-25,42823.0,"Braces, Splints & Supports"
74,2019-12-26,42823.0,"Braces, Splints & Supports"
75,2019-12-27,33969.0,"Braces, Splints & Supports"
76,2019-12-28,33969.0,"Braces, Splints & Supports"
77,2019-12-29,33969.0,"Braces, Splints & Supports"
78,2019-12-30,38712.0,"Braces, Splints & Supports"
79,2019-12-31,32540.0,"Braces, Splints & Supports"
80,2020-01-01,32540.0,"Braces, Splints & Supports"
81,2020-01-02,32540.0,"Braces, Splints & Supports"
82,2020-01-03,32540.0,"Braces, Splints & Supports"
83,2020-01-04,32540.0,"Braces, Splints & Supports"
84,2020-01-05,32000.0,"Braces, Splints & Supports"
85,2020-01-06,32000.0,"Braces, Splints & Supports"
86,2020-01-07,32000.0,"Braces, Splints & Supports"
87,2020-01-08,27405.0,"Braces, Splints & Supports"
88,2020-01-09,27405.0,"Braces, Splints & Supports"
89,2020-01-10,31642.0,"Braces, Splints & Supports"
90,2020-01-11,31642.0,"Braces, Splints & Supports"
91,2020-01-12,31642.0,"Braces, Splints & Supports"
92,2020-01-13,38407.0,"Braces, Splints & Supports"
93,2020-01-14,38407.0,"Braces, Splints & Supports"
94,2020-01-15,38407.0,"Braces, Splints & Supports"
95,2020-01-16,38407.0,"Braces, Splints & Supports"
96,2020-01-17,33107.0,"Braces, Splints & Supports"
97,2020-01-18,33107.0,"Braces, Splints & Supports"
98,2020-01-19,21772.0,"Braces, Splints & Supports"
99,2020-01-20,21772.0,"Braces, Splints & Supports"
100,2020-01-21,21772.0,"Braces, Splints & Supports"
101,2020-01-22,21772.0,"Braces, Splints & Supports"
102,2020-01-23,21772.0,"Braces, Splints & Supports"
103,2020-01-24,21772.0,"Braces, Splints & Supports"
104,2020-01-25,21772.0,"Braces, Splints & Supports"
105,2020-01-26,21772.0,"Braces, Splints & Supports"
106,2020-01-27,21772.0,"Braces, Splints & Supports"
107,2020-01-28,21772.0,"Braces, Splints & Supports"
108,2020-01-29,27830.0,"Braces, Splints & Supports"
109,2020-01-30,27830.0,"Braces, Splints & Supports"
110,2020-01-31,27830.0,"Braces, Splints & Supports"
111,2020-02-01,27830.0,"Braces, Splints & Supports"
112,2020-02-02,27830.0,"Braces, Splints & Supports"
113,2020-02-03,27830.0,"Braces, Splints & Supports"
114,2020-02-04,27830.0,"Braces, Splints & Supports"
115,2020-02-05,29104.0,"Braces, Splints & Supports"
116,2020-02-06,29104.0,"Braces, Splints & Supports"
117,2020-02-07,41116.0,"Braces, Splints & Supports"
118,2020-02-08,41116.0,"Braces, Splints & Supports"
119,2020-02-09,41116.0,"Braces, Splints & Supports"
120,2020-02-10,41116.0,"Braces, Splints & Supports"
121,2020-02-11,41116.0,"Braces, Splints & Supports"
122,2020-02-12,21492.0,"Braces, Splints & Supports"
123,2020-02-13,21492.0,"Braces, Splints & Supports"
124,2020-02-14,21492.0,"Braces, Splints & Supports"
125,2020-02-15,27476.0,"Braces, Splints & Supports"
126,2020-02-16,27476.0,"Braces, Splints & Supports"
127,2020-02-17,27476.0,"Braces, Splints & Supports"
128,2020-02-18,27476.0,"Braces, Splints & Supports"
129,2020-02-19,27476.0,"Braces, Splints & Supports"
130,2020-02-20,27476.0,"Braces, Splints & Supports"
131,2020-02-21,6221.0,"Braces, Splints & Supports"
132,2020-02-22,6221.0,"Braces, Splints & Supports"
133,2020-02-23,7941.0,"Braces, Splints & Supports"
134,2020-02-24,7941.0,"Braces, Splints & Supports"
135,2020-02-25,7941.0,"Braces, Splints & Supports"
136,2020-02-26,26161.0,"Braces, Splints & Supports"
137,2020-02-27,26161.0,"Braces, Splints & Supports"
138,2020-02-28,26161.0,"Braces, Splints & Supports"
139,2020-02-29,26161.0,"Braces, Splints & Supports"
140,2020-03-01,33551.0,"Braces, Splints & Supports"
141,2020-03-02,33551.0,"Braces, Splints & Supports"
142,2020-03-03,33551.0,"Braces, Splints & Supports"
143,2020-03-04,39745.0,"Braces, Splints & Supports"
144,2020-03-05,39745.0,"Braces, Splints & Supports"
145,2020-03-06,39745.0,"Braces, Splints & Supports"
146,2020-03-07,39745.0,"Braces, Splints & Supports"
147,2020-03-08,39745.0,"Braces, Splints & Supports"
148,2020-03-09,39745.0,"Braces, Splints & Supports"
149,2020-03-10,39745.0,"Braces, Splints & Supports"
150,2020-03-11,39745.0,"Braces, Splints & Supports"
151,2020-03-12,39745.0,"Braces, Splints & Supports"
152,2020-03-13,39745.0,"Braces, Splints & Supports"
153,2020-03-14,40577.0,"Braces, Splints & Supports"
154,2020-03-15,40577.0,"Braces, Splints & Supports"
155,2020-03-16,40577.0,"Braces, Splints & Supports"
156,2020-03-17,40577.0,"Braces, Splints & Supports"
157,2020-03-18,40577.0,"Braces, Splints & Supports"
158,2020-03-19,40577.0,"Braces, Splints & Supports"
159,2020-03-20,39042.0,"Braces, Splints & Supports"
160,2020-03-21,39042.0,"Braces, Splints & Supports"
161,2020-03-22,39042.0,"Braces, Splints & Supports"
162,2020-03-23,47084.0,"Braces, Splints & Supports"
163,2020-03-24,31199.0,"Braces, Splints & Supports"
164,2020-03-25,29061.0,"Braces, Splints & Supports"
165,2020-03-26,29061.0,"Braces, Splints & Supports"
166,2020-03-27,29061.0,"Braces, Splints & Supports"
167,2020-03-28,26286.0,"Braces, Splints & Supports"
168,2020-03-29,33458.0,"Braces, Splints & Supports"
169,2020-03-30,31721.0,"Braces, Splints & Supports"
170,2020-03-31,31721.0,"Braces, Splints & Supports"
