,date,value,name_B08HLDLTSG
0,2020-09-21,112882.0,Jigsaw Puzzles
1,2020-09-22,112882.0,Jigsaw Puzzles
2,2020-09-23,112882.0,Jigsaw Puzzles
3,2020-09-24,112882.0,Jigsaw Puzzles
4,2020-09-25,197692.0,Jigsaw Puzzles
5,2020-09-26,197692.0,Jigsaw Puzzles
6,2020-09-27,197692.0,Jigsaw Puzzles
7,2020-09-28,197692.0,Jigsaw Puzzles
8,2020-09-29,197692.0,Jigsaw Puzzles
9,2020-09-30,197692.0,Jigsaw Puzzles
10,2020-10-01,197692.0,Jigsaw Puzzles
11,2020-10-02,80954.0,Jigsaw Puzzles
12,2020-10-03,80954.0,Jigsaw Puzzles
13,2020-10-04,80954.0,Jigsaw Puzzles
14,2020-10-05,80954.0,Jigsaw Puzzles
15,2020-10-06,80954.0,Jigsaw Puzzles
16,2020-10-07,80954.0,Jigsaw Puzzles
17,2020-10-08,80954.0,Jigsaw Puzzles
18,2020-10-09,80954.0,Jigsaw Puzzles
19,2020-10-10,80954.0,Jigsaw Puzzles
20,2020-10-11,80954.0,Jigsaw Puzzles
21,2020-10-12,66093.0,Jigsaw Puzzles
22,2020-10-13,66093.0,Jigsaw Puzzles
23,2020-10-14,66093.0,Jigsaw Puzzles
24,2020-10-15,66093.0,Jigsaw Puzzles
25,2020-10-16,101394.0,Jigsaw Puzzles
26,2020-10-17,101394.0,Jigsaw Puzzles
27,2020-10-18,101394.0,Jigsaw Puzzles
28,2020-10-19,101394.0,Jigsaw Puzzles
29,2020-10-20,28886.0,Jigsaw Puzzles
30,2020-10-21,22863.0,Jigsaw Puzzles
31,2020-10-22,22863.0,Jigsaw Puzzles
32,2020-10-23,22863.0,Jigsaw Puzzles
33,2020-10-24,22863.0,Jigsaw Puzzles
34,2020-10-25,34109.0,Jigsaw Puzzles
35,2020-10-26,17983.0,Jigsaw Puzzles
36,2020-10-27,17983.0,Jigsaw Puzzles
37,2020-10-28,17983.0,Jigsaw Puzzles
38,2020-10-29,17983.0,Jigsaw Puzzles
39,2020-10-30,17983.0,Jigsaw Puzzles
40,2020-10-31,17983.0,Jigsaw Puzzles
41,2020-11-01,17983.0,Jigsaw Puzzles
42,2020-11-02,17446.0,Jigsaw Puzzles
43,2020-11-03,17446.0,Jigsaw Puzzles
44,2020-11-04,17446.0,Jigsaw Puzzles
45,2020-11-05,17446.0,Jigsaw Puzzles
46,2020-11-06,24244.0,Jigsaw Puzzles
47,2020-11-07,24244.0,Jigsaw Puzzles
48,2020-11-08,24244.0,Jigsaw Puzzles
49,2020-11-09,24244.0,Jigsaw Puzzles
50,2020-11-10,32591.0,Jigsaw Puzzles
51,2020-11-11,32591.0,Jigsaw Puzzles
52,2020-11-12,32591.0,Jigsaw Puzzles
53,2020-11-13,26804.0,Jigsaw Puzzles
54,2020-11-14,26804.0,Jigsaw Puzzles
55,2020-11-15,26804.0,Jigsaw Puzzles
56,2020-11-16,26804.0,Jigsaw Puzzles
57,2020-11-17,26136.0,Jigsaw Puzzles
58,2020-11-18,26136.0,Jigsaw Puzzles
59,2020-11-19,26136.0,Jigsaw Puzzles
60,2020-11-20,28085.0,Jigsaw Puzzles
61,2020-11-21,28085.0,Jigsaw Puzzles
62,2020-11-22,28085.0,Jigsaw Puzzles
63,2020-11-23,20869.0,Jigsaw Puzzles
64,2020-11-24,20869.0,Jigsaw Puzzles
65,2020-11-25,20869.0,Jigsaw Puzzles
66,2020-11-26,20869.0,Jigsaw Puzzles
67,2020-11-27,18477.0,Jigsaw Puzzles
68,2020-11-28,18477.0,Jigsaw Puzzles
69,2020-11-29,18477.0,Jigsaw Puzzles
70,2020-11-30,15181.0,Jigsaw Puzzles
71,2020-12-01,15181.0,Jigsaw Puzzles
72,2020-12-02,15181.0,Jigsaw Puzzles
73,2020-12-03,15969.0,Jigsaw Puzzles
74,2020-12-04,15969.0,Jigsaw Puzzles
75,2020-12-05,19382.0,Jigsaw Puzzles
76,2020-12-06,19382.0,Jigsaw Puzzles
77,2020-12-07,19382.0,Jigsaw Puzzles
78,2020-12-08,17370.0,Jigsaw Puzzles
79,2020-12-09,17370.0,Jigsaw Puzzles
80,2020-12-10,17370.0,Jigsaw Puzzles
81,2020-12-11,17370.0,Jigsaw Puzzles
82,2020-12-12,17370.0,Jigsaw Puzzles
83,2020-12-13,22764.0,Jigsaw Puzzles
84,2020-12-14,22764.0,Jigsaw Puzzles
85,2020-12-15,16038.0,Jigsaw Puzzles
86,2020-12-16,16038.0,Jigsaw Puzzles
87,2020-12-17,16038.0,Jigsaw Puzzles
88,2020-12-18,21518.0,Jigsaw Puzzles
89,2020-12-19,21518.0,Jigsaw Puzzles
90,2020-12-20,21518.0,Jigsaw Puzzles
91,2020-12-21,17871.0,Jigsaw Puzzles
92,2020-12-22,17871.0,Jigsaw Puzzles
93,2020-12-23,19245.0,Jigsaw Puzzles
94,2020-12-24,19245.0,Jigsaw Puzzles
95,2020-12-25,19245.0,Jigsaw Puzzles
96,2020-12-26,19245.0,Jigsaw Puzzles
97,2020-12-27,19245.0,Jigsaw Puzzles
98,2020-12-28,20732.0,Jigsaw Puzzles
99,2020-12-29,14647.0,Jigsaw Puzzles
100,2020-12-30,14647.0,Jigsaw Puzzles
101,2020-12-31,14647.0,Jigsaw Puzzles
102,2021-01-01,14647.0,Jigsaw Puzzles
103,2021-01-02,13402.0,Jigsaw Puzzles
104,2021-01-03,13402.0,Jigsaw Puzzles
105,2021-01-04,13402.0,Jigsaw Puzzles
106,2021-01-05,13402.0,Jigsaw Puzzles
107,2021-01-06,10083.0,Jigsaw Puzzles
108,2021-01-07,10083.0,Jigsaw Puzzles
109,2021-01-08,10083.0,Jigsaw Puzzles
110,2021-01-09,8570.0,Jigsaw Puzzles
111,2021-01-10,8570.0,Jigsaw Puzzles
112,2021-01-11,7097.0,Jigsaw Puzzles
113,2021-01-12,7097.0,Jigsaw Puzzles
114,2021-01-13,8228.0,Jigsaw Puzzles
115,2021-01-14,8228.0,Jigsaw Puzzles
116,2021-01-15,6293.0,Jigsaw Puzzles
117,2021-01-16,6293.0,Jigsaw Puzzles
118,2021-01-17,6293.0,Jigsaw Puzzles
119,2021-01-18,7315.0,Jigsaw Puzzles
120,2021-01-19,7315.0,Jigsaw Puzzles
121,2021-01-20,7315.0,Jigsaw Puzzles
122,2021-01-21,4326.0,Jigsaw Puzzles
123,2021-01-22,4326.0,Jigsaw Puzzles
124,2021-01-23,4326.0,Jigsaw Puzzles
125,2021-01-24,7336.0,Jigsaw Puzzles
126,2021-01-25,8984.0,Jigsaw Puzzles
127,2021-01-26,8984.0,Jigsaw Puzzles
128,2021-01-27,5676.0,Jigsaw Puzzles
129,2021-01-28,5676.0,Jigsaw Puzzles
130,2021-01-29,5676.0,Jigsaw Puzzles
131,2021-01-30,7305.0,Jigsaw Puzzles
132,2021-01-31,7305.0,Jigsaw Puzzles
133,2021-02-01,7305.0,Jigsaw Puzzles
134,2021-02-02,9848.0,Jigsaw Puzzles
135,2021-02-03,9848.0,Jigsaw Puzzles
136,2021-02-04,9848.0,Jigsaw Puzzles
