,date,value,name_B092VH72J1
0,2021-04-21,4107.0,Stacking Blocks
1,2021-04-22,4107.0,Stacking Blocks
2,2021-04-23,3833.0,Stacking Blocks
3,2021-04-24,3833.0,Stacking Blocks
4,2021-04-25,3833.0,Stacking Blocks
5,2021-04-26,3592.0,Stacking Blocks
6,2021-04-27,4012.0,Stacking Blocks
7,2021-04-28,4012.0,Stacking Blocks
8,2021-04-29,3859.0,Stacking Blocks
9,2021-04-30,3455.0,Stacking Blocks
10,2021-05-01,3455.0,Stacking Blocks
11,2021-05-02,3455.0,Stacking Blocks
12,2021-05-03,4660.0,Stacking Blocks
13,2021-05-04,4660.0,Stacking Blocks
14,2021-05-05,1603.0,Stacking Blocks
15,2021-05-06,1603.0,Stacking Blocks
16,2021-05-07,3071.0,Stacking Blocks
17,2021-05-08,3071.0,Stacking Blocks
18,2021-05-09,2791.0,Stacking Blocks
19,2021-05-10,3514.0,Stacking Blocks
20,2021-05-11,4231.0,Stacking Blocks
21,2021-05-12,4417.0,Stacking Blocks
22,2021-05-13,3483.0,Stacking Blocks
23,2021-05-14,4567.0,Stacking Blocks
24,2021-05-15,5291.0,Stacking Blocks
25,2021-05-16,5291.0,Stacking Blocks
26,2021-05-17,3816.0,Stacking Blocks
27,2021-05-18,3816.0,Stacking Blocks
28,2021-05-19,3816.0,Stacking Blocks
29,2021-05-20,3417.0,Stacking Blocks
30,2021-05-21,4844.0,Stacking Blocks
31,2021-05-22,4844.0,Stacking Blocks
32,2021-05-23,4428.0,Stacking Blocks
33,2021-05-24,5282.0,Stacking Blocks
34,2021-05-25,5322.0,Stacking Blocks
35,2021-05-26,5322.0,Stacking Blocks
36,2021-05-27,4244.0,Stacking Blocks
37,2021-05-28,4339.0,Stacking Blocks
38,2021-05-29,4339.0,Stacking Blocks
39,2021-05-30,6110.0,Stacking Blocks
40,2021-05-31,6110.0,Stacking Blocks
41,2021-06-01,6110.0,Stacking Blocks
42,2021-06-02,4092.0,Stacking Blocks
43,2021-06-03,5850.0,Stacking Blocks
44,2021-06-04,4019.0,Stacking Blocks
45,2021-06-05,4019.0,Stacking Blocks
46,2021-06-06,5234.0,Stacking Blocks
47,2021-06-07,6986.0,Stacking Blocks
48,2021-06-08,3841.0,Stacking Blocks
49,2021-06-09,3841.0,Stacking Blocks
50,2021-06-10,3657.0,Stacking Blocks
51,2021-06-11,3657.0,Stacking Blocks
52,2021-06-12,2984.0,Stacking Blocks
53,2021-06-13,2984.0,Stacking Blocks
54,2021-06-14,751.0,Stacking Blocks
55,2021-06-15,751.0,Stacking Blocks
56,2021-06-16,539.0,Stacking Blocks
57,2021-06-17,609.0,Stacking Blocks
58,2021-06-18,609.0,Stacking Blocks
59,2021-06-19,593.0,Stacking Blocks
60,2021-06-20,702.0,Stacking Blocks
61,2021-06-21,702.0,Stacking Blocks
62,2021-06-22,2425.0,Stacking Blocks
63,2021-06-23,2272.0,Stacking Blocks
64,2021-06-24,1487.0,Stacking Blocks
65,2021-06-25,1487.0,Stacking Blocks
66,2021-06-26,1815.0,Stacking Blocks
67,2021-06-27,1815.0,Stacking Blocks
68,2021-06-28,2896.0,Stacking Blocks
69,2021-06-29,1711.0,Stacking Blocks
70,2021-06-30,1751.0,Stacking Blocks
71,2021-07-01,1751.0,Stacking Blocks
72,2021-07-02,1547.0,Stacking Blocks
73,2021-07-03,1736.0,Stacking Blocks
74,2021-07-04,1736.0,Stacking Blocks
75,2021-07-05,1499.0,Stacking Blocks
76,2021-07-06,1920.0,Stacking Blocks
77,2021-07-07,1051.0,Stacking Blocks
78,2021-07-08,1051.0,Stacking Blocks
79,2021-07-09,1026.0,Stacking Blocks
80,2021-07-10,991.0,Stacking Blocks
81,2021-07-11,1125.0,Stacking Blocks
