,date,value,name_B07L3P18PM
0,2020-02-26,-1.0,Back Braces
1,2020-02-27,-1.0,Back Braces
2,2020-02-28,-1.0,Back Braces
3,2020-02-29,-1.0,Back Braces
4,2020-03-01,-1.0,Back Braces
5,2020-03-02,-1.0,Back Braces
6,2020-03-03,-1.0,Back Braces
7,2020-03-04,-1.0,Back Braces
8,2020-03-05,-1.0,Back Braces
9,2020-03-06,-1.0,Back Braces
10,2020-03-07,-1.0,Back Braces
11,2020-03-08,-1.0,Back Braces
12,2020-03-09,-1.0,Back Braces
13,2020-03-10,-1.0,Back Braces
14,2020-03-11,-1.0,Back Braces
15,2020-03-12,-1.0,Back Braces
16,2020-03-13,-1.0,Back Braces
17,2020-03-14,-1.0,Back Braces
18,2020-03-15,-1.0,Back Braces
19,2020-03-16,-1.0,Back Braces
20,2020-03-17,-1.0,Back Braces
21,2020-03-18,-1.0,Back Braces
22,2020-03-19,-1.0,Back Braces
23,2020-03-20,-1.0,Back Braces
24,2020-03-21,-1.0,Back Braces
25,2020-03-22,-1.0,Back Braces
26,2020-03-23,-1.0,Back Braces
27,2020-03-24,-1.0,Back Braces
28,2020-03-25,-1.0,Back Braces
29,2020-03-26,-1.0,Back Braces
30,2020-03-27,-1.0,Back Braces
31,2020-03-28,-1.0,Back Braces
32,2020-03-29,-1.0,Back Braces
33,2020-03-30,-1.0,Back Braces
34,2020-03-31,-1.0,Back Braces
35,2020-04-01,-1.0,Back Braces
36,2020-04-02,-1.0,Back Braces
37,2020-04-03,-1.0,Back Braces
38,2020-04-04,-1.0,Back Braces
39,2020-04-05,-1.0,Back Braces
40,2020-04-06,-1.0,Back Braces
41,2020-04-07,-1.0,Back Braces
42,2020-04-08,-1.0,Back Braces
43,2020-04-09,-1.0,Back Braces
44,2020-04-10,-1.0,Back Braces
45,2020-04-11,-1.0,Back Braces
46,2020-04-12,-1.0,Back Braces
47,2020-04-13,-1.0,Back Braces
48,2020-04-14,-1.0,Back Braces
49,2020-04-15,-1.0,Back Braces
50,2020-04-16,-1.0,Back Braces
51,2020-04-17,-1.0,Back Braces
52,2020-04-18,-1.0,Back Braces
53,2020-04-19,-1.0,Back Braces
54,2020-04-20,-1.0,Back Braces
55,2020-04-21,-1.0,Back Braces
56,2020-04-22,-1.0,Back Braces
57,2020-04-23,-1.0,Back Braces
58,2020-04-24,-1.0,Back Braces
59,2020-04-25,-1.0,Back Braces
60,2020-04-26,-1.0,Back Braces
61,2020-04-27,-1.0,Back Braces
62,2020-04-28,-1.0,Back Braces
63,2020-04-29,-1.0,Back Braces
64,2020-04-30,-1.0,Back Braces
65,2020-05-01,-1.0,Back Braces
66,2020-05-02,-1.0,Back Braces
67,2020-05-03,-1.0,Back Braces
68,2020-05-04,-1.0,Back Braces
69,2020-05-05,-1.0,Back Braces
70,2020-05-06,-1.0,Back Braces
71,2020-05-07,-1.0,Back Braces
72,2020-05-08,-1.0,Back Braces
73,2020-05-09,-1.0,Back Braces
74,2020-05-10,-1.0,Back Braces
75,2020-05-11,-1.0,Back Braces
76,2020-05-12,-1.0,Back Braces
77,2020-05-13,-1.0,Back Braces
78,2020-05-14,-1.0,Back Braces
79,2020-05-15,-1.0,Back Braces
80,2020-05-16,-1.0,Back Braces
81,2020-05-17,-1.0,Back Braces
82,2020-05-18,-1.0,Back Braces
83,2020-05-19,-1.0,Back Braces
84,2020-05-20,-1.0,Back Braces
85,2020-05-21,-1.0,Back Braces
86,2020-05-22,15213.0,Back Braces
87,2020-05-23,15213.0,Back Braces
88,2020-05-24,15213.0,Back Braces
89,2020-05-25,16347.0,Back Braces
90,2020-05-26,16347.0,Back Braces
91,2020-05-27,13713.0,Back Braces
92,2020-05-28,13713.0,Back Braces
93,2020-05-29,13713.0,Back Braces
94,2020-05-30,13713.0,Back Braces
95,2020-05-31,13713.0,Back Braces
96,2020-06-01,13713.0,Back Braces
97,2020-06-02,10622.0,Back Braces
98,2020-06-03,10939.0,Back Braces
99,2020-06-04,10939.0,Back Braces
100,2020-06-05,9275.0,Back Braces
101,2020-06-06,9275.0,Back Braces
102,2020-06-07,9883.0,Back Braces
103,2020-06-08,12046.0,Back Braces
104,2020-06-09,12046.0,Back Braces
105,2020-06-10,12556.0,Back Braces
106,2020-06-11,12556.0,Back Braces
107,2020-06-12,16134.0,Back Braces
108,2020-06-13,16134.0,Back Braces
109,2020-06-14,16134.0,Back Braces
110,2020-06-15,16134.0,Back Braces
111,2020-06-16,22976.0,Back Braces
112,2020-06-17,22976.0,Back Braces
113,2020-06-18,22976.0,Back Braces
114,2020-06-19,38937.0,Back Braces
115,2020-06-20,35399.0,Back Braces
116,2020-06-21,35399.0,Back Braces
117,2020-06-22,35399.0,Back Braces
118,2020-06-23,29691.0,Back Braces
119,2020-06-24,29691.0,Back Braces
120,2020-06-25,29691.0,Back Braces
121,2020-06-26,29691.0,Back Braces
122,2020-06-27,29691.0,Back Braces
123,2020-06-28,17650.0,Back Braces
124,2020-06-29,17650.0,Back Braces
125,2020-06-30,13421.0,Back Braces
126,2020-07-01,17142.0,Back Braces
127,2020-07-02,16946.0,Back Braces
128,2020-07-03,16946.0,Back Braces
129,2020-07-04,16946.0,Back Braces
130,2020-07-05,16946.0,Back Braces
131,2020-07-06,13990.0,Back Braces
132,2020-07-07,13990.0,Back Braces
133,2020-07-08,14352.0,Back Braces
134,2020-07-09,17080.0,Back Braces
135,2020-07-10,17080.0,Back Braces
136,2020-07-11,18596.0,Back Braces
137,2020-07-12,18596.0,Back Braces
138,2020-07-13,18596.0,Back Braces
139,2020-07-14,19167.0,Back Braces
140,2020-07-15,19167.0,Back Braces
141,2020-07-16,19167.0,Back Braces
142,2020-07-17,13852.0,Back Braces
143,2020-07-18,13852.0,Back Braces
144,2020-07-19,13852.0,Back Braces
145,2020-07-20,15128.0,Back Braces
146,2020-07-21,15128.0,Back Braces
147,2020-07-22,15128.0,Back Braces
148,2020-07-23,13614.0,Back Braces
149,2020-07-24,13614.0,Back Braces
150,2020-07-25,13614.0,Back Braces
151,2020-07-26,16463.0,Back Braces
152,2020-07-27,16463.0,Back Braces
153,2020-07-28,16463.0,Back Braces
