,date,value,name_B08SQXH4SK
0,2021-05-08,55694.0,Itch Remedies
1,2021-05-09,27351.0,Itch Remedies
2,2021-05-10,20621.0,Itch Remedies
3,2021-05-11,19313.0,Itch Remedies
4,2021-05-12,15068.0,Itch Remedies
5,2021-05-13,18657.0,Itch Remedies
6,2021-05-14,15120.0,Itch Remedies
7,2021-05-15,12233.0,Itch Remedies
8,2021-05-16,21137.0,Itch Remedies
9,2021-05-17,17146.0,Itch Remedies
10,2021-05-18,9510.0,Itch Remedies
11,2021-05-19,7297.0,Itch Remedies
12,2021-05-20,6973.0,Itch Remedies
13,2021-05-21,6973.0,Itch Remedies
14,2021-05-22,15906.0,Itch Remedies
15,2021-05-23,-1.0,Itch Remedies
16,2021-05-24,9879.0,Itch Remedies
17,2021-05-25,8974.0,Itch Remedies
18,2021-05-26,6866.0,Itch Remedies
19,2021-05-27,6002.0,Itch Remedies
20,2021-05-28,5061.0,Itch Remedies
21,2021-05-29,5674.0,Itch Remedies
22,2021-05-30,3842.0,Itch Remedies
23,2021-05-31,2981.0,Itch Remedies
24,2021-06-01,2690.0,Itch Remedies
25,2021-06-02,3044.0,Itch Remedies
26,2021-06-03,3155.0,Itch Remedies
27,2021-06-04,3134.0,Itch Remedies
28,2021-06-05,3074.0,Itch Remedies
29,2021-06-06,3267.0,Itch Remedies
30,2021-06-07,3494.0,Itch Remedies
31,2021-06-08,4701.0,Itch Remedies
32,2021-06-09,3761.0,Itch Remedies
33,2021-06-10,3588.0,Itch Remedies
34,2021-06-11,3792.0,Itch Remedies
35,2021-06-12,3603.0,Itch Remedies
36,2021-06-13,3622.0,Itch Remedies
37,2021-06-14,3658.0,Itch Remedies
38,2021-06-15,3513.0,Itch Remedies
39,2021-06-16,3496.0,Itch Remedies
40,2021-06-17,4131.0,Itch Remedies
41,2021-06-18,3595.0,Itch Remedies
42,2021-06-19,3311.0,Itch Remedies
43,2021-06-20,4258.0,Itch Remedies
44,2021-06-21,5262.0,Itch Remedies
45,2021-06-22,5709.0,Itch Remedies
46,2021-06-23,6394.0,Itch Remedies
47,2021-06-24,6140.0,Itch Remedies
48,2021-06-25,6025.0,Itch Remedies
49,2021-06-26,7423.0,Itch Remedies
50,2021-06-27,6834.0,Itch Remedies
51,2021-06-28,7201.0,Itch Remedies
52,2021-06-29,7517.0,Itch Remedies
53,2021-06-30,7180.0,Itch Remedies
54,2021-07-01,7117.0,Itch Remedies
55,2021-07-02,7441.0,Itch Remedies
56,2021-07-03,7694.0,Itch Remedies
57,2021-07-04,7694.0,Itch Remedies
58,2021-07-05,6898.0,Itch Remedies
59,2021-07-06,7296.0,Itch Remedies
60,2021-07-07,7460.0,Itch Remedies
61,2021-07-08,6948.0,Itch Remedies
62,2021-07-09,8488.0,Itch Remedies
63,2021-07-10,7944.0,Itch Remedies
64,2021-07-11,7109.0,Itch Remedies
