,date,value,name_B084WWCX92
0,2020-03-04,198549.0,Wall & Tabletop Frames
1,2020-03-05,198549.0,Wall & Tabletop Frames
2,2020-03-06,198549.0,Wall & Tabletop Frames
3,2020-03-07,198549.0,Wall & Tabletop Frames
4,2020-03-08,198549.0,Wall & Tabletop Frames
5,2020-03-09,198549.0,Wall & Tabletop Frames
6,2020-03-10,198549.0,Wall & Tabletop Frames
7,2020-03-11,198549.0,Wall & Tabletop Frames
8,2020-03-12,198549.0,Wall & Tabletop Frames
9,2020-03-13,198549.0,Wall & Tabletop Frames
10,2020-03-14,386091.0,Wall & Tabletop Frames
11,2020-03-15,386091.0,Wall & Tabletop Frames
12,2020-03-16,386091.0,Wall & Tabletop Frames
13,2020-03-17,273375.0,Wall & Tabletop Frames
14,2020-03-18,273375.0,Wall & Tabletop Frames
15,2020-03-19,273375.0,Wall & Tabletop Frames
16,2020-03-20,273375.0,Wall & Tabletop Frames
17,2020-03-21,273375.0,Wall & Tabletop Frames
18,2020-03-22,273375.0,Wall & Tabletop Frames
19,2020-03-23,273375.0,Wall & Tabletop Frames
20,2020-03-24,149174.0,Wall & Tabletop Frames
21,2020-03-25,149174.0,Wall & Tabletop Frames
22,2020-03-26,149174.0,Wall & Tabletop Frames
23,2020-03-27,149174.0,Wall & Tabletop Frames
24,2020-03-28,149174.0,Wall & Tabletop Frames
25,2020-03-29,149174.0,Wall & Tabletop Frames
26,2020-03-30,149174.0,Wall & Tabletop Frames
27,2020-03-31,149174.0,Wall & Tabletop Frames
28,2020-04-01,149174.0,Wall & Tabletop Frames
29,2020-04-02,149174.0,Wall & Tabletop Frames
30,2020-04-03,149174.0,Wall & Tabletop Frames
31,2020-04-04,149174.0,Wall & Tabletop Frames
32,2020-04-05,149174.0,Wall & Tabletop Frames
33,2020-04-06,149174.0,Wall & Tabletop Frames
34,2020-04-07,149174.0,Wall & Tabletop Frames
35,2020-04-08,149174.0,Wall & Tabletop Frames
36,2020-04-09,265284.0,Wall & Tabletop Frames
