,date,value,name_B08MFQWF8T
0,2020-11-12,24360.0,Clothing Protectors
1,2020-11-13,24360.0,Clothing Protectors
2,2020-11-14,24360.0,Clothing Protectors
3,2020-11-15,24360.0,Clothing Protectors
4,2020-11-16,24360.0,Clothing Protectors
5,2020-11-17,24360.0,Clothing Protectors
6,2020-11-18,24360.0,Clothing Protectors
7,2020-11-19,24360.0,Clothing Protectors
8,2020-11-20,24360.0,Clothing Protectors
9,2020-11-21,24360.0,Clothing Protectors
10,2020-11-22,24360.0,Clothing Protectors
11,2020-11-23,24360.0,Clothing Protectors
12,2020-11-24,24360.0,Clothing Protectors
13,2020-11-25,23850.0,Clothing Protectors
14,2020-11-26,22247.0,Clothing Protectors
15,2020-11-27,22247.0,Clothing Protectors
16,2020-11-28,22247.0,Clothing Protectors
17,2020-11-29,22247.0,Clothing Protectors
18,2020-11-30,24947.0,Clothing Protectors
19,2020-12-01,23661.0,Clothing Protectors
20,2020-12-02,23661.0,Clothing Protectors
21,2020-12-03,23661.0,Clothing Protectors
22,2020-12-04,23661.0,Clothing Protectors
23,2020-12-05,23661.0,Clothing Protectors
24,2020-12-06,21094.0,Clothing Protectors
25,2020-12-07,23506.0,Clothing Protectors
26,2020-12-08,21715.0,Clothing Protectors
27,2020-12-09,21715.0,Clothing Protectors
28,2020-12-10,21715.0,Clothing Protectors
29,2020-12-11,21715.0,Clothing Protectors
30,2020-12-12,14954.0,Clothing Protectors
31,2020-12-13,15393.0,Clothing Protectors
32,2020-12-14,15530.0,Clothing Protectors
33,2020-12-15,19130.0,Clothing Protectors
34,2020-12-16,16944.0,Clothing Protectors
35,2020-12-17,14338.0,Clothing Protectors
36,2020-12-18,14030.0,Clothing Protectors
37,2020-12-19,14030.0,Clothing Protectors
38,2020-12-20,13021.0,Clothing Protectors
39,2020-12-21,13013.0,Clothing Protectors
40,2020-12-22,13398.0,Clothing Protectors
41,2020-12-23,13292.0,Clothing Protectors
42,2020-12-24,17067.0,Clothing Protectors
43,2020-12-25,15714.0,Clothing Protectors
44,2020-12-26,16437.0,Clothing Protectors
45,2020-12-27,16394.0,Clothing Protectors
46,2020-12-28,21824.0,Clothing Protectors
47,2020-12-29,19824.0,Clothing Protectors
48,2020-12-30,21039.0,Clothing Protectors
49,2020-12-31,17041.0,Clothing Protectors
50,2021-01-01,16466.0,Clothing Protectors
51,2021-01-02,14990.0,Clothing Protectors
52,2021-01-03,17168.0,Clothing Protectors
53,2021-01-04,18221.0,Clothing Protectors
54,2021-01-05,17744.0,Clothing Protectors
55,2021-01-06,17124.0,Clothing Protectors
56,2021-01-07,12946.0,Clothing Protectors
57,2021-01-08,12349.0,Clothing Protectors
58,2021-01-09,14693.0,Clothing Protectors
59,2021-01-10,14693.0,Clothing Protectors
60,2021-01-11,14693.0,Clothing Protectors
