,date,value,name_B093FGCR2R
0,2021-04-28,13052.0,Squirt Guns
1,2021-04-29,13052.0,Squirt Guns
2,2021-04-30,12752.0,Squirt Guns
3,2021-05-01,12752.0,Squirt Guns
4,2021-05-02,13528.0,Squirt Guns
5,2021-05-03,13528.0,Squirt Guns
6,2021-05-04,13528.0,Squirt Guns
7,2021-05-05,10721.0,Squirt Guns
8,2021-05-06,13253.0,Squirt Guns
9,2021-05-07,10463.0,Squirt Guns
10,2021-05-08,10463.0,Squirt Guns
11,2021-05-09,18585.0,Squirt Guns
12,2021-05-10,18585.0,Squirt Guns
13,2021-05-11,13283.0,Squirt Guns
14,2021-05-12,13283.0,Squirt Guns
15,2021-05-13,10495.0,Squirt Guns
16,2021-05-14,10495.0,Squirt Guns
17,2021-05-15,6853.0,Squirt Guns
18,2021-05-16,3398.0,Squirt Guns
19,2021-05-17,4767.0,Squirt Guns
20,2021-05-18,4767.0,Squirt Guns
21,2021-05-19,5192.0,Squirt Guns
22,2021-05-20,4714.0,Squirt Guns
23,2021-05-21,3067.0,Squirt Guns
24,2021-05-22,4717.0,Squirt Guns
25,2021-05-23,4717.0,Squirt Guns
26,2021-05-24,4717.0,Squirt Guns
27,2021-05-25,5773.0,Squirt Guns
28,2021-05-26,5773.0,Squirt Guns
29,2021-05-27,5257.0,Squirt Guns
30,2021-05-28,5257.0,Squirt Guns
31,2021-05-29,7348.0,Squirt Guns
32,2021-05-30,7348.0,Squirt Guns
33,2021-05-31,8248.0,Squirt Guns
34,2021-06-01,7835.0,Squirt Guns
35,2021-06-02,7365.0,Squirt Guns
36,2021-06-03,7365.0,Squirt Guns
37,2021-06-04,7365.0,Squirt Guns
38,2021-06-05,7365.0,Squirt Guns
39,2021-06-06,7365.0,Squirt Guns
40,2021-06-07,4894.0,Squirt Guns
41,2021-06-08,5892.0,Squirt Guns
42,2021-06-09,5892.0,Squirt Guns
43,2021-06-10,4091.0,Squirt Guns
44,2021-06-11,4091.0,Squirt Guns
45,2021-06-12,4531.0,Squirt Guns
46,2021-06-13,4531.0,Squirt Guns
47,2021-06-14,2887.0,Squirt Guns
48,2021-06-15,2271.0,Squirt Guns
49,2021-06-16,2271.0,Squirt Guns
50,2021-06-17,1043.0,Squirt Guns
51,2021-06-18,1043.0,Squirt Guns
52,2021-06-19,1038.0,Squirt Guns
53,2021-06-20,1038.0,Squirt Guns
54,2021-06-21,1120.0,Squirt Guns
55,2021-06-22,3079.0,Squirt Guns
56,2021-06-23,3638.0,Squirt Guns
57,2021-06-24,3159.0,Squirt Guns
58,2021-06-25,2267.0,Squirt Guns
59,2021-06-26,2301.0,Squirt Guns
60,2021-06-27,2301.0,Squirt Guns
61,2021-06-28,3010.0,Squirt Guns
62,2021-06-29,2812.0,Squirt Guns
63,2021-06-30,3200.0,Squirt Guns
64,2021-07-01,3200.0,Squirt Guns
65,2021-07-02,3357.0,Squirt Guns
66,2021-07-03,4653.0,Squirt Guns
67,2021-07-04,4653.0,Squirt Guns
68,2021-07-05,4653.0,Squirt Guns
69,2021-07-06,4856.0,Squirt Guns
70,2021-07-07,5938.0,Squirt Guns
71,2021-07-08,6701.0,Squirt Guns
72,2021-07-09,6701.0,Squirt Guns
73,2021-07-10,8837.0,Squirt Guns
74,2021-07-11,7887.0,Squirt Guns
