,date,value,name_B07S9F4Z4H
0,2020-03-16,475179.0,Beads & Bead Assortments
1,2020-03-17,205781.0,Beads & Bead Assortments
2,2020-03-18,331090.0,Beads & Bead Assortments
3,2020-03-19,331090.0,Beads & Bead Assortments
4,2020-03-20,373156.0,Beads & Bead Assortments
5,2020-03-21,210677.0,Beads & Bead Assortments
6,2020-03-22,210677.0,Beads & Bead Assortments
7,2020-03-23,210677.0,Beads & Bead Assortments
8,2020-03-24,210677.0,Beads & Bead Assortments
9,2020-03-25,593751.0,Beads & Bead Assortments
10,2020-03-26,622410.0,Beads & Bead Assortments
11,2020-03-27,307093.0,Beads & Bead Assortments
12,2020-03-28,467893.0,Beads & Bead Assortments
13,2020-03-29,467893.0,Beads & Bead Assortments
14,2020-03-30,650271.0,Beads & Bead Assortments
15,2020-03-31,650271.0,Beads & Bead Assortments
16,2020-04-01,650271.0,Beads & Bead Assortments
17,2020-04-02,296663.0,Beads & Bead Assortments
18,2020-04-03,296663.0,Beads & Bead Assortments
19,2020-04-04,296663.0,Beads & Bead Assortments
20,2020-04-05,296663.0,Beads & Bead Assortments
21,2020-04-06,296663.0,Beads & Bead Assortments
22,2020-04-07,296663.0,Beads & Bead Assortments
23,2020-04-08,296663.0,Beads & Bead Assortments
24,2020-04-09,-1.0,Beads & Bead Assortments
25,2020-04-10,-1.0,Beads & Bead Assortments
26,2020-04-11,-1.0,Beads & Bead Assortments
27,2020-04-12,-1.0,Beads & Bead Assortments
28,2020-04-13,-1.0,Beads & Bead Assortments
29,2020-04-14,-1.0,Beads & Bead Assortments
30,2020-04-15,-1.0,Beads & Bead Assortments
31,2020-04-16,-1.0,Beads & Bead Assortments
32,2020-04-17,-1.0,Beads & Bead Assortments
33,2020-04-18,-1.0,Beads & Bead Assortments
34,2020-04-19,-1.0,Beads & Bead Assortments
35,2020-04-20,-1.0,Beads & Bead Assortments
36,2020-04-21,-1.0,Beads & Bead Assortments
37,2020-04-22,-1.0,Beads & Bead Assortments
38,2020-04-23,-1.0,Beads & Bead Assortments
39,2020-04-24,-1.0,Beads & Bead Assortments
40,2020-04-25,-1.0,Beads & Bead Assortments
41,2020-04-26,-1.0,Beads & Bead Assortments
42,2020-04-27,-1.0,Beads & Bead Assortments
43,2020-04-28,-1.0,Beads & Bead Assortments
44,2020-04-29,-1.0,Beads & Bead Assortments
45,2020-04-30,-1.0,Beads & Bead Assortments
46,2020-05-01,-1.0,Beads & Bead Assortments
47,2020-05-02,-1.0,Beads & Bead Assortments
48,2020-05-03,-1.0,Beads & Bead Assortments
49,2020-05-04,-1.0,Beads & Bead Assortments
50,2020-05-05,-1.0,Beads & Bead Assortments
51,2020-05-06,-1.0,Beads & Bead Assortments
52,2020-05-07,-1.0,Beads & Bead Assortments
53,2020-05-08,-1.0,Beads & Bead Assortments
54,2020-05-09,-1.0,Beads & Bead Assortments
55,2020-05-10,-1.0,Beads & Bead Assortments
56,2020-05-11,-1.0,Beads & Bead Assortments
57,2020-05-12,-1.0,Beads & Bead Assortments
58,2020-05-13,-1.0,Beads & Bead Assortments
59,2020-05-14,-1.0,Beads & Bead Assortments
60,2020-05-15,-1.0,Beads & Bead Assortments
61,2020-05-16,-1.0,Beads & Bead Assortments
62,2020-05-17,-1.0,Beads & Bead Assortments
63,2020-05-18,-1.0,Beads & Bead Assortments
64,2020-05-19,-1.0,Beads & Bead Assortments
65,2020-05-20,-1.0,Beads & Bead Assortments
66,2020-05-21,-1.0,Beads & Bead Assortments
67,2020-05-22,493.0,Beads & Bead Assortments
68,2020-05-23,385.0,Beads & Bead Assortments
69,2020-05-24,381.0,Beads & Bead Assortments
70,2020-05-25,524.0,Beads & Bead Assortments
71,2020-05-26,400.0,Beads & Bead Assortments
72,2020-05-27,400.0,Beads & Bead Assortments
73,2020-05-28,367.0,Beads & Bead Assortments
74,2020-05-29,367.0,Beads & Bead Assortments
75,2020-05-30,427.0,Beads & Bead Assortments
76,2020-05-31,383.0,Beads & Bead Assortments
77,2020-06-01,388.0,Beads & Bead Assortments
78,2020-06-02,388.0,Beads & Bead Assortments
79,2020-06-03,388.0,Beads & Bead Assortments
80,2020-06-04,320.0,Beads & Bead Assortments
81,2020-06-05,270.0,Beads & Bead Assortments
82,2020-06-06,322.0,Beads & Bead Assortments
83,2020-06-07,381.0,Beads & Bead Assortments
84,2020-06-08,400.0,Beads & Bead Assortments
85,2020-06-09,414.0,Beads & Bead Assortments
86,2020-06-10,375.0,Beads & Bead Assortments
87,2020-06-11,353.0,Beads & Bead Assortments
88,2020-06-12,329.0,Beads & Bead Assortments
89,2020-06-13,338.0,Beads & Bead Assortments
90,2020-06-14,342.0,Beads & Bead Assortments
91,2020-06-15,327.0,Beads & Bead Assortments
92,2020-06-16,357.0,Beads & Bead Assortments
93,2020-06-17,307.0,Beads & Bead Assortments
