,date,value,name_B01AOFZMYE
159,2019-11-04,3625.0,Container Sets
160,2019-11-05,3071.0,Container Sets
161,2019-11-06,3071.0,Container Sets
162,2019-11-07,2565.0,Container Sets
163,2019-11-08,2636.0,Container Sets
164,2019-11-09,2435.0,Container Sets
165,2019-11-10,2435.0,Container Sets
166,2019-11-11,3313.0,Container Sets
167,2019-11-12,3313.0,Container Sets
168,2019-11-13,3590.0,Container Sets
169,2019-11-14,3931.0,Container Sets
170,2019-11-15,4645.0,Container Sets
171,2019-11-16,3720.0,Container Sets
172,2019-11-17,3720.0,Container Sets
173,2019-11-18,4699.0,Container Sets
174,2019-11-19,130.0,Container Sets
175,2019-11-20,601.0,Container Sets
176,2019-11-21,1019.0,Container Sets
177,2019-11-22,1522.0,Container Sets
178,2019-11-23,1927.0,Container Sets
179,2019-11-24,2202.0,Container Sets
180,2019-11-25,3111.0,Container Sets
181,2019-11-26,1995.0,Container Sets
182,2019-11-27,2177.0,Container Sets
183,2019-11-28,2030.0,Container Sets
184,2019-11-29,2111.0,Container Sets
185,2019-11-30,3211.0,Container Sets
186,2019-12-01,2844.0,Container Sets
187,2019-12-02,2844.0,Container Sets
188,2019-12-03,3425.0,Container Sets
189,2019-12-04,2998.0,Container Sets
190,2019-12-05,2998.0,Container Sets
191,2019-12-06,2998.0,Container Sets
192,2019-12-07,2641.0,Container Sets
193,2019-12-08,2625.0,Container Sets
194,2019-12-09,2665.0,Container Sets
195,2019-12-10,2665.0,Container Sets
196,2019-12-11,1602.0,Container Sets
197,2019-12-12,1658.0,Container Sets
198,2019-12-13,1819.0,Container Sets
199,2019-12-14,2388.0,Container Sets
200,2019-12-15,2388.0,Container Sets
201,2019-12-16,2421.0,Container Sets
202,2019-12-17,2421.0,Container Sets
203,2019-12-18,2683.0,Container Sets
204,2019-12-19,2683.0,Container Sets
205,2019-12-20,2675.0,Container Sets
206,2019-12-21,2690.0,Container Sets
207,2019-12-22,2690.0,Container Sets
208,2019-12-23,2764.0,Container Sets
209,2019-12-24,2760.0,Container Sets
210,2019-12-25,2576.0,Container Sets
211,2019-12-26,2576.0,Container Sets
212,2019-12-27,2571.0,Container Sets
213,2019-12-28,2847.0,Container Sets
214,2019-12-29,2847.0,Container Sets
215,2019-12-30,2023.0,Container Sets
216,2019-12-31,2023.0,Container Sets
217,2020-01-01,2023.0,Container Sets
218,2020-01-02,2122.0,Container Sets
219,2020-01-03,2122.0,Container Sets
220,2020-01-04,2122.0,Container Sets
221,2020-01-05,1282.0,Container Sets
222,2020-01-06,1700.0,Container Sets
223,2020-01-07,1700.0,Container Sets
224,2020-01-08,1801.0,Container Sets
225,2020-01-09,1801.0,Container Sets
226,2020-01-10,1801.0,Container Sets
227,2020-01-11,2302.0,Container Sets
228,2020-01-12,2036.0,Container Sets
229,2020-01-13,2036.0,Container Sets
230,2020-01-14,2387.0,Container Sets
231,2020-01-15,2488.0,Container Sets
232,2020-01-16,2488.0,Container Sets
233,2020-01-17,2020.0,Container Sets
234,2020-01-18,2478.0,Container Sets
235,2020-01-19,2478.0,Container Sets
236,2020-01-20,2478.0,Container Sets
