,date,value,name_B08Q886NY9
0,2020-12-21,27202.0,Garden Netting
1,2020-12-22,22839.0,Garden Netting
2,2020-12-23,35040.0,Garden Netting
3,2020-12-24,22484.0,Garden Netting
4,2020-12-25,22484.0,Garden Netting
5,2020-12-26,22484.0,Garden Netting
6,2020-12-27,22484.0,Garden Netting
7,2020-12-28,22484.0,Garden Netting
8,2020-12-29,16821.0,Garden Netting
9,2020-12-30,16024.0,Garden Netting
10,2020-12-31,16024.0,Garden Netting
11,2021-01-01,16024.0,Garden Netting
12,2021-01-02,16024.0,Garden Netting
13,2021-01-03,14722.0,Garden Netting
14,2021-01-04,14450.0,Garden Netting
15,2021-01-05,13144.0,Garden Netting
16,2021-01-06,13461.0,Garden Netting
17,2021-01-07,14495.0,Garden Netting
18,2021-01-08,14495.0,Garden Netting
19,2021-01-09,14495.0,Garden Netting
20,2021-01-10,14495.0,Garden Netting
21,2021-01-11,11655.0,Garden Netting
22,2021-01-12,11655.0,Garden Netting
23,2021-01-13,10243.0,Garden Netting
24,2021-01-14,12672.0,Garden Netting
25,2021-01-15,12321.0,Garden Netting
26,2021-01-16,15249.0,Garden Netting
27,2021-01-17,15249.0,Garden Netting
28,2021-01-18,15249.0,Garden Netting
29,2021-01-19,11058.0,Garden Netting
30,2021-01-20,13335.0,Garden Netting
31,2021-01-21,26015.0,Garden Netting
32,2021-01-22,26015.0,Garden Netting
33,2021-01-23,26015.0,Garden Netting
34,2021-01-24,18735.0,Garden Netting
35,2021-01-25,18735.0,Garden Netting
36,2021-01-26,18735.0,Garden Netting
37,2021-01-27,23036.0,Garden Netting
38,2021-01-28,23036.0,Garden Netting
39,2021-01-29,20638.0,Garden Netting
40,2021-01-30,20638.0,Garden Netting
41,2021-01-31,20638.0,Garden Netting
42,2021-02-01,12100.0,Garden Netting
43,2021-02-02,21389.0,Garden Netting
44,2021-02-03,21389.0,Garden Netting
45,2021-02-04,19413.0,Garden Netting
46,2021-02-05,19413.0,Garden Netting
47,2021-02-06,19413.0,Garden Netting
48,2021-02-07,19413.0,Garden Netting
49,2021-02-08,12794.0,Garden Netting
50,2021-02-09,12794.0,Garden Netting
51,2021-02-10,12794.0,Garden Netting
52,2021-02-11,14199.0,Garden Netting
53,2021-02-12,14199.0,Garden Netting
54,2021-02-13,14199.0,Garden Netting
55,2021-02-14,14199.0,Garden Netting
56,2021-02-15,9969.0,Garden Netting
57,2021-02-16,9969.0,Garden Netting
58,2021-02-17,9969.0,Garden Netting
59,2021-02-18,13295.0,Garden Netting
60,2021-02-19,10874.0,Garden Netting
61,2021-02-20,10874.0,Garden Netting
62,2021-02-21,10874.0,Garden Netting
63,2021-02-22,10874.0,Garden Netting
64,2021-02-23,7171.0,Garden Netting
65,2021-02-24,5271.0,Garden Netting
66,2021-02-25,5493.0,Garden Netting
67,2021-02-26,4014.0,Garden Netting
68,2021-02-27,4014.0,Garden Netting
69,2021-02-28,5574.0,Garden Netting
70,2021-03-01,5866.0,Garden Netting
71,2021-03-02,5866.0,Garden Netting
72,2021-03-03,4439.0,Garden Netting
73,2021-03-04,5929.0,Garden Netting
74,2021-03-05,5432.0,Garden Netting
75,2021-03-06,5263.0,Garden Netting
76,2021-03-07,5263.0,Garden Netting
77,2021-03-08,5263.0,Garden Netting
78,2021-03-09,5029.0,Garden Netting
79,2021-03-10,5974.0,Garden Netting
80,2021-03-11,6765.0,Garden Netting
81,2021-03-12,7393.0,Garden Netting
82,2021-03-13,7393.0,Garden Netting
83,2021-03-14,5651.0,Garden Netting
84,2021-03-15,5651.0,Garden Netting
85,2021-03-16,5797.0,Garden Netting
86,2021-03-17,5797.0,Garden Netting
87,2021-03-18,5797.0,Garden Netting
88,2021-03-19,5797.0,Garden Netting
89,2021-03-20,11422.0,Garden Netting
90,2021-03-21,11422.0,Garden Netting
91,2021-03-22,9357.0,Garden Netting
92,2021-03-23,10426.0,Garden Netting
93,2021-03-24,7095.0,Garden Netting
94,2021-03-25,7095.0,Garden Netting
95,2021-03-26,8007.0,Garden Netting
96,2021-03-27,6789.0,Garden Netting
97,2021-03-28,6789.0,Garden Netting
98,2021-03-29,5059.0,Garden Netting
99,2021-03-30,6671.0,Garden Netting
100,2021-03-31,6249.0,Garden Netting
101,2021-04-01,5540.0,Garden Netting
102,2021-04-02,5540.0,Garden Netting
103,2021-04-03,5540.0,Garden Netting
104,2021-04-04,5414.0,Garden Netting
105,2021-04-05,5414.0,Garden Netting
106,2021-04-06,5171.0,Garden Netting
107,2021-04-07,5214.0,Garden Netting
108,2021-04-08,4682.0,Garden Netting
109,2021-04-09,5221.0,Garden Netting
110,2021-04-10,5221.0,Garden Netting
111,2021-04-11,5284.0,Garden Netting
112,2021-04-12,4987.0,Garden Netting
113,2021-04-13,4588.0,Garden Netting
114,2021-04-14,3466.0,Garden Netting
115,2021-04-15,3777.0,Garden Netting
116,2021-04-16,3873.0,Garden Netting
117,2021-04-17,3521.0,Garden Netting
118,2021-04-18,4326.0,Garden Netting
119,2021-04-19,4326.0,Garden Netting
120,2021-04-20,4741.0,Garden Netting
121,2021-04-21,4741.0,Garden Netting
122,2021-04-22,4699.0,Garden Netting
123,2021-04-23,4813.0,Garden Netting
124,2021-04-24,4756.0,Garden Netting
125,2021-04-25,4756.0,Garden Netting
126,2021-04-26,4391.0,Garden Netting
127,2021-04-27,4391.0,Garden Netting
128,2021-04-28,6524.0,Garden Netting
129,2021-04-29,6359.0,Garden Netting
130,2021-04-30,6359.0,Garden Netting
131,2021-05-01,4722.0,Garden Netting
132,2021-05-02,7152.0,Garden Netting
