,date,value,name_B08PDR79YP
0,2020-12-15,27833.0,Pencil Holders
1,2020-12-16,27833.0,Pencil Holders
2,2020-12-17,27833.0,Pencil Holders
3,2020-12-18,27833.0,Pencil Holders
4,2020-12-19,27833.0,Pencil Holders
5,2020-12-20,27833.0,Pencil Holders
6,2020-12-21,27833.0,Pencil Holders
7,2020-12-22,27833.0,Pencil Holders
8,2020-12-23,27833.0,Pencil Holders
9,2020-12-24,33372.0,Pencil Holders
10,2020-12-25,33372.0,Pencil Holders
11,2020-12-26,33372.0,Pencil Holders
12,2020-12-27,33372.0,Pencil Holders
13,2020-12-28,17875.0,Pencil Holders
14,2020-12-29,17875.0,Pencil Holders
15,2020-12-30,17875.0,Pencil Holders
16,2020-12-31,17875.0,Pencil Holders
17,2021-01-01,17875.0,Pencil Holders
18,2021-01-02,17875.0,Pencil Holders
19,2021-01-03,27180.0,Pencil Holders
20,2021-01-04,27180.0,Pencil Holders
21,2021-01-05,27180.0,Pencil Holders
22,2021-01-06,19382.0,Pencil Holders
23,2021-01-07,45059.0,Pencil Holders
24,2021-01-08,45059.0,Pencil Holders
25,2021-01-09,45059.0,Pencil Holders
26,2021-01-10,45059.0,Pencil Holders
27,2021-01-11,45059.0,Pencil Holders
28,2021-01-12,45059.0,Pencil Holders
29,2021-01-13,45059.0,Pencil Holders
30,2021-01-14,24718.0,Pencil Holders
31,2021-01-15,24718.0,Pencil Holders
32,2021-01-16,26995.0,Pencil Holders
33,2021-01-17,26995.0,Pencil Holders
34,2021-01-18,26220.0,Pencil Holders
35,2021-01-19,37415.0,Pencil Holders
36,2021-01-20,37415.0,Pencil Holders
37,2021-01-21,37415.0,Pencil Holders
38,2021-01-22,37415.0,Pencil Holders
39,2021-01-23,18425.0,Pencil Holders
40,2021-01-24,18425.0,Pencil Holders
41,2021-01-25,18425.0,Pencil Holders
42,2021-01-26,25884.0,Pencil Holders
43,2021-01-27,25884.0,Pencil Holders
44,2021-01-28,15695.0,Pencil Holders
45,2021-01-29,15695.0,Pencil Holders
46,2021-01-30,15695.0,Pencil Holders
47,2021-01-31,15695.0,Pencil Holders
48,2021-02-01,15695.0,Pencil Holders
49,2021-02-02,29491.0,Pencil Holders
50,2021-02-03,29491.0,Pencil Holders
51,2021-02-04,29491.0,Pencil Holders
52,2021-02-05,25958.0,Pencil Holders
53,2021-02-06,25958.0,Pencil Holders
54,2021-02-07,25958.0,Pencil Holders
55,2021-02-08,25958.0,Pencil Holders
56,2021-02-09,25958.0,Pencil Holders
57,2021-02-10,31240.0,Pencil Holders
58,2021-02-11,31240.0,Pencil Holders
59,2021-02-12,31240.0,Pencil Holders
60,2021-02-13,31240.0,Pencil Holders
61,2021-02-14,31240.0,Pencil Holders
62,2021-02-15,40334.0,Pencil Holders
63,2021-02-16,40334.0,Pencil Holders
64,2021-02-17,40334.0,Pencil Holders
65,2021-02-18,37279.0,Pencil Holders
66,2021-02-19,37279.0,Pencil Holders
67,2021-02-20,37279.0,Pencil Holders
68,2021-02-21,37279.0,Pencil Holders
69,2021-02-22,37279.0,Pencil Holders
70,2021-02-23,23668.0,Pencil Holders
71,2021-02-24,23668.0,Pencil Holders
72,2021-02-25,23999.0,Pencil Holders
73,2021-02-26,23999.0,Pencil Holders
74,2021-02-27,23999.0,Pencil Holders
75,2021-02-28,23999.0,Pencil Holders
76,2021-03-01,19161.0,Pencil Holders
77,2021-03-02,19161.0,Pencil Holders
78,2021-03-03,19161.0,Pencil Holders
79,2021-03-04,23523.0,Pencil Holders
80,2021-03-05,23523.0,Pencil Holders
81,2021-03-06,23523.0,Pencil Holders
82,2021-03-07,25678.0,Pencil Holders
83,2021-03-08,14852.0,Pencil Holders
84,2021-03-09,14852.0,Pencil Holders
85,2021-03-10,14852.0,Pencil Holders
86,2021-03-11,14852.0,Pencil Holders
87,2021-03-12,14852.0,Pencil Holders
88,2021-03-13,14361.0,Pencil Holders
89,2021-03-14,14361.0,Pencil Holders
90,2021-03-15,14361.0,Pencil Holders
91,2021-03-16,14361.0,Pencil Holders
92,2021-03-17,17221.0,Pencil Holders
93,2021-03-18,17221.0,Pencil Holders
94,2021-03-19,17221.0,Pencil Holders
95,2021-03-20,17221.0,Pencil Holders
96,2021-03-21,17221.0,Pencil Holders
97,2021-03-22,21684.0,Pencil Holders
98,2021-03-23,21684.0,Pencil Holders
99,2021-03-24,21684.0,Pencil Holders
100,2021-03-25,14212.0,Pencil Holders
101,2021-03-26,14212.0,Pencil Holders
102,2021-03-27,13374.0,Pencil Holders
103,2021-03-28,16490.0,Pencil Holders
104,2021-03-29,12980.0,Pencil Holders
105,2021-03-30,11700.0,Pencil Holders
106,2021-03-31,13633.0,Pencil Holders
107,2021-04-01,12153.0,Pencil Holders
108,2021-04-02,16156.0,Pencil Holders
109,2021-04-03,18301.0,Pencil Holders
110,2021-04-04,18301.0,Pencil Holders
111,2021-04-05,14897.0,Pencil Holders
112,2021-04-06,14897.0,Pencil Holders
113,2021-04-07,11711.0,Pencil Holders
114,2021-04-08,13128.0,Pencil Holders
115,2021-04-09,14524.0,Pencil Holders
116,2021-04-10,14524.0,Pencil Holders
117,2021-04-11,14524.0,Pencil Holders
118,2021-04-12,14961.0,Pencil Holders
119,2021-04-13,14961.0,Pencil Holders
120,2021-04-14,10392.0,Pencil Holders
121,2021-04-15,10392.0,Pencil Holders
122,2021-04-16,8944.0,Pencil Holders
123,2021-04-17,12661.0,Pencil Holders
124,2021-04-18,16141.0,Pencil Holders
125,2021-04-19,23405.0,Pencil Holders
126,2021-04-20,19116.0,Pencil Holders
127,2021-04-21,15136.0,Pencil Holders
128,2021-04-22,10001.0,Pencil Holders
129,2021-04-23,15838.0,Pencil Holders
130,2021-04-24,11493.0,Pencil Holders
131,2021-04-25,14475.0,Pencil Holders
132,2021-04-26,14475.0,Pencil Holders
133,2021-04-27,12578.0,Pencil Holders
134,2021-04-28,10867.0,Pencil Holders
135,2021-04-29,12442.0,Pencil Holders
136,2021-04-30,10999.0,Pencil Holders
137,2021-05-01,9479.0,Pencil Holders
138,2021-05-02,9276.0,Pencil Holders
139,2021-05-03,6842.0,Pencil Holders
140,2021-05-04,5977.0,Pencil Holders
141,2021-05-05,6457.0,Pencil Holders
142,2021-05-06,6489.0,Pencil Holders
143,2021-05-07,6783.0,Pencil Holders
144,2021-05-08,8510.0,Pencil Holders
145,2021-05-09,8001.0,Pencil Holders
146,2021-05-10,11232.0,Pencil Holders
147,2021-05-11,7928.0,Pencil Holders
148,2021-05-12,8851.0,Pencil Holders
149,2021-05-13,11018.0,Pencil Holders
150,2021-05-14,7106.0,Pencil Holders
151,2021-05-15,6596.0,Pencil Holders
152,2021-05-16,8793.0,Pencil Holders
153,2021-05-17,12105.0,Pencil Holders
154,2021-05-18,12105.0,Pencil Holders
155,2021-05-19,10511.0,Pencil Holders
156,2021-05-20,8632.0,Pencil Holders
157,2021-05-21,9535.0,Pencil Holders
158,2021-05-22,11158.0,Pencil Holders
159,2021-05-23,10859.0,Pencil Holders
160,2021-05-24,13944.0,Pencil Holders
161,2021-05-25,11625.0,Pencil Holders
162,2021-05-26,9270.0,Pencil Holders
163,2021-05-27,11763.0,Pencil Holders
164,2021-05-28,8126.0,Pencil Holders
165,2021-05-29,9393.0,Pencil Holders
166,2021-05-30,9393.0,Pencil Holders
167,2021-05-31,10752.0,Pencil Holders
168,2021-06-01,7562.0,Pencil Holders
169,2021-06-02,10050.0,Pencil Holders
170,2021-06-03,10050.0,Pencil Holders
171,2021-06-04,13774.0,Pencil Holders
172,2021-06-05,12837.0,Pencil Holders
173,2021-06-06,12837.0,Pencil Holders
174,2021-06-07,10098.0,Pencil Holders
175,2021-06-08,11932.0,Pencil Holders
176,2021-06-09,10599.0,Pencil Holders
177,2021-06-10,16710.0,Pencil Holders
178,2021-06-11,18780.0,Pencil Holders
179,2021-06-12,20669.0,Pencil Holders
180,2021-06-13,19456.0,Pencil Holders
181,2021-06-14,23535.0,Pencil Holders
182,2021-06-15,17913.0,Pencil Holders
183,2021-06-16,15491.0,Pencil Holders
184,2021-06-17,16087.0,Pencil Holders
185,2021-06-18,14153.0,Pencil Holders
186,2021-06-19,18287.0,Pencil Holders
187,2021-06-20,18287.0,Pencil Holders
188,2021-06-21,15754.0,Pencil Holders
189,2021-06-22,12146.0,Pencil Holders
190,2021-06-23,12146.0,Pencil Holders
191,2021-06-24,11214.0,Pencil Holders
192,2021-06-25,11046.0,Pencil Holders
193,2021-06-26,11046.0,Pencil Holders
194,2021-06-27,6949.0,Pencil Holders
195,2021-06-28,11820.0,Pencil Holders
196,2021-06-29,11770.0,Pencil Holders
197,2021-06-30,11770.0,Pencil Holders
198,2021-07-01,12827.0,Pencil Holders
199,2021-07-02,8783.0,Pencil Holders
200,2021-07-03,6475.0,Pencil Holders
201,2021-07-04,6475.0,Pencil Holders
202,2021-07-05,9922.0,Pencil Holders
203,2021-07-06,14138.0,Pencil Holders
204,2021-07-07,15946.0,Pencil Holders
205,2021-07-08,16312.0,Pencil Holders
206,2021-07-09,17161.0,Pencil Holders
