,date,value,name_B089DQ191N
0,2020-06-08,7526.0,Greeting Cards
1,2020-06-09,6602.0,Greeting Cards
2,2020-06-10,6602.0,Greeting Cards
3,2020-06-11,6602.0,Greeting Cards
4,2020-06-12,6602.0,Greeting Cards
5,2020-06-13,6602.0,Greeting Cards
6,2020-06-14,9041.0,Greeting Cards
7,2020-06-15,9041.0,Greeting Cards
8,2020-06-16,9041.0,Greeting Cards
9,2020-06-17,7869.0,Greeting Cards
10,2020-06-18,7869.0,Greeting Cards
11,2020-06-19,7869.0,Greeting Cards
12,2020-06-20,7869.0,Greeting Cards
13,2020-06-21,7869.0,Greeting Cards
14,2020-06-22,7869.0,Greeting Cards
15,2020-06-23,8049.0,Greeting Cards
16,2020-06-24,8049.0,Greeting Cards
17,2020-06-25,8049.0,Greeting Cards
18,2020-06-26,8049.0,Greeting Cards
19,2020-06-27,8049.0,Greeting Cards
20,2020-06-28,8049.0,Greeting Cards
21,2020-06-29,11202.0,Greeting Cards
22,2020-06-30,11202.0,Greeting Cards
23,2020-07-01,11202.0,Greeting Cards
24,2020-07-02,9030.0,Greeting Cards
25,2020-07-03,9030.0,Greeting Cards
26,2020-07-04,9615.0,Greeting Cards
27,2020-07-05,9615.0,Greeting Cards
28,2020-07-06,9615.0,Greeting Cards
29,2020-07-07,9615.0,Greeting Cards
30,2020-07-08,9615.0,Greeting Cards
31,2020-07-09,9615.0,Greeting Cards
32,2020-07-10,12574.0,Greeting Cards
33,2020-07-11,12574.0,Greeting Cards
34,2020-07-12,12574.0,Greeting Cards
35,2020-07-13,12574.0,Greeting Cards
36,2020-07-14,12574.0,Greeting Cards
37,2020-07-15,12574.0,Greeting Cards
38,2020-07-16,9920.0,Greeting Cards
39,2020-07-17,9920.0,Greeting Cards
40,2020-07-18,9920.0,Greeting Cards
41,2020-07-19,9920.0,Greeting Cards
42,2020-07-20,9920.0,Greeting Cards
43,2020-07-21,9920.0,Greeting Cards
44,2020-07-22,6116.0,Greeting Cards
45,2020-07-23,6116.0,Greeting Cards
46,2020-07-24,6116.0,Greeting Cards
47,2020-07-25,11787.0,Greeting Cards
48,2020-07-26,11787.0,Greeting Cards
49,2020-07-27,11787.0,Greeting Cards
50,2020-07-28,11787.0,Greeting Cards
51,2020-07-29,11787.0,Greeting Cards
52,2020-07-30,11787.0,Greeting Cards
53,2020-07-31,11787.0,Greeting Cards
54,2020-08-01,11787.0,Greeting Cards
55,2020-08-02,11787.0,Greeting Cards
56,2020-08-03,11787.0,Greeting Cards
57,2020-08-04,11787.0,Greeting Cards
58,2020-08-05,10829.0,Greeting Cards
59,2020-08-06,10829.0,Greeting Cards
60,2020-08-07,10829.0,Greeting Cards
61,2020-08-08,11706.0,Greeting Cards
62,2020-08-09,11706.0,Greeting Cards
63,2020-08-10,11706.0,Greeting Cards
64,2020-08-11,11706.0,Greeting Cards
65,2020-08-12,11706.0,Greeting Cards
66,2020-08-13,11706.0,Greeting Cards
67,2020-08-14,11706.0,Greeting Cards
68,2020-08-15,10924.0,Greeting Cards
69,2020-08-16,10924.0,Greeting Cards
70,2020-08-17,10924.0,Greeting Cards
71,2020-08-18,10924.0,Greeting Cards
72,2020-08-19,10924.0,Greeting Cards
73,2020-08-20,10924.0,Greeting Cards
74,2020-08-21,10924.0,Greeting Cards
75,2020-08-22,10924.0,Greeting Cards
76,2020-08-23,10924.0,Greeting Cards
77,2020-08-24,11056.0,Greeting Cards
78,2020-08-25,11056.0,Greeting Cards
79,2020-08-26,11056.0,Greeting Cards
80,2020-08-27,22376.0,Greeting Cards
81,2020-08-28,22376.0,Greeting Cards
82,2020-08-29,22376.0,Greeting Cards
83,2020-08-30,22376.0,Greeting Cards
84,2020-08-31,22376.0,Greeting Cards
85,2020-09-01,22376.0,Greeting Cards
86,2020-09-02,22376.0,Greeting Cards
87,2020-09-03,22376.0,Greeting Cards
88,2020-09-04,22376.0,Greeting Cards
89,2020-09-05,12338.0,Greeting Cards
90,2020-09-06,12338.0,Greeting Cards
91,2020-09-07,12338.0,Greeting Cards
92,2020-09-08,12338.0,Greeting Cards
93,2020-09-09,11582.0,Greeting Cards
94,2020-09-10,11582.0,Greeting Cards
95,2020-09-11,15733.0,Greeting Cards
96,2020-09-12,15733.0,Greeting Cards
97,2020-09-13,15733.0,Greeting Cards
98,2020-09-14,15733.0,Greeting Cards
99,2020-09-15,15733.0,Greeting Cards
100,2020-09-16,15733.0,Greeting Cards
101,2020-09-17,13862.0,Greeting Cards
102,2020-09-18,13862.0,Greeting Cards
103,2020-09-19,13862.0,Greeting Cards
104,2020-09-20,13862.0,Greeting Cards
105,2020-09-21,13862.0,Greeting Cards
106,2020-09-22,13862.0,Greeting Cards
107,2020-09-23,13862.0,Greeting Cards
108,2020-09-24,13862.0,Greeting Cards
109,2020-09-25,16764.0,Greeting Cards
110,2020-09-26,16764.0,Greeting Cards
111,2020-09-27,16764.0,Greeting Cards
112,2020-09-28,16764.0,Greeting Cards
113,2020-09-29,10514.0,Greeting Cards
114,2020-09-30,10514.0,Greeting Cards
115,2020-10-01,10514.0,Greeting Cards
116,2020-10-02,12410.0,Greeting Cards
117,2020-10-03,12410.0,Greeting Cards
118,2020-10-04,12410.0,Greeting Cards
119,2020-10-05,12410.0,Greeting Cards
120,2020-10-06,16973.0,Greeting Cards
121,2020-10-07,16973.0,Greeting Cards
122,2020-10-08,16973.0,Greeting Cards
123,2020-10-09,16973.0,Greeting Cards
124,2020-10-10,16973.0,Greeting Cards
