,date,value,name_B077BMBT3C
0,2020-05-23,3245.0,Flavonoids
1,2020-05-24,2924.0,Flavonoids
2,2020-05-25,3625.0,Flavonoids
3,2020-05-26,3429.0,Flavonoids
4,2020-05-27,3721.0,Flavonoids
5,2020-05-28,3721.0,Flavonoids
6,2020-05-29,3516.0,Flavonoids
7,2020-05-30,4152.0,Flavonoids
8,2020-05-31,4512.0,Flavonoids
9,2020-06-01,3780.0,Flavonoids
10,2020-06-02,4330.0,Flavonoids
11,2020-06-03,4330.0,Flavonoids
12,2020-06-04,4595.0,Flavonoids
13,2020-06-05,4595.0,Flavonoids
14,2020-06-06,5096.0,Flavonoids
15,2020-06-07,5096.0,Flavonoids
16,2020-06-08,5244.0,Flavonoids
17,2020-06-09,5244.0,Flavonoids
18,2020-06-10,5359.0,Flavonoids
19,2020-06-11,5019.0,Flavonoids
20,2020-06-12,5019.0,Flavonoids
21,2020-06-13,4720.0,Flavonoids
22,2020-06-14,4720.0,Flavonoids
23,2020-06-15,5409.0,Flavonoids
24,2020-06-16,5409.0,Flavonoids
25,2020-06-17,4843.0,Flavonoids
26,2020-06-18,4957.0,Flavonoids
27,2020-06-19,4327.0,Flavonoids
28,2020-06-20,4327.0,Flavonoids
29,2020-06-21,4404.0,Flavonoids
30,2020-06-22,3692.0,Flavonoids
31,2020-06-23,3692.0,Flavonoids
32,2020-06-24,4006.0,Flavonoids
33,2020-06-25,3782.0,Flavonoids
34,2020-06-26,3782.0,Flavonoids
35,2020-06-27,3284.0,Flavonoids
36,2020-06-28,3284.0,Flavonoids
37,2020-06-29,3670.0,Flavonoids
38,2020-06-30,3670.0,Flavonoids
39,2020-07-01,3389.0,Flavonoids
40,2020-07-02,3421.0,Flavonoids
41,2020-07-03,2648.0,Flavonoids
42,2020-07-04,2476.0,Flavonoids
43,2020-07-05,2476.0,Flavonoids
44,2020-07-06,2890.0,Flavonoids
45,2020-07-07,2396.0,Flavonoids
46,2020-07-08,2453.0,Flavonoids
47,2020-07-09,2319.0,Flavonoids
48,2020-07-10,2319.0,Flavonoids
49,2020-07-11,2220.0,Flavonoids
50,2020-07-12,2156.0,Flavonoids
51,2020-07-13,1717.0,Flavonoids
52,2020-07-14,1774.0,Flavonoids
53,2020-07-15,1728.0,Flavonoids
54,2020-07-16,1728.0,Flavonoids
55,2020-07-17,1582.0,Flavonoids
56,2020-07-18,1378.0,Flavonoids
57,2020-07-19,1551.0,Flavonoids
58,2020-07-20,1718.0,Flavonoids
59,2020-07-21,1718.0,Flavonoids
60,2020-07-22,1656.0,Flavonoids
61,2020-07-23,1788.0,Flavonoids
62,2020-07-24,1805.0,Flavonoids
63,2020-07-25,1373.0,Flavonoids
64,2020-07-26,1532.0,Flavonoids
65,2020-07-27,1528.0,Flavonoids
66,2020-07-28,1528.0,Flavonoids
67,2020-07-29,567.0,Flavonoids
68,2020-07-30,451.0,Flavonoids
69,2020-07-31,420.0,Flavonoids
70,2020-08-01,334.0,Flavonoids
71,2020-08-02,291.0,Flavonoids
72,2020-08-03,291.0,Flavonoids
73,2020-08-04,223.0,Flavonoids
74,2020-08-05,208.0,Flavonoids
75,2020-08-06,259.0,Flavonoids
76,2020-08-07,268.0,Flavonoids
77,2020-08-08,268.0,Flavonoids
78,2020-08-09,332.0,Flavonoids
79,2020-08-10,375.0,Flavonoids
80,2020-08-11,337.0,Flavonoids
81,2020-08-12,342.0,Flavonoids
82,2020-08-13,373.0,Flavonoids
83,2020-08-14,415.0,Flavonoids
84,2020-08-15,470.0,Flavonoids
85,2020-08-16,444.0,Flavonoids
86,2020-08-17,272.0,Flavonoids
87,2020-08-18,365.0,Flavonoids
88,2020-08-19,357.0,Flavonoids
89,2020-08-20,470.0,Flavonoids
90,2020-08-21,625.0,Flavonoids
91,2020-08-22,625.0,Flavonoids
92,2020-08-23,744.0,Flavonoids
93,2020-08-24,767.0,Flavonoids
94,2020-08-25,642.0,Flavonoids
95,2020-08-26,754.0,Flavonoids
96,2020-08-27,676.0,Flavonoids
97,2020-08-28,765.0,Flavonoids
98,2020-08-29,765.0,Flavonoids
99,2020-08-30,673.0,Flavonoids
100,2020-08-31,601.0,Flavonoids
101,2020-09-01,787.0,Flavonoids
102,2020-09-02,802.0,Flavonoids
103,2020-09-03,785.0,Flavonoids
104,2020-09-04,806.0,Flavonoids
105,2020-09-05,656.0,Flavonoids
106,2020-09-06,656.0,Flavonoids
107,2020-09-07,712.0,Flavonoids
108,2020-09-08,875.0,Flavonoids
109,2020-09-09,875.0,Flavonoids
110,2020-09-10,869.0,Flavonoids
111,2020-09-11,895.0,Flavonoids
112,2020-09-12,895.0,Flavonoids
113,2020-09-13,917.0,Flavonoids
114,2020-09-14,849.0,Flavonoids
115,2020-09-15,898.0,Flavonoids
116,2020-09-16,1022.0,Flavonoids
117,2020-09-17,940.0,Flavonoids
118,2020-09-18,940.0,Flavonoids
119,2020-09-19,953.0,Flavonoids
120,2020-09-20,1139.0,Flavonoids
121,2020-09-21,1127.0,Flavonoids
122,2020-09-22,1048.0,Flavonoids
123,2020-09-23,1063.0,Flavonoids
124,2020-09-24,993.0,Flavonoids
125,2020-09-25,993.0,Flavonoids
126,2020-09-26,978.0,Flavonoids
127,2020-09-27,978.0,Flavonoids
128,2020-09-28,1159.0,Flavonoids
129,2020-09-29,989.0,Flavonoids
130,2020-09-30,1075.0,Flavonoids
131,2020-10-01,1075.0,Flavonoids
132,2020-10-02,1127.0,Flavonoids
133,2020-10-03,825.0,Flavonoids
134,2020-10-04,825.0,Flavonoids
135,2020-10-05,841.0,Flavonoids
136,2020-10-06,777.0,Flavonoids
137,2020-10-07,757.0,Flavonoids
138,2020-10-08,854.0,Flavonoids
139,2020-10-09,848.0,Flavonoids
140,2020-10-10,371.0,Flavonoids
141,2020-10-11,447.0,Flavonoids
142,2020-10-12,724.0,Flavonoids
143,2020-10-13,730.0,Flavonoids
144,2020-10-14,1019.0,Flavonoids
145,2020-10-15,1145.0,Flavonoids
146,2020-10-16,1145.0,Flavonoids
147,2020-10-17,803.0,Flavonoids
148,2020-10-18,803.0,Flavonoids
149,2020-10-19,862.0,Flavonoids
150,2020-10-20,862.0,Flavonoids
151,2020-10-21,726.0,Flavonoids
152,2020-10-22,747.0,Flavonoids
153,2020-10-23,685.0,Flavonoids
154,2020-10-24,699.0,Flavonoids
155,2020-10-25,699.0,Flavonoids
156,2020-10-26,822.0,Flavonoids
157,2020-10-27,822.0,Flavonoids
158,2020-10-28,763.0,Flavonoids
159,2020-10-29,647.0,Flavonoids
160,2020-10-30,647.0,Flavonoids
161,2020-10-31,687.0,Flavonoids
162,2020-11-01,570.0,Flavonoids
163,2020-11-02,703.0,Flavonoids
164,2020-11-03,703.0,Flavonoids
165,2020-11-04,800.0,Flavonoids
166,2020-11-05,673.0,Flavonoids
167,2020-11-06,673.0,Flavonoids
168,2020-11-07,640.0,Flavonoids
169,2020-11-08,705.0,Flavonoids
170,2020-11-09,705.0,Flavonoids
171,2020-11-10,657.0,Flavonoids
172,2020-11-11,550.0,Flavonoids
173,2020-11-12,466.0,Flavonoids
174,2020-11-13,362.0,Flavonoids
175,2020-11-14,362.0,Flavonoids
176,2020-11-15,364.0,Flavonoids
177,2020-11-16,364.0,Flavonoids
178,2020-11-17,421.0,Flavonoids
179,2020-11-18,316.0,Flavonoids
180,2020-11-19,252.0,Flavonoids
181,2020-11-20,265.0,Flavonoids
182,2020-11-21,237.0,Flavonoids
183,2020-11-22,297.0,Flavonoids
184,2020-11-23,326.0,Flavonoids
185,2020-11-24,343.0,Flavonoids
186,2020-11-25,348.0,Flavonoids
187,2020-11-26,348.0,Flavonoids
188,2020-11-27,457.0,Flavonoids
189,2020-11-28,448.0,Flavonoids
190,2020-11-29,467.0,Flavonoids
191,2020-11-30,435.0,Flavonoids
192,2020-12-01,472.0,Flavonoids
193,2020-12-02,402.0,Flavonoids
194,2020-12-03,379.0,Flavonoids
195,2020-12-04,263.0,Flavonoids
196,2020-12-05,263.0,Flavonoids
197,2020-12-06,344.0,Flavonoids
198,2020-12-07,358.0,Flavonoids
199,2020-12-08,358.0,Flavonoids
200,2020-12-09,310.0,Flavonoids
201,2020-12-10,254.0,Flavonoids
202,2020-12-11,248.0,Flavonoids
203,2020-12-12,238.0,Flavonoids
204,2020-12-13,256.0,Flavonoids
205,2020-12-14,285.0,Flavonoids
206,2020-12-15,249.0,Flavonoids
207,2020-12-16,279.0,Flavonoids
208,2020-12-17,227.0,Flavonoids
209,2020-12-18,259.0,Flavonoids
210,2020-12-19,238.0,Flavonoids
211,2020-12-20,224.0,Flavonoids
212,2020-12-21,252.0,Flavonoids
213,2020-12-22,186.0,Flavonoids
214,2020-12-23,164.0,Flavonoids
215,2020-12-24,23.0,Flavonoids
216,2020-12-25,19.0,Flavonoids
217,2020-12-26,16.0,Flavonoids
218,2020-12-27,18.0,Flavonoids
219,2020-12-28,31.0,Flavonoids
220,2020-12-29,35.0,Flavonoids
221,2020-12-30,54.0,Flavonoids
222,2020-12-31,75.0,Flavonoids
223,2021-01-01,92.0,Flavonoids
224,2021-01-02,132.0,Flavonoids
225,2021-01-03,97.0,Flavonoids
226,2021-01-04,131.0,Flavonoids
227,2021-01-05,143.0,Flavonoids
228,2021-01-06,152.0,Flavonoids
229,2021-01-07,131.0,Flavonoids
230,2021-01-08,76.0,Flavonoids
231,2021-01-09,100.0,Flavonoids
232,2021-01-10,100.0,Flavonoids
233,2021-01-11,128.0,Flavonoids
234,2021-01-12,185.0,Flavonoids
235,2021-01-13,185.0,Flavonoids
236,2021-01-14,273.0,Flavonoids
237,2021-01-15,273.0,Flavonoids
238,2021-01-16,325.0,Flavonoids
239,2021-01-17,325.0,Flavonoids
240,2021-01-18,389.0,Flavonoids
241,2021-01-19,376.0,Flavonoids
242,2021-01-20,285.0,Flavonoids
243,2021-01-21,285.0,Flavonoids
244,2021-01-22,288.0,Flavonoids
245,2021-01-23,244.0,Flavonoids
246,2021-01-24,244.0,Flavonoids
247,2021-01-25,228.0,Flavonoids
248,2021-01-26,228.0,Flavonoids
249,2021-01-27,188.0,Flavonoids
250,2021-01-28,174.0,Flavonoids
251,2021-01-29,174.0,Flavonoids
252,2021-01-30,131.0,Flavonoids
253,2021-01-31,131.0,Flavonoids
254,2021-02-01,149.0,Flavonoids
255,2021-02-02,150.0,Flavonoids
256,2021-02-03,168.0,Flavonoids
257,2021-02-04,171.0,Flavonoids
258,2021-02-05,171.0,Flavonoids
259,2021-02-06,229.0,Flavonoids
260,2021-02-07,233.0,Flavonoids
261,2021-02-08,233.0,Flavonoids
262,2021-02-09,258.0,Flavonoids
263,2021-02-10,298.0,Flavonoids
264,2021-02-11,298.0,Flavonoids
265,2021-02-12,298.0,Flavonoids
266,2021-02-13,245.0,Flavonoids
267,2021-02-14,333.0,Flavonoids
268,2021-02-15,403.0,Flavonoids
269,2021-02-16,403.0,Flavonoids
270,2021-02-17,443.0,Flavonoids
271,2021-02-18,443.0,Flavonoids
272,2021-02-19,452.0,Flavonoids
273,2021-02-20,479.0,Flavonoids
