,date,value,name_B089D8ZQ1S
0,2020-08-13,253181.0,Bath Rugs
1,2020-08-14,253181.0,Bath Rugs
2,2020-08-15,253181.0,Bath Rugs
3,2020-08-16,145815.0,Bath Rugs
4,2020-08-17,145815.0,Bath Rugs
5,2020-08-18,172263.0,Bath Rugs
6,2020-08-19,172263.0,Bath Rugs
7,2020-08-20,172263.0,Bath Rugs
8,2020-08-21,172263.0,Bath Rugs
9,2020-08-22,172263.0,Bath Rugs
10,2020-08-23,166314.0,Bath Rugs
11,2020-08-24,166314.0,Bath Rugs
12,2020-08-25,166314.0,Bath Rugs
13,2020-08-26,166314.0,Bath Rugs
14,2020-08-27,166314.0,Bath Rugs
15,2020-08-28,166314.0,Bath Rugs
16,2020-08-29,166314.0,Bath Rugs
17,2020-08-30,112799.0,Bath Rugs
18,2020-08-31,71801.0,Bath Rugs
19,2020-09-01,71801.0,Bath Rugs
20,2020-09-02,37272.0,Bath Rugs
21,2020-09-03,39405.0,Bath Rugs
22,2020-09-04,35538.0,Bath Rugs
23,2020-09-05,29078.0,Bath Rugs
24,2020-09-06,37228.0,Bath Rugs
25,2020-09-07,41281.0,Bath Rugs
26,2020-09-08,33801.0,Bath Rugs
27,2020-09-09,37373.0,Bath Rugs
28,2020-09-10,42458.0,Bath Rugs
29,2020-09-11,46798.0,Bath Rugs
30,2020-09-12,45962.0,Bath Rugs
31,2020-09-13,39672.0,Bath Rugs
32,2020-09-14,37702.0,Bath Rugs
33,2020-09-15,45121.0,Bath Rugs
34,2020-09-16,45121.0,Bath Rugs
35,2020-09-17,86415.0,Bath Rugs
36,2020-09-18,63180.0,Bath Rugs
37,2020-09-19,58727.0,Bath Rugs
38,2020-09-20,50864.0,Bath Rugs
39,2020-09-21,75782.0,Bath Rugs
40,2020-09-22,51371.0,Bath Rugs
41,2020-09-23,51371.0,Bath Rugs
42,2020-09-24,51371.0,Bath Rugs
43,2020-09-25,97199.0,Bath Rugs
44,2020-09-26,45756.0,Bath Rugs
45,2020-09-27,52881.0,Bath Rugs
46,2020-09-28,90120.0,Bath Rugs
47,2020-09-29,104521.0,Bath Rugs
48,2020-09-30,104521.0,Bath Rugs
49,2020-10-01,81107.0,Bath Rugs
50,2020-10-02,116165.0,Bath Rugs
51,2020-10-03,120587.0,Bath Rugs
52,2020-10-04,127780.0,Bath Rugs
53,2020-10-05,127780.0,Bath Rugs
54,2020-10-06,127780.0,Bath Rugs
55,2020-10-07,127780.0,Bath Rugs
56,2020-10-08,113536.0,Bath Rugs
57,2020-10-09,185385.0,Bath Rugs
58,2020-10-10,134286.0,Bath Rugs
59,2020-10-11,123549.0,Bath Rugs
60,2020-10-12,132329.0,Bath Rugs
61,2020-10-13,188635.0,Bath Rugs
62,2020-10-14,156846.0,Bath Rugs
63,2020-10-15,156846.0,Bath Rugs
64,2020-10-16,160348.0,Bath Rugs
65,2020-10-17,222338.0,Bath Rugs
66,2020-10-18,198899.0,Bath Rugs
67,2020-10-19,194491.0,Bath Rugs
68,2020-10-20,151262.0,Bath Rugs
69,2020-10-21,153096.0,Bath Rugs
70,2020-10-22,98125.0,Bath Rugs
71,2020-10-23,161962.0,Bath Rugs
72,2020-10-24,180531.0,Bath Rugs
73,2020-10-25,170113.0,Bath Rugs
74,2020-10-26,209026.0,Bath Rugs
75,2020-10-27,241014.0,Bath Rugs
76,2020-10-28,300915.0,Bath Rugs
77,2020-10-29,409954.0,Bath Rugs
78,2020-10-30,278770.0,Bath Rugs
79,2020-10-31,377177.0,Bath Rugs
80,2020-11-01,450249.0,Bath Rugs
81,2020-11-02,579918.0,Bath Rugs
82,2020-11-03,9345.0,Bath Rugs
83,2020-11-04,24620.0,Bath Rugs
84,2020-11-05,49476.0,Bath Rugs
85,2020-11-06,69269.0,Bath Rugs
86,2020-11-07,90265.0,Bath Rugs
87,2020-11-08,161958.0,Bath Rugs
88,2020-11-09,199893.0,Bath Rugs
89,2020-11-10,198033.0,Bath Rugs
90,2020-11-11,15172.0,Bath Rugs
91,2020-11-12,38547.0,Bath Rugs
92,2020-11-13,70569.0,Bath Rugs
93,2020-11-14,131660.0,Bath Rugs
94,2020-11-15,178531.0,Bath Rugs
95,2020-11-16,218068.0,Bath Rugs
96,2020-11-17,188554.0,Bath Rugs
97,2020-11-18,220157.0,Bath Rugs
98,2020-11-19,159209.0,Bath Rugs
99,2020-11-20,153985.0,Bath Rugs
100,2020-11-21,138647.0,Bath Rugs
101,2020-11-22,17822.0,Bath Rugs
102,2020-11-23,11548.0,Bath Rugs
103,2020-11-24,8264.0,Bath Rugs
104,2020-11-25,4501.0,Bath Rugs
105,2020-11-26,4501.0,Bath Rugs
106,2020-11-27,6288.0,Bath Rugs
107,2020-11-28,6288.0,Bath Rugs
108,2020-11-29,6288.0,Bath Rugs
109,2020-11-30,6288.0,Bath Rugs
110,2020-12-01,6288.0,Bath Rugs
111,2020-12-02,86473.0,Bath Rugs
112,2020-12-03,103555.0,Bath Rugs
113,2020-12-04,103555.0,Bath Rugs
114,2020-12-05,103555.0,Bath Rugs
115,2020-12-06,103555.0,Bath Rugs
116,2020-12-07,103555.0,Bath Rugs
117,2020-12-08,235197.0,Bath Rugs
118,2020-12-09,235197.0,Bath Rugs
119,2020-12-10,235197.0,Bath Rugs
120,2020-12-11,235197.0,Bath Rugs
121,2020-12-12,235197.0,Bath Rugs
122,2020-12-13,303768.0,Bath Rugs
123,2020-12-14,303768.0,Bath Rugs
124,2020-12-15,303768.0,Bath Rugs
125,2020-12-16,303768.0,Bath Rugs
126,2020-12-17,303768.0,Bath Rugs
127,2020-12-18,303768.0,Bath Rugs
128,2020-12-19,303768.0,Bath Rugs
129,2020-12-20,303768.0,Bath Rugs
130,2020-12-21,303768.0,Bath Rugs
131,2020-12-22,303768.0,Bath Rugs
132,2020-12-23,411395.0,Bath Rugs
133,2020-12-24,400396.0,Bath Rugs
134,2020-12-25,400396.0,Bath Rugs
135,2020-12-26,400396.0,Bath Rugs
136,2020-12-27,400396.0,Bath Rugs
137,2020-12-28,400396.0,Bath Rugs
138,2020-12-29,400396.0,Bath Rugs
139,2020-12-30,400396.0,Bath Rugs
140,2020-12-31,400396.0,Bath Rugs
141,2021-01-01,400396.0,Bath Rugs
142,2021-01-02,400396.0,Bath Rugs
143,2021-01-03,400396.0,Bath Rugs
144,2021-01-04,400396.0,Bath Rugs
145,2021-01-05,400396.0,Bath Rugs
146,2021-01-06,400396.0,Bath Rugs
147,2021-01-07,1456556.0,Bath Rugs
148,2021-01-08,1456556.0,Bath Rugs
149,2021-01-09,1456556.0,Bath Rugs
150,2021-01-10,1456556.0,Bath Rugs
151,2021-01-11,1456556.0,Bath Rugs
152,2021-01-12,1456556.0,Bath Rugs
153,2021-01-13,1456556.0,Bath Rugs
154,2021-01-14,1456556.0,Bath Rugs
155,2021-01-15,1456556.0,Bath Rugs
156,2021-01-16,1456556.0,Bath Rugs
157,2021-01-17,1456556.0,Bath Rugs
158,2021-01-18,1456556.0,Bath Rugs
159,2021-01-19,1456556.0,Bath Rugs
160,2021-01-20,1456556.0,Bath Rugs
161,2021-01-21,1456556.0,Bath Rugs
162,2021-01-22,1456556.0,Bath Rugs
163,2021-01-23,1456556.0,Bath Rugs
164,2021-01-24,1456556.0,Bath Rugs
165,2021-01-25,1456556.0,Bath Rugs
166,2021-01-26,1520659.0,Bath Rugs
167,2021-01-27,1520319.0,Bath Rugs
168,2021-01-28,-1.0,Bath Rugs
