,date,value,name_B08B34GNJJ
0,2020-09-16,625328.0,Sheet & Pillowcase Sets
1,2020-09-17,625328.0,Sheet & Pillowcase Sets
2,2020-09-18,625328.0,Sheet & Pillowcase Sets
3,2020-09-19,625328.0,Sheet & Pillowcase Sets
4,2020-09-20,210015.0,Sheet & Pillowcase Sets
5,2020-09-21,210015.0,Sheet & Pillowcase Sets
6,2020-09-22,210015.0,Sheet & Pillowcase Sets
7,2020-09-23,210015.0,Sheet & Pillowcase Sets
8,2020-09-24,210015.0,Sheet & Pillowcase Sets
9,2020-09-25,210015.0,Sheet & Pillowcase Sets
10,2020-09-26,481570.0,Sheet & Pillowcase Sets
11,2020-09-27,481570.0,Sheet & Pillowcase Sets
12,2020-09-28,481570.0,Sheet & Pillowcase Sets
13,2020-09-29,481570.0,Sheet & Pillowcase Sets
14,2020-09-30,481570.0,Sheet & Pillowcase Sets
15,2020-10-01,481570.0,Sheet & Pillowcase Sets
16,2020-10-02,481570.0,Sheet & Pillowcase Sets
17,2020-10-03,481570.0,Sheet & Pillowcase Sets
18,2020-10-04,481570.0,Sheet & Pillowcase Sets
19,2020-10-05,481570.0,Sheet & Pillowcase Sets
20,2020-10-06,481570.0,Sheet & Pillowcase Sets
21,2020-10-07,481570.0,Sheet & Pillowcase Sets
22,2020-10-08,481570.0,Sheet & Pillowcase Sets
23,2020-10-09,481570.0,Sheet & Pillowcase Sets
24,2020-10-10,481570.0,Sheet & Pillowcase Sets
25,2020-10-11,481570.0,Sheet & Pillowcase Sets
26,2020-10-12,481570.0,Sheet & Pillowcase Sets
27,2020-10-13,481570.0,Sheet & Pillowcase Sets
28,2020-10-14,481570.0,Sheet & Pillowcase Sets
29,2020-10-15,939968.0,Sheet & Pillowcase Sets
30,2020-10-16,939968.0,Sheet & Pillowcase Sets
31,2020-10-17,121467.0,Sheet & Pillowcase Sets
32,2020-10-18,121467.0,Sheet & Pillowcase Sets
33,2020-10-19,121467.0,Sheet & Pillowcase Sets
34,2020-10-20,121467.0,Sheet & Pillowcase Sets
35,2020-10-21,213699.0,Sheet & Pillowcase Sets
36,2020-10-22,213699.0,Sheet & Pillowcase Sets
37,2020-10-23,213699.0,Sheet & Pillowcase Sets
38,2020-10-24,213699.0,Sheet & Pillowcase Sets
39,2020-10-25,213699.0,Sheet & Pillowcase Sets
40,2020-10-26,223682.0,Sheet & Pillowcase Sets
41,2020-10-27,223682.0,Sheet & Pillowcase Sets
42,2020-10-28,223682.0,Sheet & Pillowcase Sets
43,2020-10-29,223682.0,Sheet & Pillowcase Sets
44,2020-10-30,149578.0,Sheet & Pillowcase Sets
