,date,value,name_B07NQDJ7WV
0,2019-02-17,13667.0,Clip Rings
1,2019-02-18,13667.0,Clip Rings
2,2019-02-19,9594.0,Clip Rings
3,2019-02-20,9594.0,Clip Rings
4,2019-02-21,14758.0,Clip Rings
5,2019-02-22,10971.0,Clip Rings
6,2019-02-23,10971.0,Clip Rings
7,2019-02-24,10971.0,Clip Rings
8,2019-02-25,14221.0,Clip Rings
9,2019-02-26,11218.0,Clip Rings
10,2019-02-27,11218.0,Clip Rings
11,2019-02-28,11218.0,Clip Rings
12,2019-03-01,14988.0,Clip Rings
13,2019-03-02,14988.0,Clip Rings
14,2019-03-03,10843.0,Clip Rings
15,2019-03-04,11166.0,Clip Rings
16,2019-03-05,10384.0,Clip Rings
17,2019-03-06,10384.0,Clip Rings
18,2019-03-07,10384.0,Clip Rings
19,2019-03-08,12960.0,Clip Rings
20,2019-03-09,12960.0,Clip Rings
21,2019-03-10,15948.0,Clip Rings
22,2019-03-11,15948.0,Clip Rings
23,2019-03-12,13068.0,Clip Rings
24,2019-03-13,12516.0,Clip Rings
25,2019-03-14,13479.0,Clip Rings
26,2019-03-15,13479.0,Clip Rings
27,2019-03-16,15487.0,Clip Rings
28,2019-03-17,15487.0,Clip Rings
29,2019-03-18,14799.0,Clip Rings
30,2019-03-19,14121.0,Clip Rings
31,2019-03-20,14121.0,Clip Rings
32,2019-03-21,13283.0,Clip Rings
33,2019-03-22,13282.0,Clip Rings
34,2019-03-23,12894.0,Clip Rings
35,2019-03-24,18006.0,Clip Rings
36,2019-03-25,11361.0,Clip Rings
37,2019-03-26,11361.0,Clip Rings
38,2019-03-27,15989.0,Clip Rings
39,2019-03-28,14776.0,Clip Rings
40,2019-03-29,16728.0,Clip Rings
41,2019-03-30,16728.0,Clip Rings
42,2019-03-31,16728.0,Clip Rings
43,2019-04-01,15589.0,Clip Rings
44,2019-04-02,15589.0,Clip Rings
45,2019-04-03,15700.0,Clip Rings
46,2019-04-04,10740.0,Clip Rings
47,2019-04-05,10740.0,Clip Rings
48,2019-04-06,10740.0,Clip Rings
49,2019-04-07,10740.0,Clip Rings
50,2019-04-08,10740.0,Clip Rings
51,2019-04-09,10740.0,Clip Rings
52,2019-04-10,17611.0,Clip Rings
53,2019-04-11,17611.0,Clip Rings
54,2019-04-12,17611.0,Clip Rings
55,2019-04-13,17611.0,Clip Rings
56,2019-04-14,17611.0,Clip Rings
57,2019-04-15,17611.0,Clip Rings
58,2019-04-16,20241.0,Clip Rings
59,2019-04-17,20241.0,Clip Rings
60,2019-04-18,20241.0,Clip Rings
61,2019-04-19,20241.0,Clip Rings
62,2019-04-20,20241.0,Clip Rings
63,2019-04-21,19432.0,Clip Rings
64,2019-04-22,15576.0,Clip Rings
65,2019-04-23,27903.0,Clip Rings
66,2019-04-24,27903.0,Clip Rings
67,2019-04-25,27903.0,Clip Rings
68,2019-04-26,19898.0,Clip Rings
69,2019-04-27,20204.0,Clip Rings
70,2019-04-28,20204.0,Clip Rings
71,2019-04-29,13824.0,Clip Rings
72,2019-04-30,16851.0,Clip Rings
73,2019-05-01,16851.0,Clip Rings
74,2019-05-02,16851.0,Clip Rings
75,2019-05-03,17658.0,Clip Rings
76,2019-05-04,17658.0,Clip Rings
77,2019-05-05,18992.0,Clip Rings
78,2019-05-06,18992.0,Clip Rings
79,2019-05-07,25209.0,Clip Rings
80,2019-05-08,22950.0,Clip Rings
81,2019-05-09,17201.0,Clip Rings
82,2019-05-10,15859.0,Clip Rings
83,2019-05-11,20240.0,Clip Rings
84,2019-05-12,15838.0,Clip Rings
85,2019-05-13,20975.0,Clip Rings
86,2019-05-14,14954.0,Clip Rings
87,2019-05-15,12033.0,Clip Rings
88,2019-05-16,16282.0,Clip Rings
89,2019-05-17,19237.0,Clip Rings
90,2019-05-18,11805.0,Clip Rings
91,2019-05-19,9930.0,Clip Rings
92,2019-05-20,9930.0,Clip Rings
93,2019-05-21,9930.0,Clip Rings
94,2019-05-22,16082.0,Clip Rings
95,2019-05-23,11536.0,Clip Rings
96,2019-05-24,13257.0,Clip Rings
97,2019-05-25,12430.0,Clip Rings
98,2019-05-26,15672.0,Clip Rings
99,2019-05-27,17140.0,Clip Rings
100,2019-05-28,15740.0,Clip Rings
101,2019-05-29,13540.0,Clip Rings
102,2019-05-30,13399.0,Clip Rings
103,2019-05-31,13399.0,Clip Rings
104,2019-06-01,14319.0,Clip Rings
105,2019-06-02,17995.0,Clip Rings
106,2019-06-03,17995.0,Clip Rings
107,2019-06-04,17995.0,Clip Rings
108,2019-06-05,15318.0,Clip Rings
109,2019-06-06,12444.0,Clip Rings
110,2019-06-07,11123.0,Clip Rings
111,2019-06-08,13532.0,Clip Rings
112,2019-06-09,12087.0,Clip Rings
113,2019-06-10,12912.0,Clip Rings
114,2019-06-11,14163.0,Clip Rings
115,2019-06-12,16140.0,Clip Rings
116,2019-06-13,11372.0,Clip Rings
117,2019-06-14,10844.0,Clip Rings
118,2019-06-15,11356.0,Clip Rings
119,2019-06-16,12036.0,Clip Rings
120,2019-06-17,12036.0,Clip Rings
121,2019-06-18,9344.0,Clip Rings
122,2019-06-19,9562.0,Clip Rings
123,2019-06-20,11904.0,Clip Rings
124,2019-06-21,9786.0,Clip Rings
125,2019-06-22,9673.0,Clip Rings
126,2019-06-23,7442.0,Clip Rings
127,2019-06-24,9801.0,Clip Rings
128,2019-06-25,12367.0,Clip Rings
129,2019-06-26,12067.0,Clip Rings
130,2019-06-27,13208.0,Clip Rings
131,2019-06-28,11468.0,Clip Rings
132,2019-06-29,11468.0,Clip Rings
133,2019-06-30,11468.0,Clip Rings
134,2019-07-01,11729.0,Clip Rings
135,2019-07-02,12003.0,Clip Rings
136,2019-07-03,12003.0,Clip Rings
137,2019-07-04,12003.0,Clip Rings
138,2019-07-05,9576.0,Clip Rings
139,2019-07-06,13507.0,Clip Rings
140,2019-07-07,12193.0,Clip Rings
141,2019-07-08,12193.0,Clip Rings
142,2019-07-09,13731.0,Clip Rings
143,2019-07-10,13731.0,Clip Rings
144,2019-07-11,14385.0,Clip Rings
145,2019-07-12,16477.0,Clip Rings
146,2019-07-13,16477.0,Clip Rings
147,2019-07-14,11799.0,Clip Rings
148,2019-07-15,11799.0,Clip Rings
149,2019-07-16,10411.0,Clip Rings
150,2019-07-17,12288.0,Clip Rings
151,2019-07-18,12288.0,Clip Rings
152,2019-07-19,12439.0,Clip Rings
153,2019-07-20,12439.0,Clip Rings
154,2019-07-21,8821.0,Clip Rings
155,2019-07-22,6835.0,Clip Rings
156,2019-07-23,6835.0,Clip Rings
157,2019-07-24,6835.0,Clip Rings
158,2019-07-25,10211.0,Clip Rings
159,2019-07-26,11215.0,Clip Rings
160,2019-07-27,10251.0,Clip Rings
161,2019-07-28,10251.0,Clip Rings
162,2019-07-29,10251.0,Clip Rings
163,2019-07-30,8510.0,Clip Rings
164,2019-07-31,11377.0,Clip Rings
165,2019-08-01,26398.0,Clip Rings
166,2019-08-02,26398.0,Clip Rings
167,2019-08-03,26398.0,Clip Rings
168,2019-08-04,27080.0,Clip Rings
169,2019-08-05,27080.0,Clip Rings
170,2019-08-06,27080.0,Clip Rings
171,2019-08-07,32136.0,Clip Rings
172,2019-08-08,31683.0,Clip Rings
173,2019-08-09,32914.0,Clip Rings
174,2019-08-10,32914.0,Clip Rings
175,2019-08-11,32914.0,Clip Rings
176,2019-08-12,30915.0,Clip Rings
177,2019-08-13,30915.0,Clip Rings
178,2019-08-14,30915.0,Clip Rings
179,2019-08-15,11231.0,Clip Rings
180,2019-08-16,11231.0,Clip Rings
181,2019-08-17,10947.0,Clip Rings
182,2019-08-18,10947.0,Clip Rings
183,2019-08-19,9684.0,Clip Rings
184,2019-08-20,10139.0,Clip Rings
185,2019-08-21,12782.0,Clip Rings
186,2019-08-22,13047.0,Clip Rings
187,2019-08-23,11853.0,Clip Rings
188,2019-08-24,14230.0,Clip Rings
189,2019-08-25,14230.0,Clip Rings
190,2019-08-26,14230.0,Clip Rings
191,2019-08-27,9561.0,Clip Rings
192,2019-08-28,12007.0,Clip Rings
193,2019-08-29,12007.0,Clip Rings
194,2019-08-30,12007.0,Clip Rings
195,2019-08-31,14406.0,Clip Rings
196,2019-09-01,14406.0,Clip Rings
197,2019-09-02,9161.0,Clip Rings
198,2019-09-03,9161.0,Clip Rings
199,2019-09-04,7751.0,Clip Rings
200,2019-09-05,8287.0,Clip Rings
201,2019-09-06,8260.0,Clip Rings
202,2019-09-07,8732.0,Clip Rings
203,2019-09-08,9343.0,Clip Rings
204,2019-09-09,10388.0,Clip Rings
205,2019-09-10,10388.0,Clip Rings
206,2019-09-11,8831.0,Clip Rings
207,2019-09-12,9124.0,Clip Rings
208,2019-09-13,10134.0,Clip Rings
209,2019-09-14,8026.0,Clip Rings
210,2019-09-15,8026.0,Clip Rings
211,2019-09-16,10602.0,Clip Rings
212,2019-09-17,7096.0,Clip Rings
213,2019-09-18,8201.0,Clip Rings
214,2019-09-19,9967.0,Clip Rings
215,2019-09-20,10616.0,Clip Rings
216,2019-09-21,10616.0,Clip Rings
217,2019-09-22,8222.0,Clip Rings
218,2019-09-23,8771.0,Clip Rings
219,2019-09-24,9795.0,Clip Rings
220,2019-09-25,9795.0,Clip Rings
221,2019-09-26,9795.0,Clip Rings
222,2019-09-27,9795.0,Clip Rings
223,2019-09-28,9795.0,Clip Rings
224,2019-09-29,12458.0,Clip Rings
225,2019-09-30,9567.0,Clip Rings
226,2019-10-01,9070.0,Clip Rings
227,2019-10-02,8884.0,Clip Rings
