,date,value,name_B08ZJKZ4Y8
0,2021-04-27,35275.0,Aprons
1,2021-04-28,35275.0,Aprons
2,2021-04-29,45122.0,Aprons
3,2021-04-30,34456.0,Aprons
4,2021-05-01,34456.0,Aprons
5,2021-05-02,34456.0,Aprons
6,2021-05-03,34456.0,Aprons
7,2021-05-04,34456.0,Aprons
8,2021-05-05,30453.0,Aprons
9,2021-05-06,30453.0,Aprons
10,2021-05-07,38805.0,Aprons
11,2021-05-08,38805.0,Aprons
12,2021-05-09,38805.0,Aprons
13,2021-05-10,38805.0,Aprons
14,2021-05-11,38805.0,Aprons
15,2021-05-12,109652.0,Aprons
16,2021-05-13,109652.0,Aprons
17,2021-05-14,109652.0,Aprons
18,2021-05-15,109652.0,Aprons
19,2021-05-16,109652.0,Aprons
20,2021-05-17,21766.0,Aprons
21,2021-05-18,21766.0,Aprons
22,2021-05-19,26327.0,Aprons
23,2021-05-20,32307.0,Aprons
24,2021-05-21,32307.0,Aprons
25,2021-05-22,32307.0,Aprons
26,2021-05-23,17599.0,Aprons
27,2021-05-24,17599.0,Aprons
28,2021-05-25,24906.0,Aprons
29,2021-05-26,24906.0,Aprons
30,2021-05-27,24906.0,Aprons
31,2021-05-28,24906.0,Aprons
32,2021-05-29,21206.0,Aprons
33,2021-05-30,22100.0,Aprons
34,2021-05-31,22100.0,Aprons
35,2021-06-01,22414.0,Aprons
36,2021-06-02,22414.0,Aprons
37,2021-06-03,22414.0,Aprons
38,2021-06-04,18478.0,Aprons
39,2021-06-05,23504.0,Aprons
40,2021-06-06,23504.0,Aprons
41,2021-06-07,25443.0,Aprons
42,2021-06-08,25443.0,Aprons
43,2021-06-09,25443.0,Aprons
44,2021-06-10,23392.0,Aprons
45,2021-06-11,19349.0,Aprons
46,2021-06-12,19349.0,Aprons
47,2021-06-13,19349.0,Aprons
48,2021-06-14,21215.0,Aprons
49,2021-06-15,21215.0,Aprons
50,2021-06-16,18835.0,Aprons
51,2021-06-17,18835.0,Aprons
52,2021-06-18,18835.0,Aprons
53,2021-06-19,18835.0,Aprons
54,2021-06-20,18835.0,Aprons
55,2021-06-21,18835.0,Aprons
56,2021-06-22,31766.0,Aprons
57,2021-06-23,33189.0,Aprons
58,2021-06-24,33189.0,Aprons
59,2021-06-25,33189.0,Aprons
60,2021-06-26,33189.0,Aprons
61,2021-06-27,33189.0,Aprons
62,2021-06-28,34180.0,Aprons
63,2021-06-29,34180.0,Aprons
64,2021-06-30,28366.0,Aprons
65,2021-07-01,27677.0,Aprons
66,2021-07-02,30779.0,Aprons
67,2021-07-03,30779.0,Aprons
68,2021-07-04,30779.0,Aprons
69,2021-07-05,25803.0,Aprons
70,2021-07-06,38135.0,Aprons
71,2021-07-07,28007.0,Aprons
72,2021-07-08,30265.0,Aprons
73,2021-07-09,20954.0,Aprons
