,date,value,name_B07TK1S6C7
121,2020-10-18,368.0,Fertilizers & Plant Food
122,2020-10-19,368.0,Fertilizers & Plant Food
123,2020-10-20,368.0,Fertilizers & Plant Food
124,2020-10-21,2011.0,Fertilizers & Plant Food
125,2020-10-22,2011.0,Fertilizers & Plant Food
126,2020-10-23,2011.0,Fertilizers & Plant Food
127,2020-10-24,2011.0,Fertilizers & Plant Food
128,2020-10-25,2567.0,Fertilizers & Plant Food
129,2020-10-26,2567.0,Fertilizers & Plant Food
130,2020-10-27,2567.0,Fertilizers & Plant Food
131,2020-10-28,2567.0,Fertilizers & Plant Food
132,2020-10-29,4160.0,Fertilizers & Plant Food
133,2020-10-30,4160.0,Fertilizers & Plant Food
134,2020-10-31,4776.0,Fertilizers & Plant Food
135,2020-11-01,4776.0,Fertilizers & Plant Food
136,2020-11-02,3290.0,Fertilizers & Plant Food
137,2020-11-03,3290.0,Fertilizers & Plant Food
138,2020-11-04,3290.0,Fertilizers & Plant Food
139,2020-11-05,3793.0,Fertilizers & Plant Food
140,2020-11-06,3793.0,Fertilizers & Plant Food
141,2020-11-07,3793.0,Fertilizers & Plant Food
142,2020-11-08,3793.0,Fertilizers & Plant Food
143,2020-11-09,4608.0,Fertilizers & Plant Food
144,2020-11-10,4120.0,Fertilizers & Plant Food
145,2020-11-11,3512.0,Fertilizers & Plant Food
146,2020-11-12,3512.0,Fertilizers & Plant Food
147,2020-11-13,4977.0,Fertilizers & Plant Food
148,2020-11-14,4977.0,Fertilizers & Plant Food
149,2020-11-15,4977.0,Fertilizers & Plant Food
150,2020-11-16,4063.0,Fertilizers & Plant Food
151,2020-11-17,4063.0,Fertilizers & Plant Food
152,2020-11-18,4063.0,Fertilizers & Plant Food
153,2020-11-19,5506.0,Fertilizers & Plant Food
154,2020-11-20,5506.0,Fertilizers & Plant Food
155,2020-11-21,5506.0,Fertilizers & Plant Food
156,2020-11-22,5506.0,Fertilizers & Plant Food
157,2020-11-23,4460.0,Fertilizers & Plant Food
158,2020-11-24,4460.0,Fertilizers & Plant Food
159,2020-11-25,4460.0,Fertilizers & Plant Food
160,2020-11-26,4819.0,Fertilizers & Plant Food
161,2020-11-27,4819.0,Fertilizers & Plant Food
162,2020-11-28,4819.0,Fertilizers & Plant Food
163,2020-11-29,5342.0,Fertilizers & Plant Food
164,2020-11-30,5342.0,Fertilizers & Plant Food
165,2020-12-01,6677.0,Fertilizers & Plant Food
166,2020-12-02,6677.0,Fertilizers & Plant Food
167,2020-12-03,6677.0,Fertilizers & Plant Food
168,2020-12-04,6677.0,Fertilizers & Plant Food
169,2020-12-05,6675.0,Fertilizers & Plant Food
170,2020-12-06,6675.0,Fertilizers & Plant Food
171,2020-12-07,6675.0,Fertilizers & Plant Food
172,2020-12-08,8623.0,Fertilizers & Plant Food
173,2020-12-09,8623.0,Fertilizers & Plant Food
174,2020-12-10,8623.0,Fertilizers & Plant Food
175,2020-12-11,8623.0,Fertilizers & Plant Food
176,2020-12-12,8623.0,Fertilizers & Plant Food
177,2020-12-13,8623.0,Fertilizers & Plant Food
178,2020-12-14,10771.0,Fertilizers & Plant Food
179,2020-12-15,10771.0,Fertilizers & Plant Food
180,2020-12-16,10771.0,Fertilizers & Plant Food
181,2020-12-17,7175.0,Fertilizers & Plant Food
182,2020-12-18,7175.0,Fertilizers & Plant Food
183,2020-12-19,7175.0,Fertilizers & Plant Food
184,2020-12-20,7175.0,Fertilizers & Plant Food
185,2020-12-21,7621.0,Fertilizers & Plant Food
186,2020-12-22,7621.0,Fertilizers & Plant Food
187,2020-12-23,7621.0,Fertilizers & Plant Food
188,2020-12-24,6421.0,Fertilizers & Plant Food
189,2020-12-25,6421.0,Fertilizers & Plant Food
190,2020-12-26,6421.0,Fertilizers & Plant Food
191,2020-12-27,6421.0,Fertilizers & Plant Food
192,2020-12-28,6421.0,Fertilizers & Plant Food
193,2020-12-29,6870.0,Fertilizers & Plant Food
194,2020-12-30,6870.0,Fertilizers & Plant Food
195,2020-12-31,6870.0,Fertilizers & Plant Food
196,2021-01-01,5288.0,Fertilizers & Plant Food
197,2021-01-02,5288.0,Fertilizers & Plant Food
198,2021-01-03,5288.0,Fertilizers & Plant Food
199,2021-01-04,5646.0,Fertilizers & Plant Food
200,2021-01-05,5646.0,Fertilizers & Plant Food
201,2021-01-06,5646.0,Fertilizers & Plant Food
202,2021-01-07,4085.0,Fertilizers & Plant Food
203,2021-01-08,4217.0,Fertilizers & Plant Food
204,2021-01-09,4217.0,Fertilizers & Plant Food
205,2021-01-10,4217.0,Fertilizers & Plant Food
