,date,value,name_B08PVDWPLL
0,2021-01-19,31167.0,Wall & Tabletop Frames
1,2021-01-20,18916.0,Wall & Tabletop Frames
2,2021-01-21,14611.0,Wall & Tabletop Frames
3,2021-01-22,14611.0,Wall & Tabletop Frames
4,2021-01-23,10477.0,Wall & Tabletop Frames
5,2021-01-24,10477.0,Wall & Tabletop Frames
6,2021-01-25,10102.0,Wall & Tabletop Frames
7,2021-01-26,9964.0,Wall & Tabletop Frames
8,2021-01-27,10405.0,Wall & Tabletop Frames
9,2021-01-28,9505.0,Wall & Tabletop Frames
10,2021-01-29,9800.0,Wall & Tabletop Frames
11,2021-01-30,9664.0,Wall & Tabletop Frames
12,2021-01-31,9569.0,Wall & Tabletop Frames
13,2021-02-01,7445.0,Wall & Tabletop Frames
14,2021-02-02,7908.0,Wall & Tabletop Frames
15,2021-02-03,10332.0,Wall & Tabletop Frames
16,2021-02-04,9103.0,Wall & Tabletop Frames
17,2021-02-05,8963.0,Wall & Tabletop Frames
18,2021-02-06,8635.0,Wall & Tabletop Frames
19,2021-02-07,11305.0,Wall & Tabletop Frames
20,2021-02-08,11305.0,Wall & Tabletop Frames
21,2021-02-09,13736.0,Wall & Tabletop Frames
22,2021-02-10,13736.0,Wall & Tabletop Frames
23,2021-02-11,13736.0,Wall & Tabletop Frames
24,2021-02-12,33344.0,Wall & Tabletop Frames
25,2021-02-13,29868.0,Wall & Tabletop Frames
26,2021-02-14,30876.0,Wall & Tabletop Frames
27,2021-02-15,21368.0,Wall & Tabletop Frames
28,2021-02-16,21368.0,Wall & Tabletop Frames
29,2021-02-17,21368.0,Wall & Tabletop Frames
30,2021-02-18,21516.0,Wall & Tabletop Frames
31,2021-02-19,21516.0,Wall & Tabletop Frames
32,2021-02-20,26455.0,Wall & Tabletop Frames
33,2021-02-21,26455.0,Wall & Tabletop Frames
34,2021-02-22,26455.0,Wall & Tabletop Frames
35,2021-02-23,25816.0,Wall & Tabletop Frames
36,2021-02-24,24366.0,Wall & Tabletop Frames
37,2021-02-25,37765.0,Wall & Tabletop Frames
38,2021-02-26,37765.0,Wall & Tabletop Frames
39,2021-02-27,37765.0,Wall & Tabletop Frames
40,2021-02-28,40483.0,Wall & Tabletop Frames
41,2021-03-01,40483.0,Wall & Tabletop Frames
42,2021-03-02,38170.0,Wall & Tabletop Frames
43,2021-03-03,27085.0,Wall & Tabletop Frames
44,2021-03-04,27085.0,Wall & Tabletop Frames
45,2021-03-05,27085.0,Wall & Tabletop Frames
46,2021-03-06,42954.0,Wall & Tabletop Frames
47,2021-03-07,42954.0,Wall & Tabletop Frames
48,2021-03-08,42954.0,Wall & Tabletop Frames
49,2021-03-09,42954.0,Wall & Tabletop Frames
50,2021-03-10,42954.0,Wall & Tabletop Frames
51,2021-03-11,42954.0,Wall & Tabletop Frames
52,2021-03-12,38159.0,Wall & Tabletop Frames
53,2021-03-13,38159.0,Wall & Tabletop Frames
54,2021-03-14,38159.0,Wall & Tabletop Frames
55,2021-03-15,38159.0,Wall & Tabletop Frames
56,2021-03-16,38159.0,Wall & Tabletop Frames
57,2021-03-17,38159.0,Wall & Tabletop Frames
58,2021-03-18,79901.0,Wall & Tabletop Frames
59,2021-03-19,79901.0,Wall & Tabletop Frames
60,2021-03-20,79901.0,Wall & Tabletop Frames
61,2021-03-21,114944.0,Wall & Tabletop Frames
62,2021-03-22,114944.0,Wall & Tabletop Frames
63,2021-03-23,114944.0,Wall & Tabletop Frames
64,2021-03-24,114944.0,Wall & Tabletop Frames
65,2021-03-25,124913.0,Wall & Tabletop Frames
66,2021-03-26,124913.0,Wall & Tabletop Frames
67,2021-03-27,124913.0,Wall & Tabletop Frames
68,2021-03-28,124913.0,Wall & Tabletop Frames
69,2021-03-29,124913.0,Wall & Tabletop Frames
70,2021-03-30,124913.0,Wall & Tabletop Frames
71,2021-03-31,124913.0,Wall & Tabletop Frames
72,2021-04-01,124913.0,Wall & Tabletop Frames
73,2021-04-02,167426.0,Wall & Tabletop Frames
74,2021-04-03,167426.0,Wall & Tabletop Frames
75,2021-04-04,167426.0,Wall & Tabletop Frames
76,2021-04-05,118820.0,Wall & Tabletop Frames
77,2021-04-06,193711.0,Wall & Tabletop Frames
78,2021-04-07,193711.0,Wall & Tabletop Frames
79,2021-04-08,193711.0,Wall & Tabletop Frames
80,2021-04-09,193711.0,Wall & Tabletop Frames
81,2021-04-10,167986.0,Wall & Tabletop Frames
82,2021-04-11,248899.0,Wall & Tabletop Frames
83,2021-04-12,248899.0,Wall & Tabletop Frames
84,2021-04-13,248899.0,Wall & Tabletop Frames
85,2021-04-14,164929.0,Wall & Tabletop Frames
86,2021-04-15,164929.0,Wall & Tabletop Frames
87,2021-04-16,164929.0,Wall & Tabletop Frames
88,2021-04-17,164929.0,Wall & Tabletop Frames
89,2021-04-18,164929.0,Wall & Tabletop Frames
