,date,value,name_B0919H38XH
0,2021-05-17,306499,Portable
1,2021-05-18,263029,Portable
2,2021-05-19,197225,Portable
3,2021-05-20,223146,Portable
4,2021-05-21,120573,Portable
5,2021-05-22,104156,Portable
6,2021-05-23,117119,Portable
7,2021-05-24,142778,Portable
8,2021-05-25,113660,Portable
9,2021-05-26,75547,Portable
10,2021-05-27,73852,Portable
11,2021-05-28,58135,Portable
12,2021-05-29,61977,Portable
13,2021-05-30,51773,Portable
14,2021-05-31,80654,Portable
15,2021-06-01,42528,Portable
16,2021-06-02,31000,Portable
17,2021-06-03,25917,Portable
18,2021-06-04,30193,Portable
19,2021-06-05,21903,Portable
20,2021-06-06,22759,Portable
21,2021-06-07,16994,Portable
22,2021-06-08,12266,Portable
23,2021-06-09,13990,Portable
24,2021-06-10,9514,Portable
25,2021-06-11,11115,Portable
26,2021-06-12,10278,Portable
27,2021-06-13,9461,Portable
28,2021-06-14,13079,Portable
29,2021-06-15,6127,Portable
30,2021-06-16,5778,Portable
31,2021-06-17,8466,Portable
32,2021-06-18,9369,Portable
33,2021-06-19,2713,Portable
34,2021-06-20,12943,Portable
35,2021-06-21,14384,Portable
36,2021-06-22,36153,Portable
37,2021-06-23,63008,Portable
38,2021-06-24,78826,Portable
39,2021-06-25,93537,Portable
40,2021-06-26,118026,Portable
41,2021-06-27,128887,Portable
42,2021-06-28,172904,Portable
43,2021-06-29,120547,Portable
44,2021-06-30,159689,Portable
45,2021-07-01,183746,Portable
46,2021-07-02,211903,Portable
47,2021-07-03,219084,Portable
48,2021-07-04,203591,Portable
49,2021-07-05,217856,Portable
50,2021-07-06,272507,Portable
51,2021-07-07,237560,Portable
52,2021-07-08,245822,Portable
53,2021-07-09,289314,Portable
