,date,value,name_B0923ZKGS4
0,2021-04-19,141235.0,Plant Container Accessories
1,2021-04-20,78677.0,Plant Container Accessories
2,2021-04-21,78677.0,Plant Container Accessories
3,2021-04-22,78677.0,Plant Container Accessories
4,2021-04-23,78677.0,Plant Container Accessories
5,2021-04-24,78677.0,Plant Container Accessories
6,2021-04-25,78677.0,Plant Container Accessories
7,2021-04-26,13780.0,Plant Container Accessories
8,2021-04-27,13780.0,Plant Container Accessories
9,2021-04-28,13780.0,Plant Container Accessories
10,2021-04-29,13780.0,Plant Container Accessories
11,2021-04-30,14582.0,Plant Container Accessories
12,2021-05-01,14582.0,Plant Container Accessories
13,2021-05-02,14582.0,Plant Container Accessories
14,2021-05-03,14582.0,Plant Container Accessories
15,2021-05-04,14427.0,Plant Container Accessories
16,2021-05-05,14427.0,Plant Container Accessories
17,2021-05-06,14427.0,Plant Container Accessories
18,2021-05-07,14427.0,Plant Container Accessories
19,2021-05-08,14427.0,Plant Container Accessories
20,2021-05-09,4573.0,Plant Container Accessories
21,2021-05-10,4573.0,Plant Container Accessories
22,2021-05-11,4573.0,Plant Container Accessories
23,2021-05-12,4573.0,Plant Container Accessories
24,2021-05-13,5742.0,Plant Container Accessories
25,2021-05-14,5742.0,Plant Container Accessories
26,2021-05-15,5742.0,Plant Container Accessories
27,2021-05-16,4868.0,Plant Container Accessories
28,2021-05-17,4868.0,Plant Container Accessories
29,2021-05-18,4868.0,Plant Container Accessories
30,2021-05-19,15099.0,Plant Container Accessories
31,2021-05-20,15099.0,Plant Container Accessories
32,2021-05-21,15099.0,Plant Container Accessories
33,2021-05-22,15099.0,Plant Container Accessories
34,2021-05-23,15099.0,Plant Container Accessories
35,2021-05-24,15099.0,Plant Container Accessories
36,2021-05-25,66479.0,Plant Container Accessories
37,2021-05-26,66479.0,Plant Container Accessories
38,2021-05-27,59268.0,Plant Container Accessories
39,2021-05-28,26664.0,Plant Container Accessories
40,2021-05-29,26664.0,Plant Container Accessories
41,2021-05-30,26664.0,Plant Container Accessories
42,2021-05-31,16638.0,Plant Container Accessories
43,2021-06-01,16638.0,Plant Container Accessories
44,2021-06-02,16638.0,Plant Container Accessories
45,2021-06-03,16638.0,Plant Container Accessories
46,2021-06-04,10117.0,Plant Container Accessories
47,2021-06-05,10117.0,Plant Container Accessories
48,2021-06-06,10117.0,Plant Container Accessories
49,2021-06-07,10117.0,Plant Container Accessories
50,2021-06-08,10117.0,Plant Container Accessories
51,2021-06-09,9294.0,Plant Container Accessories
52,2021-06-10,9294.0,Plant Container Accessories
53,2021-06-11,9294.0,Plant Container Accessories
54,2021-06-12,9294.0,Plant Container Accessories
55,2021-06-13,9294.0,Plant Container Accessories
56,2021-06-14,7838.0,Plant Container Accessories
57,2021-06-15,7838.0,Plant Container Accessories
58,2021-06-16,7838.0,Plant Container Accessories
59,2021-06-17,7838.0,Plant Container Accessories
60,2021-06-18,7838.0,Plant Container Accessories
61,2021-06-19,7672.0,Plant Container Accessories
62,2021-06-20,7672.0,Plant Container Accessories
63,2021-06-21,7699.0,Plant Container Accessories
64,2021-06-22,7069.0,Plant Container Accessories
65,2021-06-23,7069.0,Plant Container Accessories
66,2021-06-24,4768.0,Plant Container Accessories
67,2021-06-25,4768.0,Plant Container Accessories
68,2021-06-26,4768.0,Plant Container Accessories
69,2021-06-27,4768.0,Plant Container Accessories
70,2021-06-28,7624.0,Plant Container Accessories
71,2021-06-29,11014.0,Plant Container Accessories
72,2021-06-30,11014.0,Plant Container Accessories
73,2021-07-01,11283.0,Plant Container Accessories
74,2021-07-02,11283.0,Plant Container Accessories
75,2021-07-03,9527.0,Plant Container Accessories
76,2021-07-04,9527.0,Plant Container Accessories
77,2021-07-05,9527.0,Plant Container Accessories
78,2021-07-06,14882.0,Plant Container Accessories
79,2021-07-07,14882.0,Plant Container Accessories
80,2021-07-08,14882.0,Plant Container Accessories
81,2021-07-09,14882.0,Plant Container Accessories
82,2021-07-10,11688.0,Plant Container Accessories
83,2021-07-11,20756.0,Plant Container Accessories
