,date,value,name_B092T6715N
0,2021-04-20,230.0,Garden Stakes
1,2021-04-21,230.0,Garden Stakes
2,2021-04-22,246.0,Garden Stakes
3,2021-04-23,267.0,Garden Stakes
4,2021-04-24,267.0,Garden Stakes
5,2021-04-25,267.0,Garden Stakes
6,2021-04-26,294.0,Garden Stakes
7,2021-04-27,294.0,Garden Stakes
8,2021-04-28,262.0,Garden Stakes
9,2021-04-29,232.0,Garden Stakes
10,2021-04-30,232.0,Garden Stakes
11,2021-05-01,315.0,Garden Stakes
12,2021-05-02,315.0,Garden Stakes
13,2021-05-03,303.0,Garden Stakes
14,2021-05-04,292.0,Garden Stakes
15,2021-05-05,292.0,Garden Stakes
16,2021-05-06,326.0,Garden Stakes
17,2021-05-07,326.0,Garden Stakes
18,2021-05-08,349.0,Garden Stakes
19,2021-05-09,349.0,Garden Stakes
20,2021-05-10,349.0,Garden Stakes
21,2021-05-11,252.0,Garden Stakes
22,2021-05-12,293.0,Garden Stakes
23,2021-05-13,478.0,Garden Stakes
24,2021-05-14,667.0,Garden Stakes
25,2021-05-15,667.0,Garden Stakes
26,2021-05-16,787.0,Garden Stakes
27,2021-05-17,787.0,Garden Stakes
28,2021-05-18,893.0,Garden Stakes
29,2021-05-19,893.0,Garden Stakes
30,2021-05-20,1014.0,Garden Stakes
31,2021-05-21,1014.0,Garden Stakes
32,2021-05-22,822.0,Garden Stakes
33,2021-05-23,822.0,Garden Stakes
34,2021-05-24,685.0,Garden Stakes
35,2021-05-25,685.0,Garden Stakes
36,2021-05-26,578.0,Garden Stakes
37,2021-05-27,578.0,Garden Stakes
38,2021-05-28,578.0,Garden Stakes
39,2021-05-29,632.0,Garden Stakes
40,2021-05-30,632.0,Garden Stakes
41,2021-05-31,772.0,Garden Stakes
42,2021-06-01,519.0,Garden Stakes
43,2021-06-02,497.0,Garden Stakes
44,2021-06-03,497.0,Garden Stakes
45,2021-06-04,503.0,Garden Stakes
46,2021-06-05,503.0,Garden Stakes
47,2021-06-06,567.0,Garden Stakes
48,2021-06-07,567.0,Garden Stakes
49,2021-06-08,575.0,Garden Stakes
50,2021-06-09,536.0,Garden Stakes
51,2021-06-10,526.0,Garden Stakes
52,2021-06-11,480.0,Garden Stakes
53,2021-06-12,480.0,Garden Stakes
54,2021-06-13,594.0,Garden Stakes
55,2021-06-14,594.0,Garden Stakes
56,2021-06-15,594.0,Garden Stakes
57,2021-06-16,673.0,Garden Stakes
58,2021-06-17,673.0,Garden Stakes
59,2021-06-18,692.0,Garden Stakes
60,2021-06-19,692.0,Garden Stakes
61,2021-06-20,895.0,Garden Stakes
62,2021-06-21,922.0,Garden Stakes
63,2021-06-22,1249.0,Garden Stakes
64,2021-06-23,1149.0,Garden Stakes
65,2021-06-24,862.0,Garden Stakes
66,2021-06-25,862.0,Garden Stakes
67,2021-06-26,606.0,Garden Stakes
68,2021-06-27,606.0,Garden Stakes
69,2021-06-28,630.0,Garden Stakes
70,2021-06-29,557.0,Garden Stakes
71,2021-06-30,602.0,Garden Stakes
72,2021-07-01,602.0,Garden Stakes
73,2021-07-02,439.0,Garden Stakes
74,2021-07-03,500.0,Garden Stakes
75,2021-07-04,451.0,Garden Stakes
76,2021-07-05,552.0,Garden Stakes
77,2021-07-06,552.0,Garden Stakes
78,2021-07-07,702.0,Garden Stakes
79,2021-07-08,799.0,Garden Stakes
80,2021-07-09,733.0,Garden Stakes
81,2021-07-10,733.0,Garden Stakes
82,2021-07-11,848.0,Garden Stakes
