,date,value,name_B0823VH891
177,2020-06-23,-1.0,Panels
178,2020-06-24,-1.0,Panels
179,2020-06-25,-1.0,Panels
180,2020-06-26,-1.0,Panels
181,2020-06-27,-1.0,Panels
182,2020-06-28,-1.0,Panels
183,2020-06-29,-1.0,Panels
184,2020-06-30,-1.0,Panels
185,2020-07-01,-1.0,Panels
186,2020-07-02,-1.0,Panels
187,2020-07-03,-1.0,Panels
188,2020-07-04,-1.0,Panels
189,2020-07-05,-1.0,Panels
190,2020-07-06,-1.0,Panels
191,2020-07-07,-1.0,Panels
192,2020-07-08,-1.0,Panels
193,2020-07-09,-1.0,Panels
194,2020-07-10,-1.0,Panels
195,2020-07-11,-1.0,Panels
196,2020-07-12,-1.0,Panels
197,2020-07-13,-1.0,Panels
198,2020-07-14,-1.0,Panels
199,2020-07-15,-1.0,Panels
200,2020-07-16,-1.0,Panels
201,2020-07-17,-1.0,Panels
202,2020-07-18,-1.0,Panels
203,2020-07-19,-1.0,Panels
204,2020-07-20,-1.0,Panels
205,2020-07-21,-1.0,Panels
206,2020-07-22,-1.0,Panels
207,2020-07-23,-1.0,Panels
208,2020-07-24,-1.0,Panels
209,2020-07-25,-1.0,Panels
210,2020-07-26,-1.0,Panels
211,2020-07-27,-1.0,Panels
212,2020-07-28,-1.0,Panels
213,2020-07-29,-1.0,Panels
214,2020-07-30,-1.0,Panels
215,2020-07-31,-1.0,Panels
216,2020-08-01,-1.0,Panels
217,2020-08-02,-1.0,Panels
218,2020-08-03,-1.0,Panels
219,2020-08-04,-1.0,Panels
220,2020-08-05,-1.0,Panels
221,2020-08-06,-1.0,Panels
222,2020-08-07,-1.0,Panels
223,2020-08-08,-1.0,Panels
224,2020-08-09,-1.0,Panels
225,2020-08-10,-1.0,Panels
226,2020-08-11,-1.0,Panels
227,2020-08-12,-1.0,Panels
228,2020-08-13,-1.0,Panels
229,2020-08-14,-1.0,Panels
230,2020-08-15,-1.0,Panels
231,2020-08-16,-1.0,Panels
232,2020-08-17,10731.0,Panels
233,2020-08-18,10551.0,Panels
234,2020-08-19,9786.0,Panels
235,2020-08-20,9786.0,Panels
236,2020-08-21,9786.0,Panels
237,2020-08-22,9786.0,Panels
238,2020-08-23,9786.0,Panels
239,2020-08-24,11798.0,Panels
240,2020-08-25,11798.0,Panels
241,2020-08-26,12985.0,Panels
242,2020-08-27,14960.0,Panels
243,2020-08-28,11688.0,Panels
244,2020-08-29,12979.0,Panels
245,2020-08-30,14058.0,Panels
246,2020-08-31,14058.0,Panels
247,2020-09-01,15401.0,Panels
248,2020-09-02,13785.0,Panels
249,2020-09-03,13785.0,Panels
250,2020-09-04,13785.0,Panels
251,2020-09-05,10809.0,Panels
252,2020-09-06,10809.0,Panels
253,2020-09-07,11523.0,Panels
254,2020-09-08,14445.0,Panels
255,2020-09-09,13617.0,Panels
256,2020-09-10,13617.0,Panels
257,2020-09-11,12849.0,Panels
258,2020-09-12,10148.0,Panels
259,2020-09-13,10148.0,Panels
260,2020-09-14,10148.0,Panels
261,2020-09-15,12035.0,Panels
262,2020-09-16,12035.0,Panels
263,2020-09-17,11034.0,Panels
264,2020-09-18,11034.0,Panels
265,2020-09-19,11034.0,Panels
266,2020-09-20,11275.0,Panels
267,2020-09-21,11275.0,Panels
268,2020-09-22,12629.0,Panels
269,2020-09-23,12629.0,Panels
270,2020-09-24,12629.0,Panels
271,2020-09-25,13006.0,Panels
272,2020-09-26,13006.0,Panels
273,2020-09-27,13006.0,Panels
274,2020-09-28,15433.0,Panels
275,2020-09-29,13816.0,Panels
276,2020-09-30,13816.0,Panels
277,2020-10-01,13816.0,Panels
278,2020-10-02,13816.0,Panels
279,2020-10-03,13816.0,Panels
280,2020-10-04,13816.0,Panels
281,2020-10-05,12772.0,Panels
282,2020-10-06,12772.0,Panels
283,2020-10-07,13874.0,Panels
284,2020-10-08,13874.0,Panels
285,2020-10-09,13874.0,Panels
286,2020-10-10,11763.0,Panels
287,2020-10-11,11763.0,Panels
288,2020-10-12,11763.0,Panels
289,2020-10-13,13133.0,Panels
290,2020-10-14,13133.0,Panels
291,2020-10-15,13882.0,Panels
292,2020-10-16,13882.0,Panels
293,2020-10-17,12478.0,Panels
294,2020-10-18,12478.0,Panels
295,2020-10-19,12478.0,Panels
296,2020-10-20,12478.0,Panels
297,2020-10-21,11524.0,Panels
298,2020-10-22,13942.0,Panels
299,2020-10-23,13942.0,Panels
300,2020-10-24,13942.0,Panels
301,2020-10-25,12172.0,Panels
302,2020-10-26,12172.0,Panels
303,2020-10-27,12172.0,Panels
304,2020-10-28,12172.0,Panels
