,date,value,name_B093WHBCXR
0,2021-05-05,51775.0,Jigsaw Puzzles
1,2021-05-06,34497.0,Jigsaw Puzzles
2,2021-05-07,37663.0,Jigsaw Puzzles
3,2021-05-08,37663.0,Jigsaw Puzzles
4,2021-05-09,37663.0,Jigsaw Puzzles
5,2021-05-10,43782.0,Jigsaw Puzzles
6,2021-05-11,40925.0,Jigsaw Puzzles
7,2021-05-12,40925.0,Jigsaw Puzzles
8,2021-05-13,20016.0,Jigsaw Puzzles
9,2021-05-14,28379.0,Jigsaw Puzzles
10,2021-05-15,28379.0,Jigsaw Puzzles
11,2021-05-16,28379.0,Jigsaw Puzzles
12,2021-05-17,25375.0,Jigsaw Puzzles
13,2021-05-18,29578.0,Jigsaw Puzzles
14,2021-05-19,29128.0,Jigsaw Puzzles
15,2021-05-20,17937.0,Jigsaw Puzzles
16,2021-05-21,28419.0,Jigsaw Puzzles
17,2021-05-22,16616.0,Jigsaw Puzzles
18,2021-05-23,16616.0,Jigsaw Puzzles
19,2021-05-24,34813.0,Jigsaw Puzzles
20,2021-05-25,29872.0,Jigsaw Puzzles
21,2021-05-26,21112.0,Jigsaw Puzzles
22,2021-05-27,21112.0,Jigsaw Puzzles
23,2021-05-28,21112.0,Jigsaw Puzzles
24,2021-05-29,9089.0,Jigsaw Puzzles
25,2021-05-30,9089.0,Jigsaw Puzzles
26,2021-05-31,15956.0,Jigsaw Puzzles
27,2021-06-01,16191.0,Jigsaw Puzzles
28,2021-06-02,16049.0,Jigsaw Puzzles
29,2021-06-03,17724.0,Jigsaw Puzzles
30,2021-06-04,17724.0,Jigsaw Puzzles
31,2021-06-05,22131.0,Jigsaw Puzzles
32,2021-06-06,15983.0,Jigsaw Puzzles
33,2021-06-07,12915.0,Jigsaw Puzzles
34,2021-06-08,15960.0,Jigsaw Puzzles
35,2021-06-09,18389.0,Jigsaw Puzzles
36,2021-06-10,14730.0,Jigsaw Puzzles
37,2021-06-11,14730.0,Jigsaw Puzzles
38,2021-06-12,14730.0,Jigsaw Puzzles
39,2021-06-13,14730.0,Jigsaw Puzzles
40,2021-06-14,25312.0,Jigsaw Puzzles
41,2021-06-15,25312.0,Jigsaw Puzzles
42,2021-06-16,17447.0,Jigsaw Puzzles
43,2021-06-17,12818.0,Jigsaw Puzzles
44,2021-06-18,18022.0,Jigsaw Puzzles
45,2021-06-19,18022.0,Jigsaw Puzzles
46,2021-06-20,16988.0,Jigsaw Puzzles
47,2021-06-21,20729.0,Jigsaw Puzzles
48,2021-06-22,16918.0,Jigsaw Puzzles
49,2021-06-23,15649.0,Jigsaw Puzzles
50,2021-06-24,15649.0,Jigsaw Puzzles
51,2021-06-25,20925.0,Jigsaw Puzzles
52,2021-06-26,20925.0,Jigsaw Puzzles
53,2021-06-27,20925.0,Jigsaw Puzzles
54,2021-06-28,30686.0,Jigsaw Puzzles
55,2021-06-29,31443.0,Jigsaw Puzzles
56,2021-06-30,35643.0,Jigsaw Puzzles
57,2021-07-01,35643.0,Jigsaw Puzzles
58,2021-07-02,19139.0,Jigsaw Puzzles
59,2021-07-03,19139.0,Jigsaw Puzzles
60,2021-07-04,19139.0,Jigsaw Puzzles
61,2021-07-05,27927.0,Jigsaw Puzzles
62,2021-07-06,37628.0,Jigsaw Puzzles
63,2021-07-07,39992.0,Jigsaw Puzzles
64,2021-07-08,34110.0,Jigsaw Puzzles
65,2021-07-09,28226.0,Jigsaw Puzzles
