,date,value,name_B083NRWPWL
0,2020-05-24,7210.0,Utility Carts
1,2020-05-25,7210.0,Utility Carts
2,2020-05-26,6489.0,Utility Carts
3,2020-05-27,6489.0,Utility Carts
4,2020-05-28,4391.0,Utility Carts
5,2020-05-29,3315.0,Utility Carts
6,2020-05-30,3030.0,Utility Carts
7,2020-05-31,2176.0,Utility Carts
8,2020-06-01,1273.0,Utility Carts
9,2020-06-02,1765.0,Utility Carts
10,2020-06-03,1648.0,Utility Carts
11,2020-06-04,1648.0,Utility Carts
12,2020-06-05,1648.0,Utility Carts
13,2020-06-06,1447.0,Utility Carts
14,2020-06-07,1447.0,Utility Carts
15,2020-06-08,2096.0,Utility Carts
16,2020-06-09,2035.0,Utility Carts
17,2020-06-10,2200.0,Utility Carts
18,2020-06-11,2175.0,Utility Carts
19,2020-06-12,2175.0,Utility Carts
20,2020-06-13,2175.0,Utility Carts
21,2020-06-14,2370.0,Utility Carts
22,2020-06-15,3261.0,Utility Carts
23,2020-06-16,4003.0,Utility Carts
24,2020-06-17,4003.0,Utility Carts
25,2020-06-18,3812.0,Utility Carts
26,2020-06-19,3812.0,Utility Carts
27,2020-06-20,3812.0,Utility Carts
28,2020-06-21,4562.0,Utility Carts
29,2020-06-22,4562.0,Utility Carts
30,2020-06-23,7494.0,Utility Carts
31,2020-06-24,12297.0,Utility Carts
32,2020-06-25,12297.0,Utility Carts
33,2020-06-26,9555.0,Utility Carts
34,2020-06-27,9769.0,Utility Carts
35,2020-06-28,10081.0,Utility Carts
36,2020-06-29,10081.0,Utility Carts
37,2020-06-30,10081.0,Utility Carts
38,2020-07-01,8562.0,Utility Carts
39,2020-07-02,9169.0,Utility Carts
40,2020-07-03,9169.0,Utility Carts
41,2020-07-04,6378.0,Utility Carts
42,2020-07-05,6378.0,Utility Carts
43,2020-07-06,6378.0,Utility Carts
44,2020-07-07,6378.0,Utility Carts
45,2020-07-08,6378.0,Utility Carts
46,2020-07-09,6063.0,Utility Carts
47,2020-07-10,6063.0,Utility Carts
48,2020-07-11,6063.0,Utility Carts
49,2020-07-12,6063.0,Utility Carts
50,2020-07-13,6063.0,Utility Carts
51,2020-07-14,7494.0,Utility Carts
52,2020-07-15,9265.0,Utility Carts
53,2020-07-16,13842.0,Utility Carts
54,2020-07-17,21915.0,Utility Carts
55,2020-07-18,21915.0,Utility Carts
56,2020-07-19,30428.0,Utility Carts
57,2020-07-20,27020.0,Utility Carts
58,2020-07-21,37480.0,Utility Carts
59,2020-07-22,35317.0,Utility Carts
60,2020-07-23,32784.0,Utility Carts
61,2020-07-24,40084.0,Utility Carts
62,2020-07-25,22066.0,Utility Carts
63,2020-07-26,22066.0,Utility Carts
64,2020-07-27,7400.0,Utility Carts
65,2020-07-28,7400.0,Utility Carts
66,2020-07-29,7400.0,Utility Carts
67,2020-07-30,9103.0,Utility Carts
68,2020-07-31,7824.0,Utility Carts
69,2020-08-01,7824.0,Utility Carts
70,2020-08-02,7824.0,Utility Carts
