,date,value,name_B00JC4VY8C
0,2020-05-25,2032.0,Breathalyzers
1,2020-05-26,2890.0,Breathalyzers
2,2020-05-27,2890.0,Breathalyzers
3,2020-05-28,3757.0,Breathalyzers
4,2020-05-29,3757.0,Breathalyzers
5,2020-05-30,3757.0,Breathalyzers
6,2020-05-31,3757.0,Breathalyzers
7,2020-06-01,5533.0,Breathalyzers
8,2020-06-02,5533.0,Breathalyzers
9,2020-06-03,5533.0,Breathalyzers
10,2020-06-04,11664.0,Breathalyzers
11,2020-06-05,11664.0,Breathalyzers
12,2020-06-06,11664.0,Breathalyzers
13,2020-06-07,10131.0,Breathalyzers
14,2020-06-08,11053.0,Breathalyzers
15,2020-06-09,10240.0,Breathalyzers
16,2020-06-10,12069.0,Breathalyzers
17,2020-06-11,12069.0,Breathalyzers
18,2020-06-12,12069.0,Breathalyzers
19,2020-06-13,12053.0,Breathalyzers
20,2020-06-14,12053.0,Breathalyzers
21,2020-06-15,10722.0,Breathalyzers
22,2020-06-16,10722.0,Breathalyzers
23,2020-06-17,10722.0,Breathalyzers
24,2020-06-18,4665.0,Breathalyzers
25,2020-06-19,4665.0,Breathalyzers
26,2020-06-20,6504.0,Breathalyzers
27,2020-06-21,6504.0,Breathalyzers
28,2020-06-22,7754.0,Breathalyzers
29,2020-06-23,8413.0,Breathalyzers
30,2020-06-24,8413.0,Breathalyzers
31,2020-06-25,8413.0,Breathalyzers
32,2020-06-26,8939.0,Breathalyzers
33,2020-06-27,8939.0,Breathalyzers
34,2020-06-28,5960.0,Breathalyzers
35,2020-06-29,6874.0,Breathalyzers
36,2020-06-30,7082.0,Breathalyzers
37,2020-07-01,7082.0,Breathalyzers
38,2020-07-02,9439.0,Breathalyzers
39,2020-07-03,8911.0,Breathalyzers
40,2020-07-04,8911.0,Breathalyzers
41,2020-07-05,8832.0,Breathalyzers
42,2020-07-06,8832.0,Breathalyzers
43,2020-07-07,8832.0,Breathalyzers
44,2020-07-08,9623.0,Breathalyzers
45,2020-07-09,9623.0,Breathalyzers
46,2020-07-10,9623.0,Breathalyzers
47,2020-07-11,8959.0,Breathalyzers
48,2020-07-12,8959.0,Breathalyzers
49,2020-07-13,7700.0,Breathalyzers
50,2020-07-14,7700.0,Breathalyzers
51,2020-07-15,7700.0,Breathalyzers
52,2020-07-16,7700.0,Breathalyzers
53,2020-07-17,7700.0,Breathalyzers
54,2020-07-18,8947.0,Breathalyzers
55,2020-07-19,8947.0,Breathalyzers
56,2020-07-20,8947.0,Breathalyzers
57,2020-07-21,10463.0,Breathalyzers
58,2020-07-22,10463.0,Breathalyzers
59,2020-07-23,9344.0,Breathalyzers
60,2020-07-24,9344.0,Breathalyzers
61,2020-07-25,9387.0,Breathalyzers
62,2020-07-26,9387.0,Breathalyzers
63,2020-07-27,9335.0,Breathalyzers
64,2020-07-28,9335.0,Breathalyzers
65,2020-07-29,9335.0,Breathalyzers
66,2020-07-30,8107.0,Breathalyzers
67,2020-07-31,8107.0,Breathalyzers
68,2020-08-01,8107.0,Breathalyzers
69,2020-08-02,8107.0,Breathalyzers
70,2020-08-03,8908.0,Breathalyzers
71,2020-08-04,8908.0,Breathalyzers
72,2020-08-05,8908.0,Breathalyzers
73,2020-08-06,9970.0,Breathalyzers
74,2020-08-07,10139.0,Breathalyzers
75,2020-08-08,10139.0,Breathalyzers
76,2020-08-09,10139.0,Breathalyzers
77,2020-08-10,10139.0,Breathalyzers
78,2020-08-11,11763.0,Breathalyzers
79,2020-08-12,11763.0,Breathalyzers
80,2020-08-13,11763.0,Breathalyzers
81,2020-08-14,11763.0,Breathalyzers
82,2020-08-15,11763.0,Breathalyzers
83,2020-08-16,10760.0,Breathalyzers
84,2020-08-17,10760.0,Breathalyzers
85,2020-08-18,10760.0,Breathalyzers
86,2020-08-19,11148.0,Breathalyzers
87,2020-08-20,11148.0,Breathalyzers
88,2020-08-21,10368.0,Breathalyzers
89,2020-08-22,10368.0,Breathalyzers
90,2020-08-23,10368.0,Breathalyzers
91,2020-08-24,9047.0,Breathalyzers
92,2020-08-25,10880.0,Breathalyzers
93,2020-08-26,10880.0,Breathalyzers
94,2020-08-27,7789.0,Breathalyzers
95,2020-08-28,7789.0,Breathalyzers
96,2020-08-29,7789.0,Breathalyzers
97,2020-08-30,8897.0,Breathalyzers
98,2020-08-31,8897.0,Breathalyzers
99,2020-09-01,7581.0,Breathalyzers
100,2020-09-02,9933.0,Breathalyzers
101,2020-09-03,9933.0,Breathalyzers
102,2020-09-04,9933.0,Breathalyzers
103,2020-09-05,9407.0,Breathalyzers
104,2020-09-06,9407.0,Breathalyzers
105,2020-09-07,9407.0,Breathalyzers
106,2020-09-08,11289.0,Breathalyzers
