,date,value,name_B07HKQZNXF
0,2020-04-06,7914.0,Sheet & Pillowcase Sets
1,2020-04-07,9564.0,Sheet & Pillowcase Sets
2,2020-04-08,9564.0,Sheet & Pillowcase Sets
3,2020-04-09,9094.0,Sheet & Pillowcase Sets
4,2020-04-10,8560.0,Sheet & Pillowcase Sets
5,2020-04-11,8560.0,Sheet & Pillowcase Sets
6,2020-04-12,8560.0,Sheet & Pillowcase Sets
7,2020-04-13,10171.0,Sheet & Pillowcase Sets
8,2020-04-14,10171.0,Sheet & Pillowcase Sets
9,2020-04-15,10171.0,Sheet & Pillowcase Sets
10,2020-04-16,10171.0,Sheet & Pillowcase Sets
11,2020-04-17,10171.0,Sheet & Pillowcase Sets
12,2020-04-18,10171.0,Sheet & Pillowcase Sets
13,2020-04-19,10649.0,Sheet & Pillowcase Sets
14,2020-04-20,10649.0,Sheet & Pillowcase Sets
15,2020-04-21,4026.0,Sheet & Pillowcase Sets
16,2020-04-22,4026.0,Sheet & Pillowcase Sets
17,2020-04-23,4026.0,Sheet & Pillowcase Sets
18,2020-04-24,2180.0,Sheet & Pillowcase Sets
19,2020-04-25,2180.0,Sheet & Pillowcase Sets
20,2020-04-26,2180.0,Sheet & Pillowcase Sets
21,2020-04-27,2519.0,Sheet & Pillowcase Sets
22,2020-04-28,2519.0,Sheet & Pillowcase Sets
23,2020-04-29,2519.0,Sheet & Pillowcase Sets
24,2020-04-30,4669.0,Sheet & Pillowcase Sets
25,2020-05-01,4669.0,Sheet & Pillowcase Sets
26,2020-05-02,4669.0,Sheet & Pillowcase Sets
27,2020-05-03,7378.0,Sheet & Pillowcase Sets
28,2020-05-04,7466.0,Sheet & Pillowcase Sets
29,2020-05-05,7466.0,Sheet & Pillowcase Sets
30,2020-05-06,7216.0,Sheet & Pillowcase Sets
31,2020-05-07,7216.0,Sheet & Pillowcase Sets
32,2020-05-08,6738.0,Sheet & Pillowcase Sets
33,2020-05-09,5994.0,Sheet & Pillowcase Sets
34,2020-05-10,5994.0,Sheet & Pillowcase Sets
35,2020-05-11,5994.0,Sheet & Pillowcase Sets
36,2020-05-12,5065.0,Sheet & Pillowcase Sets
37,2020-05-13,5065.0,Sheet & Pillowcase Sets
38,2020-05-14,5065.0,Sheet & Pillowcase Sets
39,2020-05-15,4452.0,Sheet & Pillowcase Sets
40,2020-05-16,4852.0,Sheet & Pillowcase Sets
41,2020-05-17,4852.0,Sheet & Pillowcase Sets
42,2020-05-18,4852.0,Sheet & Pillowcase Sets
43,2020-05-19,5481.0,Sheet & Pillowcase Sets
44,2020-05-20,5481.0,Sheet & Pillowcase Sets
45,2020-05-21,5481.0,Sheet & Pillowcase Sets
46,2020-05-22,5014.0,Sheet & Pillowcase Sets
47,2020-05-23,5653.0,Sheet & Pillowcase Sets
48,2020-05-24,5653.0,Sheet & Pillowcase Sets
49,2020-05-25,5653.0,Sheet & Pillowcase Sets
