,date,value,name_B087ZFBJPB
0,2020-05-29,82138.0,Bed Pillows
1,2020-05-30,82138.0,Bed Pillows
2,2020-05-31,82138.0,Bed Pillows
3,2020-06-01,82138.0,Bed Pillows
4,2020-06-02,61151.0,Bed Pillows
5,2020-06-03,64389.0,Bed Pillows
6,2020-06-04,64389.0,Bed Pillows
7,2020-06-05,64389.0,Bed Pillows
8,2020-06-06,64389.0,Bed Pillows
9,2020-06-07,64389.0,Bed Pillows
10,2020-06-08,16647.0,Bed Pillows
11,2020-06-09,16647.0,Bed Pillows
12,2020-06-10,16647.0,Bed Pillows
13,2020-06-11,16647.0,Bed Pillows
14,2020-06-12,16647.0,Bed Pillows
15,2020-06-13,16647.0,Bed Pillows
16,2020-06-14,-1.0,Bed Pillows
17,2020-06-15,-1.0,Bed Pillows
18,2020-06-16,-1.0,Bed Pillows
19,2020-06-17,5915.0,Bed Pillows
20,2020-06-18,5915.0,Bed Pillows
21,2020-06-19,6745.0,Bed Pillows
22,2020-06-20,6745.0,Bed Pillows
23,2020-06-21,6745.0,Bed Pillows
24,2020-06-22,7347.0,Bed Pillows
25,2020-06-23,7347.0,Bed Pillows
26,2020-06-24,7347.0,Bed Pillows
27,2020-06-25,6082.0,Bed Pillows
28,2020-06-26,4982.0,Bed Pillows
29,2020-06-27,4982.0,Bed Pillows
30,2020-06-28,6116.0,Bed Pillows
31,2020-06-29,5549.0,Bed Pillows
32,2020-06-30,5708.0,Bed Pillows
33,2020-07-01,6347.0,Bed Pillows
34,2020-07-02,7116.0,Bed Pillows
35,2020-07-03,7116.0,Bed Pillows
36,2020-07-04,7116.0,Bed Pillows
37,2020-07-05,7116.0,Bed Pillows
38,2020-07-06,7431.0,Bed Pillows
39,2020-07-07,7431.0,Bed Pillows
40,2020-07-08,4771.0,Bed Pillows
41,2020-07-09,5765.0,Bed Pillows
42,2020-07-10,5765.0,Bed Pillows
43,2020-07-11,7081.0,Bed Pillows
44,2020-07-12,7081.0,Bed Pillows
45,2020-07-13,7712.0,Bed Pillows
46,2020-07-14,4520.0,Bed Pillows
47,2020-07-15,4014.0,Bed Pillows
48,2020-07-16,4014.0,Bed Pillows
49,2020-07-17,3212.0,Bed Pillows
50,2020-07-18,3581.0,Bed Pillows
51,2020-07-19,3581.0,Bed Pillows
52,2020-07-20,3581.0,Bed Pillows
53,2020-07-21,5280.0,Bed Pillows
54,2020-07-22,5280.0,Bed Pillows
55,2020-07-23,5280.0,Bed Pillows
56,2020-07-24,6024.0,Bed Pillows
57,2020-07-25,6024.0,Bed Pillows
58,2020-07-26,8257.0,Bed Pillows
59,2020-07-27,7345.0,Bed Pillows
60,2020-07-28,7345.0,Bed Pillows
61,2020-07-29,7779.0,Bed Pillows
62,2020-07-30,8681.0,Bed Pillows
63,2020-07-31,8681.0,Bed Pillows
64,2020-08-01,8681.0,Bed Pillows
65,2020-08-02,8681.0,Bed Pillows
66,2020-08-03,9586.0,Bed Pillows
67,2020-08-04,9295.0,Bed Pillows
68,2020-08-05,9295.0,Bed Pillows
69,2020-08-06,9295.0,Bed Pillows
70,2020-08-07,9295.0,Bed Pillows
71,2020-08-08,11194.0,Bed Pillows
72,2020-08-09,11194.0,Bed Pillows
73,2020-08-10,11194.0,Bed Pillows
74,2020-08-11,11194.0,Bed Pillows
75,2020-08-12,9404.0,Bed Pillows
76,2020-08-13,9404.0,Bed Pillows
77,2020-08-14,9407.0,Bed Pillows
78,2020-08-15,11985.0,Bed Pillows
79,2020-08-16,11985.0,Bed Pillows
80,2020-08-17,11985.0,Bed Pillows
81,2020-08-18,6633.0,Bed Pillows
82,2020-08-19,6633.0,Bed Pillows
83,2020-08-20,5534.0,Bed Pillows
84,2020-08-21,5534.0,Bed Pillows
85,2020-08-22,5534.0,Bed Pillows
86,2020-08-23,2853.0,Bed Pillows
87,2020-08-24,2853.0,Bed Pillows
88,2020-08-25,3555.0,Bed Pillows
89,2020-08-26,4224.0,Bed Pillows
90,2020-08-27,5845.0,Bed Pillows
91,2020-08-28,6699.0,Bed Pillows
92,2020-08-29,6463.0,Bed Pillows
93,2020-08-30,6331.0,Bed Pillows
94,2020-08-31,7491.0,Bed Pillows
95,2020-09-01,6450.0,Bed Pillows
96,2020-09-02,8953.0,Bed Pillows
97,2020-09-03,8953.0,Bed Pillows
98,2020-09-04,8953.0,Bed Pillows
99,2020-09-05,8953.0,Bed Pillows
100,2020-09-06,5113.0,Bed Pillows
101,2020-09-07,5113.0,Bed Pillows
102,2020-09-08,9862.0,Bed Pillows
103,2020-09-09,9862.0,Bed Pillows
104,2020-09-10,9862.0,Bed Pillows
105,2020-09-11,9862.0,Bed Pillows
106,2020-09-12,8327.0,Bed Pillows
107,2020-09-13,8327.0,Bed Pillows
108,2020-09-14,9356.0,Bed Pillows
109,2020-09-15,9356.0,Bed Pillows
110,2020-09-16,9356.0,Bed Pillows
111,2020-09-17,9356.0,Bed Pillows
112,2020-09-18,7289.0,Bed Pillows
113,2020-09-19,8040.0,Bed Pillows
114,2020-09-20,8040.0,Bed Pillows
115,2020-09-21,8040.0,Bed Pillows
116,2020-09-22,8025.0,Bed Pillows
117,2020-09-23,8025.0,Bed Pillows
118,2020-09-24,6406.0,Bed Pillows
119,2020-09-25,6406.0,Bed Pillows
120,2020-09-26,5203.0,Bed Pillows
121,2020-09-27,5203.0,Bed Pillows
122,2020-09-28,6294.0,Bed Pillows
123,2020-09-29,6294.0,Bed Pillows
124,2020-09-30,8121.0,Bed Pillows
125,2020-10-01,8121.0,Bed Pillows
126,2020-10-02,8121.0,Bed Pillows
127,2020-10-03,7016.0,Bed Pillows
128,2020-10-04,7016.0,Bed Pillows
129,2020-10-05,8949.0,Bed Pillows
130,2020-10-06,8677.0,Bed Pillows
131,2020-10-07,8677.0,Bed Pillows
132,2020-10-08,8677.0,Bed Pillows
133,2020-10-09,8677.0,Bed Pillows
134,2020-10-10,20890.0,Bed Pillows
135,2020-10-11,20890.0,Bed Pillows
136,2020-10-12,20890.0,Bed Pillows
137,2020-10-13,19723.0,Bed Pillows
138,2020-10-14,19723.0,Bed Pillows
139,2020-10-15,14436.0,Bed Pillows
140,2020-10-16,15086.0,Bed Pillows
