,date,value,name_B07PQN119V
0,2020-05-28,40604.0,Incandescent Bulbs
1,2020-05-29,40604.0,Incandescent Bulbs
2,2020-05-30,40604.0,Incandescent Bulbs
3,2020-05-31,40604.0,Incandescent Bulbs
4,2020-06-01,40604.0,Incandescent Bulbs
5,2020-06-02,40604.0,Incandescent Bulbs
6,2020-06-03,40604.0,Incandescent Bulbs
7,2020-06-04,15843.0,Incandescent Bulbs
8,2020-06-05,15843.0,Incandescent Bulbs
9,2020-06-06,15843.0,Incandescent Bulbs
10,2020-06-07,15843.0,Incandescent Bulbs
11,2020-06-08,15497.0,Incandescent Bulbs
12,2020-06-09,15497.0,Incandescent Bulbs
13,2020-06-10,15497.0,Incandescent Bulbs
14,2020-06-11,15497.0,Incandescent Bulbs
15,2020-06-12,15497.0,Incandescent Bulbs
16,2020-06-13,15497.0,Incandescent Bulbs
17,2020-06-14,17690.0,Incandescent Bulbs
18,2020-06-15,17690.0,Incandescent Bulbs
19,2020-06-16,17690.0,Incandescent Bulbs
20,2020-06-17,17690.0,Incandescent Bulbs
21,2020-06-18,17690.0,Incandescent Bulbs
22,2020-06-19,17690.0,Incandescent Bulbs
23,2020-06-20,17690.0,Incandescent Bulbs
24,2020-06-21,17690.0,Incandescent Bulbs
25,2020-06-22,17690.0,Incandescent Bulbs
26,2020-06-23,18283.0,Incandescent Bulbs
27,2020-06-24,18283.0,Incandescent Bulbs
28,2020-06-25,18283.0,Incandescent Bulbs
29,2020-06-26,18283.0,Incandescent Bulbs
30,2020-06-27,18283.0,Incandescent Bulbs
31,2020-06-28,18283.0,Incandescent Bulbs
32,2020-06-29,18283.0,Incandescent Bulbs
33,2020-06-30,23962.0,Incandescent Bulbs
34,2020-07-01,23962.0,Incandescent Bulbs
35,2020-07-02,23962.0,Incandescent Bulbs
36,2020-07-03,23962.0,Incandescent Bulbs
37,2020-07-04,18591.0,Incandescent Bulbs
38,2020-07-05,18591.0,Incandescent Bulbs
39,2020-07-06,18591.0,Incandescent Bulbs
40,2020-07-07,18591.0,Incandescent Bulbs
41,2020-07-08,18591.0,Incandescent Bulbs
42,2020-07-09,18591.0,Incandescent Bulbs
43,2020-07-10,18591.0,Incandescent Bulbs
44,2020-07-11,18591.0,Incandescent Bulbs
45,2020-07-12,18591.0,Incandescent Bulbs
46,2020-07-13,18591.0,Incandescent Bulbs
47,2020-07-14,18591.0,Incandescent Bulbs
48,2020-07-15,23664.0,Incandescent Bulbs
49,2020-07-16,23664.0,Incandescent Bulbs
50,2020-07-17,23664.0,Incandescent Bulbs
51,2020-07-18,23664.0,Incandescent Bulbs
52,2020-07-19,23664.0,Incandescent Bulbs
53,2020-07-20,23664.0,Incandescent Bulbs
54,2020-07-21,23664.0,Incandescent Bulbs
55,2020-07-22,23664.0,Incandescent Bulbs
56,2020-07-23,23664.0,Incandescent Bulbs
57,2020-07-24,23664.0,Incandescent Bulbs
58,2020-07-25,11658.0,Incandescent Bulbs
59,2020-07-26,11658.0,Incandescent Bulbs
60,2020-07-27,11658.0,Incandescent Bulbs
61,2020-07-28,11658.0,Incandescent Bulbs
62,2020-07-29,12280.0,Incandescent Bulbs
63,2020-07-30,12280.0,Incandescent Bulbs
64,2020-07-31,12280.0,Incandescent Bulbs
65,2020-08-01,15218.0,Incandescent Bulbs
66,2020-08-02,15218.0,Incandescent Bulbs
67,2020-08-03,15218.0,Incandescent Bulbs
68,2020-08-04,15218.0,Incandescent Bulbs
69,2020-08-05,15218.0,Incandescent Bulbs
70,2020-08-06,15218.0,Incandescent Bulbs
71,2020-08-07,15744.0,Incandescent Bulbs
72,2020-08-08,15744.0,Incandescent Bulbs
73,2020-08-09,15744.0,Incandescent Bulbs
74,2020-08-10,14523.0,Incandescent Bulbs
75,2020-08-11,14523.0,Incandescent Bulbs
76,2020-08-12,14523.0,Incandescent Bulbs
77,2020-08-13,14523.0,Incandescent Bulbs
78,2020-08-14,14523.0,Incandescent Bulbs
79,2020-08-15,12581.0,Incandescent Bulbs
80,2020-08-16,12581.0,Incandescent Bulbs
81,2020-08-17,10406.0,Incandescent Bulbs
82,2020-08-18,10406.0,Incandescent Bulbs
83,2020-08-19,10406.0,Incandescent Bulbs
84,2020-08-20,10406.0,Incandescent Bulbs
85,2020-08-21,10406.0,Incandescent Bulbs
86,2020-08-22,10406.0,Incandescent Bulbs
87,2020-08-23,10406.0,Incandescent Bulbs
88,2020-08-24,10406.0,Incandescent Bulbs
89,2020-08-25,10406.0,Incandescent Bulbs
90,2020-08-26,10406.0,Incandescent Bulbs
91,2020-08-27,17489.0,Incandescent Bulbs
92,2020-08-28,17489.0,Incandescent Bulbs
93,2020-08-29,17489.0,Incandescent Bulbs
94,2020-08-30,17489.0,Incandescent Bulbs
95,2020-08-31,17489.0,Incandescent Bulbs
