,date,value,name_B08233D22Y
0,2020-05-25,2738.0,Laminating Supplies
1,2020-05-26,2857.0,Laminating Supplies
2,2020-05-27,2342.0,Laminating Supplies
3,2020-05-28,2342.0,Laminating Supplies
4,2020-05-29,1924.0,Laminating Supplies
5,2020-05-30,1807.0,Laminating Supplies
6,2020-05-31,1880.0,Laminating Supplies
7,2020-06-01,1880.0,Laminating Supplies
8,2020-06-02,1887.0,Laminating Supplies
9,2020-06-03,1887.0,Laminating Supplies
10,2020-06-04,1730.0,Laminating Supplies
11,2020-06-05,1753.0,Laminating Supplies
12,2020-06-06,1753.0,Laminating Supplies
13,2020-06-07,2182.0,Laminating Supplies
14,2020-06-08,2124.0,Laminating Supplies
15,2020-06-09,2124.0,Laminating Supplies
16,2020-06-10,2185.0,Laminating Supplies
17,2020-06-11,2185.0,Laminating Supplies
18,2020-06-12,2281.0,Laminating Supplies
19,2020-06-13,2281.0,Laminating Supplies
20,2020-06-14,2406.0,Laminating Supplies
21,2020-06-15,1982.0,Laminating Supplies
22,2020-06-16,1982.0,Laminating Supplies
23,2020-06-17,1982.0,Laminating Supplies
24,2020-06-18,2141.0,Laminating Supplies
25,2020-06-19,2141.0,Laminating Supplies
26,2020-06-20,2247.0,Laminating Supplies
27,2020-06-21,2247.0,Laminating Supplies
28,2020-06-22,2247.0,Laminating Supplies
29,2020-06-23,2121.0,Laminating Supplies
30,2020-06-24,2121.0,Laminating Supplies
31,2020-06-25,2121.0,Laminating Supplies
32,2020-06-26,2187.0,Laminating Supplies
33,2020-06-27,2187.0,Laminating Supplies
34,2020-06-28,2187.0,Laminating Supplies
35,2020-06-29,2077.0,Laminating Supplies
36,2020-06-30,2271.0,Laminating Supplies
37,2020-07-01,2192.0,Laminating Supplies
38,2020-07-02,2192.0,Laminating Supplies
39,2020-07-03,1972.0,Laminating Supplies
40,2020-07-04,1972.0,Laminating Supplies
41,2020-07-05,1972.0,Laminating Supplies
42,2020-07-06,2225.0,Laminating Supplies
43,2020-07-07,2225.0,Laminating Supplies
44,2020-07-08,2278.0,Laminating Supplies
45,2020-07-09,2278.0,Laminating Supplies
46,2020-07-10,2278.0,Laminating Supplies
47,2020-07-11,2345.0,Laminating Supplies
48,2020-07-12,2345.0,Laminating Supplies
49,2020-07-13,2373.0,Laminating Supplies
50,2020-07-14,2373.0,Laminating Supplies
51,2020-07-15,2373.0,Laminating Supplies
52,2020-07-16,2616.0,Laminating Supplies
53,2020-07-17,2616.0,Laminating Supplies
54,2020-07-18,2616.0,Laminating Supplies
55,2020-07-19,3011.0,Laminating Supplies
56,2020-07-20,3011.0,Laminating Supplies
57,2020-07-21,3011.0,Laminating Supplies
58,2020-07-22,2956.0,Laminating Supplies
59,2020-07-23,2822.0,Laminating Supplies
60,2020-07-24,2788.0,Laminating Supplies
61,2020-07-25,2332.0,Laminating Supplies
62,2020-07-26,2332.0,Laminating Supplies
63,2020-07-27,2345.0,Laminating Supplies
64,2020-07-28,2345.0,Laminating Supplies
65,2020-07-29,2345.0,Laminating Supplies
66,2020-07-30,2345.0,Laminating Supplies
67,2020-07-31,2644.0,Laminating Supplies
68,2020-08-01,2644.0,Laminating Supplies
69,2020-08-02,2905.0,Laminating Supplies
70,2020-08-03,2905.0,Laminating Supplies
71,2020-08-04,3716.0,Laminating Supplies
72,2020-08-05,3120.0,Laminating Supplies
73,2020-08-06,3120.0,Laminating Supplies
74,2020-08-07,3130.0,Laminating Supplies
75,2020-08-08,3130.0,Laminating Supplies
76,2020-08-09,3130.0,Laminating Supplies
77,2020-08-10,2855.0,Laminating Supplies
78,2020-08-11,3288.0,Laminating Supplies
79,2020-08-12,3288.0,Laminating Supplies
80,2020-08-13,3533.0,Laminating Supplies
81,2020-08-14,3533.0,Laminating Supplies
82,2020-08-15,3533.0,Laminating Supplies
83,2020-08-16,2955.0,Laminating Supplies
84,2020-08-17,2955.0,Laminating Supplies
85,2020-08-18,3639.0,Laminating Supplies
86,2020-08-19,3639.0,Laminating Supplies
87,2020-08-20,2746.0,Laminating Supplies
88,2020-08-21,2746.0,Laminating Supplies
89,2020-08-22,2746.0,Laminating Supplies
90,2020-08-23,2614.0,Laminating Supplies
91,2020-08-24,2756.0,Laminating Supplies
92,2020-08-25,2756.0,Laminating Supplies
93,2020-08-26,3541.0,Laminating Supplies
94,2020-08-27,3541.0,Laminating Supplies
95,2020-08-28,3482.0,Laminating Supplies
96,2020-08-29,3433.0,Laminating Supplies
97,2020-08-30,3433.0,Laminating Supplies
98,2020-08-31,5023.0,Laminating Supplies
99,2020-09-01,5023.0,Laminating Supplies
100,2020-09-02,4669.0,Laminating Supplies
101,2020-09-03,4669.0,Laminating Supplies
102,2020-09-04,4669.0,Laminating Supplies
103,2020-09-05,3192.0,Laminating Supplies
104,2020-09-06,3192.0,Laminating Supplies
105,2020-09-07,3192.0,Laminating Supplies
106,2020-09-08,5386.0,Laminating Supplies
107,2020-09-09,3724.0,Laminating Supplies
108,2020-09-10,3665.0,Laminating Supplies
109,2020-09-11,3665.0,Laminating Supplies
110,2020-09-12,3665.0,Laminating Supplies
111,2020-09-13,3706.0,Laminating Supplies
112,2020-09-14,3706.0,Laminating Supplies
113,2020-09-15,3706.0,Laminating Supplies
114,2020-09-16,4662.0,Laminating Supplies
115,2020-09-17,3334.0,Laminating Supplies
116,2020-09-18,3334.0,Laminating Supplies
117,2020-09-19,3334.0,Laminating Supplies
118,2020-09-20,4015.0,Laminating Supplies
119,2020-09-21,4133.0,Laminating Supplies
120,2020-09-22,4133.0,Laminating Supplies
121,2020-09-23,3698.0,Laminating Supplies
122,2020-09-24,4393.0,Laminating Supplies
123,2020-09-25,4393.0,Laminating Supplies
124,2020-09-26,4393.0,Laminating Supplies
125,2020-09-27,3593.0,Laminating Supplies
126,2020-09-28,3801.0,Laminating Supplies
127,2020-09-29,3308.0,Laminating Supplies
128,2020-09-30,2877.0,Laminating Supplies
129,2020-10-01,2587.0,Laminating Supplies
130,2020-10-02,2587.0,Laminating Supplies
131,2020-10-03,2587.0,Laminating Supplies
132,2020-10-04,2587.0,Laminating Supplies
133,2020-10-05,2986.0,Laminating Supplies
134,2020-10-06,4000.0,Laminating Supplies
