,date,value,name_B08D9MYMM8
0,2020-07-22,14043.0,Drawer Organizers
1,2020-07-23,14043.0,Drawer Organizers
2,2020-07-24,14043.0,Drawer Organizers
3,2020-07-25,26927.0,Drawer Organizers
4,2020-07-26,26927.0,Drawer Organizers
5,2020-07-27,26927.0,Drawer Organizers
6,2020-07-28,24221.0,Drawer Organizers
7,2020-07-29,25141.0,Drawer Organizers
8,2020-07-30,22467.0,Drawer Organizers
9,2020-07-31,22467.0,Drawer Organizers
10,2020-08-01,24823.0,Drawer Organizers
11,2020-08-02,21748.0,Drawer Organizers
12,2020-08-03,21748.0,Drawer Organizers
13,2020-08-04,21748.0,Drawer Organizers
14,2020-08-05,22219.0,Drawer Organizers
15,2020-08-06,22219.0,Drawer Organizers
16,2020-08-07,25413.0,Drawer Organizers
17,2020-08-08,25413.0,Drawer Organizers
18,2020-08-09,25413.0,Drawer Organizers
19,2020-08-10,25413.0,Drawer Organizers
20,2020-08-11,27379.0,Drawer Organizers
21,2020-08-12,22996.0,Drawer Organizers
22,2020-08-13,22996.0,Drawer Organizers
23,2020-08-14,22996.0,Drawer Organizers
24,2020-08-15,25134.0,Drawer Organizers
25,2020-08-16,25134.0,Drawer Organizers
26,2020-08-17,25134.0,Drawer Organizers
27,2020-08-18,25134.0,Drawer Organizers
28,2020-08-19,24373.0,Drawer Organizers
29,2020-08-20,24373.0,Drawer Organizers
30,2020-08-21,22847.0,Drawer Organizers
31,2020-08-22,22847.0,Drawer Organizers
32,2020-08-23,22847.0,Drawer Organizers
33,2020-08-24,22847.0,Drawer Organizers
34,2020-08-25,23112.0,Drawer Organizers
35,2020-08-26,23112.0,Drawer Organizers
36,2020-08-27,25953.0,Drawer Organizers
37,2020-08-28,25772.0,Drawer Organizers
38,2020-08-29,25772.0,Drawer Organizers
39,2020-08-30,25772.0,Drawer Organizers
40,2020-08-31,17155.0,Drawer Organizers
41,2020-09-01,14559.0,Drawer Organizers
42,2020-09-02,13344.0,Drawer Organizers
43,2020-09-03,13344.0,Drawer Organizers
44,2020-09-04,13344.0,Drawer Organizers
45,2020-09-05,19187.0,Drawer Organizers
46,2020-09-06,19187.0,Drawer Organizers
47,2020-09-07,17285.0,Drawer Organizers
48,2020-09-08,17285.0,Drawer Organizers
49,2020-09-09,24066.0,Drawer Organizers
50,2020-09-10,24066.0,Drawer Organizers
51,2020-09-11,20255.0,Drawer Organizers
52,2020-09-12,20255.0,Drawer Organizers
53,2020-09-13,20255.0,Drawer Organizers
54,2020-09-14,20255.0,Drawer Organizers
55,2020-09-15,15463.0,Drawer Organizers
56,2020-09-16,15463.0,Drawer Organizers
57,2020-09-17,12799.0,Drawer Organizers
58,2020-09-18,17425.0,Drawer Organizers
59,2020-09-19,24515.0,Drawer Organizers
60,2020-09-20,24515.0,Drawer Organizers
61,2020-09-21,24515.0,Drawer Organizers
62,2020-09-22,24515.0,Drawer Organizers
63,2020-09-23,17030.0,Drawer Organizers
64,2020-09-24,17469.0,Drawer Organizers
65,2020-09-25,17469.0,Drawer Organizers
66,2020-09-26,16032.0,Drawer Organizers
67,2020-09-27,16032.0,Drawer Organizers
68,2020-09-28,14199.0,Drawer Organizers
69,2020-09-29,15270.0,Drawer Organizers
70,2020-09-30,15392.0,Drawer Organizers
71,2020-10-01,14422.0,Drawer Organizers
72,2020-10-02,14422.0,Drawer Organizers
73,2020-10-03,14422.0,Drawer Organizers
74,2020-10-04,14422.0,Drawer Organizers
75,2020-10-05,14422.0,Drawer Organizers
76,2020-10-06,19558.0,Drawer Organizers
77,2020-10-07,19558.0,Drawer Organizers
78,2020-10-08,18249.0,Drawer Organizers
79,2020-10-09,18249.0,Drawer Organizers
80,2020-10-10,18249.0,Drawer Organizers
81,2020-10-11,18249.0,Drawer Organizers
82,2020-10-12,18503.0,Drawer Organizers
83,2020-10-13,17366.0,Drawer Organizers
84,2020-10-14,1445.0,Drawer Organizers
85,2020-10-15,1445.0,Drawer Organizers
86,2020-10-16,1445.0,Drawer Organizers
87,2020-10-17,1445.0,Drawer Organizers
88,2020-10-18,36630.0,Drawer Organizers
89,2020-10-19,36630.0,Drawer Organizers
90,2020-10-20,36630.0,Drawer Organizers
91,2020-10-21,36630.0,Drawer Organizers
92,2020-10-22,40779.0,Drawer Organizers
93,2020-10-23,40779.0,Drawer Organizers
94,2020-10-24,40779.0,Drawer Organizers
95,2020-10-25,40779.0,Drawer Organizers
96,2020-10-26,38951.0,Drawer Organizers
97,2020-10-27,38951.0,Drawer Organizers
98,2020-10-28,50893.0,Drawer Organizers
99,2020-10-29,50893.0,Drawer Organizers
100,2020-10-30,50893.0,Drawer Organizers
101,2020-10-31,50893.0,Drawer Organizers
102,2020-11-01,43450.0,Drawer Organizers
103,2020-11-02,43450.0,Drawer Organizers
104,2020-11-03,43450.0,Drawer Organizers
105,2020-11-04,43450.0,Drawer Organizers
106,2020-11-05,55165.0,Drawer Organizers
107,2020-11-06,55165.0,Drawer Organizers
108,2020-11-07,55165.0,Drawer Organizers
109,2020-11-08,55165.0,Drawer Organizers
110,2020-11-09,55165.0,Drawer Organizers
111,2020-11-10,55165.0,Drawer Organizers
112,2020-11-11,95884.0,Drawer Organizers
113,2020-11-12,95884.0,Drawer Organizers
114,2020-11-13,95884.0,Drawer Organizers
115,2020-11-14,95884.0,Drawer Organizers
116,2020-11-15,95884.0,Drawer Organizers
117,2020-11-16,70709.0,Drawer Organizers
118,2020-11-17,70709.0,Drawer Organizers
119,2020-11-18,70709.0,Drawer Organizers
120,2020-11-19,70709.0,Drawer Organizers
121,2020-11-20,82197.0,Drawer Organizers
122,2020-11-21,82197.0,Drawer Organizers
123,2020-11-22,82197.0,Drawer Organizers
124,2020-11-23,82197.0,Drawer Organizers
125,2020-11-24,35786.0,Drawer Organizers
126,2020-11-25,27977.0,Drawer Organizers
127,2020-11-26,27977.0,Drawer Organizers
128,2020-11-27,27977.0,Drawer Organizers
129,2020-11-28,27977.0,Drawer Organizers
130,2020-11-29,27977.0,Drawer Organizers
131,2020-11-30,51451.0,Drawer Organizers
132,2020-12-01,51451.0,Drawer Organizers
133,2020-12-02,51451.0,Drawer Organizers
134,2020-12-03,51451.0,Drawer Organizers
135,2020-12-04,37979.0,Drawer Organizers
136,2020-12-05,37979.0,Drawer Organizers
137,2020-12-06,44564.0,Drawer Organizers
138,2020-12-07,47160.0,Drawer Organizers
139,2020-12-08,47160.0,Drawer Organizers
140,2020-12-09,47160.0,Drawer Organizers
141,2020-12-10,41663.0,Drawer Organizers
142,2020-12-11,41663.0,Drawer Organizers
143,2020-12-12,41663.0,Drawer Organizers
144,2020-12-13,41663.0,Drawer Organizers
145,2020-12-14,41663.0,Drawer Organizers
146,2020-12-15,27255.0,Drawer Organizers
147,2020-12-16,27255.0,Drawer Organizers
148,2020-12-17,27255.0,Drawer Organizers
149,2020-12-18,19061.0,Drawer Organizers
150,2020-12-19,19061.0,Drawer Organizers
151,2020-12-20,20904.0,Drawer Organizers
152,2020-12-21,18242.0,Drawer Organizers
153,2020-12-22,15769.0,Drawer Organizers
154,2020-12-23,15389.0,Drawer Organizers
155,2020-12-24,16479.0,Drawer Organizers
156,2020-12-25,13004.0,Drawer Organizers
157,2020-12-26,12421.0,Drawer Organizers
158,2020-12-27,9362.0,Drawer Organizers
159,2020-12-28,9540.0,Drawer Organizers
160,2020-12-29,8493.0,Drawer Organizers
161,2020-12-30,9858.0,Drawer Organizers
162,2020-12-31,10056.0,Drawer Organizers
163,2021-01-01,10214.0,Drawer Organizers
164,2021-01-02,10214.0,Drawer Organizers
165,2021-01-03,13033.0,Drawer Organizers
166,2021-01-04,10802.0,Drawer Organizers
167,2021-01-05,10802.0,Drawer Organizers
168,2021-01-06,10802.0,Drawer Organizers
169,2021-01-07,13302.0,Drawer Organizers
170,2021-01-08,13302.0,Drawer Organizers
171,2021-01-09,14610.0,Drawer Organizers
172,2021-01-10,14610.0,Drawer Organizers
173,2021-01-11,14610.0,Drawer Organizers
174,2021-01-12,16116.0,Drawer Organizers
175,2021-01-13,16116.0,Drawer Organizers
176,2021-01-14,16116.0,Drawer Organizers
177,2021-01-15,16116.0,Drawer Organizers
178,2021-01-16,16240.0,Drawer Organizers
179,2021-01-17,16240.0,Drawer Organizers
180,2021-01-18,16240.0,Drawer Organizers
181,2021-01-19,16240.0,Drawer Organizers
182,2021-01-20,18087.0,Drawer Organizers
183,2021-01-21,17393.0,Drawer Organizers
184,2021-01-22,17393.0,Drawer Organizers
185,2021-01-23,17393.0,Drawer Organizers
186,2021-01-24,17393.0,Drawer Organizers
187,2021-01-25,17393.0,Drawer Organizers
188,2021-01-26,15230.0,Drawer Organizers
189,2021-01-27,22143.0,Drawer Organizers
190,2021-01-28,22143.0,Drawer Organizers
191,2021-01-29,33990.0,Drawer Organizers
192,2021-01-30,33990.0,Drawer Organizers
193,2021-01-31,33990.0,Drawer Organizers
194,2021-02-01,47687.0,Drawer Organizers
195,2021-02-02,47687.0,Drawer Organizers
196,2021-02-03,47687.0,Drawer Organizers
197,2021-02-04,47687.0,Drawer Organizers
198,2021-02-05,47687.0,Drawer Organizers
199,2021-02-06,54185.0,Drawer Organizers
200,2021-02-07,77593.0,Drawer Organizers
201,2021-02-08,77593.0,Drawer Organizers
202,2021-02-09,77593.0,Drawer Organizers
203,2021-02-10,77593.0,Drawer Organizers
204,2021-02-11,77593.0,Drawer Organizers
205,2021-02-12,77593.0,Drawer Organizers
206,2021-02-13,91324.0,Drawer Organizers
207,2021-02-14,91324.0,Drawer Organizers
208,2021-02-15,91324.0,Drawer Organizers
209,2021-02-16,91324.0,Drawer Organizers
210,2021-02-17,94299.0,Drawer Organizers
211,2021-02-18,24019.0,Drawer Organizers
212,2021-02-19,20712.0,Drawer Organizers
213,2021-02-20,27960.0,Drawer Organizers
214,2021-02-21,27960.0,Drawer Organizers
215,2021-02-22,27960.0,Drawer Organizers
216,2021-02-23,27960.0,Drawer Organizers
217,2021-02-24,36391.0,Drawer Organizers
218,2021-02-25,36391.0,Drawer Organizers
219,2021-02-26,36391.0,Drawer Organizers
220,2021-02-27,36391.0,Drawer Organizers
221,2021-02-28,36391.0,Drawer Organizers
222,2021-03-01,41805.0,Drawer Organizers
223,2021-03-02,41805.0,Drawer Organizers
224,2021-03-03,41805.0,Drawer Organizers
225,2021-03-04,21336.0,Drawer Organizers
226,2021-03-05,21148.0,Drawer Organizers
227,2021-03-06,21148.0,Drawer Organizers
228,2021-03-07,21148.0,Drawer Organizers
229,2021-03-08,13616.0,Drawer Organizers
230,2021-03-09,11020.0,Drawer Organizers
231,2021-03-10,11020.0,Drawer Organizers
232,2021-03-11,11020.0,Drawer Organizers
233,2021-03-12,11020.0,Drawer Organizers
234,2021-03-13,11020.0,Drawer Organizers
235,2021-03-14,12159.0,Drawer Organizers
236,2021-03-15,12159.0,Drawer Organizers
237,2021-03-16,12159.0,Drawer Organizers
238,2021-03-17,12159.0,Drawer Organizers
239,2021-03-18,12654.0,Drawer Organizers
240,2021-03-19,12654.0,Drawer Organizers
241,2021-03-20,12654.0,Drawer Organizers
242,2021-03-21,12654.0,Drawer Organizers
243,2021-03-22,10394.0,Drawer Organizers
244,2021-03-23,10394.0,Drawer Organizers
245,2021-03-24,10394.0,Drawer Organizers
246,2021-03-25,13919.0,Drawer Organizers
247,2021-03-26,13919.0,Drawer Organizers
248,2021-03-27,13919.0,Drawer Organizers
249,2021-03-28,12670.0,Drawer Organizers
250,2021-03-29,12670.0,Drawer Organizers
251,2021-03-30,12670.0,Drawer Organizers
252,2021-03-31,12670.0,Drawer Organizers
