,date,value,name_B07L9RHHX6
0,2018-12-13,14985.0,Folding Stools
1,2018-12-14,14985.0,Folding Stools
2,2018-12-15,12822.0,Folding Stools
3,2018-12-16,12822.0,Folding Stools
4,2018-12-17,13042.0,Folding Stools
5,2018-12-18,12511.0,Folding Stools
6,2018-12-19,10881.0,Folding Stools
7,2018-12-20,10881.0,Folding Stools
8,2018-12-21,11688.0,Folding Stools
9,2018-12-22,12396.0,Folding Stools
10,2018-12-23,12396.0,Folding Stools
11,2018-12-24,8539.0,Folding Stools
12,2018-12-25,9154.0,Folding Stools
13,2018-12-26,9154.0,Folding Stools
14,2018-12-27,9154.0,Folding Stools
15,2018-12-28,8758.0,Folding Stools
16,2018-12-29,8575.0,Folding Stools
17,2018-12-30,8575.0,Folding Stools
18,2018-12-31,5712.0,Folding Stools
19,2019-01-01,5199.0,Folding Stools
20,2019-01-02,4561.0,Folding Stools
21,2019-01-03,4815.0,Folding Stools
22,2019-01-04,3820.0,Folding Stools
23,2019-01-05,4229.0,Folding Stools
24,2019-01-06,3064.0,Folding Stools
25,2019-01-07,2751.0,Folding Stools
26,2019-01-08,729.0,Folding Stools
27,2019-01-09,672.0,Folding Stools
28,2019-01-10,597.0,Folding Stools
29,2019-01-11,597.0,Folding Stools
30,2019-01-12,561.0,Folding Stools
31,2019-01-13,696.0,Folding Stools
32,2019-01-14,501.0,Folding Stools
33,2019-01-15,565.0,Folding Stools
34,2019-01-16,650.0,Folding Stools
35,2019-01-17,732.0,Folding Stools
36,2019-01-18,666.0,Folding Stools
37,2019-01-19,824.0,Folding Stools
38,2019-01-20,706.0,Folding Stools
39,2019-01-21,543.0,Folding Stools
40,2019-01-22,539.0,Folding Stools
41,2019-01-23,609.0,Folding Stools
42,2019-01-24,615.0,Folding Stools
43,2019-01-25,683.0,Folding Stools
44,2019-01-26,755.0,Folding Stools
45,2019-01-27,619.0,Folding Stools
46,2019-01-28,578.0,Folding Stools
47,2019-01-29,622.0,Folding Stools
48,2019-01-30,598.0,Folding Stools
49,2019-01-31,599.0,Folding Stools
50,2019-02-01,555.0,Folding Stools
51,2019-02-02,760.0,Folding Stools
52,2019-02-03,680.0,Folding Stools
53,2019-02-04,737.0,Folding Stools
54,2019-02-05,750.0,Folding Stools
55,2019-02-06,1180.0,Folding Stools
56,2019-02-07,1180.0,Folding Stools
57,2019-02-08,816.0,Folding Stools
58,2019-02-09,987.0,Folding Stools
59,2019-02-10,987.0,Folding Stools
60,2019-02-11,848.0,Folding Stools
61,2019-02-12,744.0,Folding Stools
62,2019-02-13,975.0,Folding Stools
63,2019-02-14,975.0,Folding Stools
64,2019-02-15,913.0,Folding Stools
65,2019-02-16,841.0,Folding Stools
66,2019-02-17,841.0,Folding Stools
67,2019-02-18,841.0,Folding Stools
68,2019-02-19,696.0,Folding Stools
69,2019-02-20,928.0,Folding Stools
70,2019-02-21,997.0,Folding Stools
71,2019-02-22,1267.0,Folding Stools
72,2019-02-23,1585.0,Folding Stools
73,2019-02-24,1585.0,Folding Stools
74,2019-02-25,1585.0,Folding Stools
75,2019-02-26,1585.0,Folding Stools
76,2019-02-27,1585.0,Folding Stools
77,2019-02-28,1570.0,Folding Stools
78,2019-03-01,2005.0,Folding Stools
79,2019-03-02,2017.0,Folding Stools
80,2019-03-03,1755.0,Folding Stools
81,2019-03-04,1755.0,Folding Stools
82,2019-03-05,983.0,Folding Stools
83,2019-03-06,2014.0,Folding Stools
84,2019-03-07,2014.0,Folding Stools
85,2019-03-08,2014.0,Folding Stools
86,2019-03-09,2014.0,Folding Stools
87,2019-03-10,1910.0,Folding Stools
88,2019-03-11,707.0,Folding Stools
89,2019-03-12,707.0,Folding Stools
90,2019-03-13,1386.0,Folding Stools
91,2019-03-14,1372.0,Folding Stools
92,2019-03-15,1592.0,Folding Stools
93,2019-03-16,1154.0,Folding Stools
94,2019-03-17,1590.0,Folding Stools
95,2019-03-18,1959.0,Folding Stools
96,2019-03-19,1633.0,Folding Stools
97,2019-03-20,1563.0,Folding Stools
