,date,value,name_B07G8JB93W
177,2019-04-19,258993.0,Sets
178,2019-04-20,258993.0,Sets
179,2019-04-21,258993.0,Sets
180,2019-04-22,258993.0,Sets
181,2019-04-23,258617.0,Sets
182,2019-04-24,258617.0,Sets
183,2019-04-25,245372.0,Sets
184,2019-04-26,249082.0,Sets
185,2019-04-27,249082.0,Sets
186,2019-04-28,130561.0,Sets
187,2019-04-29,130561.0,Sets
188,2019-04-30,130561.0,Sets
189,2019-05-01,130561.0,Sets
190,2019-05-02,130561.0,Sets
191,2019-05-03,130561.0,Sets
192,2019-05-04,130561.0,Sets
193,2019-05-05,172797.0,Sets
194,2019-05-06,172797.0,Sets
195,2019-05-07,233178.0,Sets
196,2019-05-08,233178.0,Sets
197,2019-05-09,175418.0,Sets
198,2019-05-10,175418.0,Sets
199,2019-05-11,238313.0,Sets
200,2019-05-12,238313.0,Sets
201,2019-05-13,166234.0,Sets
202,2019-05-14,136679.0,Sets
203,2019-05-15,136679.0,Sets
204,2019-05-16,136679.0,Sets
205,2019-05-17,136679.0,Sets
206,2019-05-18,136679.0,Sets
207,2019-05-19,254417.0,Sets
208,2019-05-20,254417.0,Sets
209,2019-05-21,231086.0,Sets
210,2019-05-22,268608.0,Sets
211,2019-05-23,261101.0,Sets
212,2019-05-24,261101.0,Sets
213,2019-05-25,240675.0,Sets
214,2019-05-26,240675.0,Sets
215,2019-05-27,243960.0,Sets
216,2019-05-28,243960.0,Sets
217,2019-05-29,243960.0,Sets
218,2019-05-30,243960.0,Sets
219,2019-05-31,243960.0,Sets
220,2019-06-01,277863.0,Sets
221,2019-06-02,277863.0,Sets
222,2019-06-03,308153.0,Sets
223,2019-06-04,294919.0,Sets
224,2019-06-05,294919.0,Sets
225,2019-06-06,294919.0,Sets
226,2019-06-07,294919.0,Sets
227,2019-06-08,294919.0,Sets
228,2019-06-09,276220.0,Sets
229,2019-06-10,276220.0,Sets
230,2019-06-11,193950.0,Sets
231,2019-06-12,193950.0,Sets
232,2019-06-13,193950.0,Sets
233,2019-06-14,193950.0,Sets
234,2019-06-15,230656.0,Sets
235,2019-06-16,230656.0,Sets
236,2019-06-17,230656.0,Sets
237,2019-06-18,297300.0,Sets
238,2019-06-19,95775.0,Sets
239,2019-06-20,95775.0,Sets
240,2019-06-21,95775.0,Sets
241,2019-06-22,95775.0,Sets
242,2019-06-23,95775.0,Sets
243,2019-06-24,199860.0,Sets
244,2019-06-25,199860.0,Sets
245,2019-06-26,199860.0,Sets
246,2019-06-27,199860.0,Sets
247,2019-06-28,250032.0,Sets
248,2019-06-29,250032.0,Sets
249,2019-06-30,250032.0,Sets
250,2019-07-01,309516.0,Sets
251,2019-07-02,309516.0,Sets
252,2019-07-03,309516.0,Sets
253,2019-07-04,309516.0,Sets
254,2019-07-05,271166.0,Sets
255,2019-07-06,271166.0,Sets
256,2019-07-07,271166.0,Sets
257,2019-07-08,271166.0,Sets
258,2019-07-09,256252.0,Sets
259,2019-07-10,256252.0,Sets
260,2019-07-11,256252.0,Sets
261,2019-07-12,256252.0,Sets
262,2019-07-13,256252.0,Sets
263,2019-07-14,149407.0,Sets
264,2019-07-15,149407.0,Sets
265,2019-07-16,149407.0,Sets
266,2019-07-17,149407.0,Sets
267,2019-07-18,264207.0,Sets
268,2019-07-19,294961.0,Sets
269,2019-07-20,294961.0,Sets
270,2019-07-21,294961.0,Sets
271,2019-07-22,262286.0,Sets
272,2019-07-23,262286.0,Sets
273,2019-07-24,262286.0,Sets
274,2019-07-25,262286.0,Sets
275,2019-07-26,252313.0,Sets
276,2019-07-27,252313.0,Sets
277,2019-07-28,252313.0,Sets
278,2019-07-29,252313.0,Sets
279,2019-07-30,123239.0,Sets
280,2019-07-31,123239.0,Sets
281,2019-08-01,123239.0,Sets
282,2019-08-02,123239.0,Sets
283,2019-08-03,123239.0,Sets
284,2019-08-04,227245.0,Sets
285,2019-08-05,289086.0,Sets
286,2019-08-06,289086.0,Sets
287,2019-08-07,286030.0,Sets
288,2019-08-08,299568.0,Sets
289,2019-08-09,299568.0,Sets
290,2019-08-10,299568.0,Sets
291,2019-08-11,299568.0,Sets
292,2019-08-12,299568.0,Sets
293,2019-08-13,350202.0,Sets
294,2019-08-14,350202.0,Sets
295,2019-08-15,350202.0,Sets
296,2019-08-16,350202.0,Sets
297,2019-08-17,194087.0,Sets
298,2019-08-18,194087.0,Sets
299,2019-08-19,194087.0,Sets
300,2019-08-20,333092.0,Sets
301,2019-08-21,344017.0,Sets
302,2019-08-22,331550.0,Sets
303,2019-08-23,283531.0,Sets
304,2019-08-24,283531.0,Sets
305,2019-08-25,264692.0,Sets
306,2019-08-26,264692.0,Sets
307,2019-08-27,264692.0,Sets
308,2019-08-28,327345.0,Sets
309,2019-08-29,327345.0,Sets
310,2019-08-30,327345.0,Sets
311,2019-08-31,327345.0,Sets
312,2019-09-01,117905.0,Sets
313,2019-09-02,193799.0,Sets
314,2019-09-03,250061.0,Sets
315,2019-09-04,124477.0,Sets
316,2019-09-05,217316.0,Sets
317,2019-09-06,159555.0,Sets
318,2019-09-07,159555.0,Sets
