,date,value,name_B08YYLPKP2
0,2021-03-17,4583,Repellents
1,2021-03-18,5274,Repellents
2,2021-03-19,6533,Repellents
3,2021-03-20,7164,Repellents
4,2021-03-21,8154,Repellents
5,2021-03-22,5676,Repellents
6,2021-03-23,7037,Repellents
7,2021-03-24,6530,Repellents
8,2021-03-25,5737,Repellents
9,2021-03-26,4205,Repellents
10,2021-03-27,4977,Repellents
11,2021-03-28,5961,Repellents
12,2021-03-29,5062,Repellents
13,2021-03-30,6074,Repellents
14,2021-03-31,5214,Repellents
15,2021-04-01,5475,Repellents
16,2021-04-02,6077,Repellents
17,2021-04-03,3955,Repellents
18,2021-04-04,5913,Repellents
19,2021-04-05,6116,Repellents
20,2021-04-06,6617,Repellents
21,2021-04-07,5598,Repellents
22,2021-04-08,6829,Repellents
23,2021-04-09,6941,Repellents
24,2021-04-10,6730,Repellents
25,2021-04-11,5853,Repellents
26,2021-04-12,6090,Repellents
27,2021-04-13,4067,Repellents
28,2021-04-14,5818,Repellents
29,2021-04-15,4938,Repellents
30,2021-04-16,4565,Repellents
31,2021-04-17,5503,Repellents
32,2021-04-18,7617,Repellents
33,2021-04-19,5343,Repellents
34,2021-04-20,5807,Repellents
35,2021-04-21,5530,Repellents
36,2021-04-22,6143,Repellents
37,2021-04-23,6068,Repellents
38,2021-04-24,5962,Repellents
39,2021-04-25,4575,Repellents
40,2021-04-26,4289,Repellents
41,2021-04-27,5240,Repellents
42,2021-04-28,4544,Repellents
43,2021-04-29,4622,Repellents
44,2021-04-30,4897,Repellents
45,2021-05-01,5477,Repellents
46,2021-05-02,6624,Repellents
47,2021-05-03,5233,Repellents
48,2021-05-04,5514,Repellents
49,2021-05-05,3696,Repellents
50,2021-05-06,4367,Repellents
51,2021-05-07,3875,Repellents
52,2021-05-08,3887,Repellents
53,2021-05-09,3715,Repellents
54,2021-05-10,4801,Repellents
55,2021-05-11,4680,Repellents
56,2021-05-12,4187,Repellents
57,2021-05-13,4821,Repellents
58,2021-05-14,4199,Repellents
59,2021-05-15,4382,Repellents
60,2021-05-16,4603,Repellents
61,2021-05-17,3864,Repellents
62,2021-05-18,4021,Repellents
63,2021-05-19,4519,Repellents
64,2021-05-20,4988,Repellents
65,2021-05-21,5210,Repellents
66,2021-05-22,4925,Repellents
67,2021-05-23,5278,Repellents
68,2021-05-24,5269,Repellents
69,2021-05-25,1209,Repellents
70,2021-05-26,1428,Repellents
71,2021-05-27,2069,Repellents
72,2021-05-28,2237,Repellents
73,2021-05-29,2746,Repellents
74,2021-05-30,2915,Repellents
75,2021-05-31,4930,Repellents
76,2021-06-01,5517,Repellents
77,2021-06-02,6509,Repellents
78,2021-06-03,5812,Repellents
79,2021-06-04,5020,Repellents
80,2021-06-05,5253,Repellents
81,2021-06-06,6913,Repellents
82,2021-06-07,7715,Repellents
83,2021-06-08,7134,Repellents
84,2021-06-09,5902,Repellents
85,2021-06-10,6096,Repellents
86,2021-06-11,6890,Repellents
87,2021-06-12,6723,Repellents
88,2021-06-13,6683,Repellents
89,2021-06-14,6479,Repellents
90,2021-06-15,7021,Repellents
91,2021-06-16,8577,Repellents
92,2021-06-17,7674,Repellents
93,2021-06-18,6912,Repellents
94,2021-06-19,9573,Repellents
95,2021-06-20,9122,Repellents
96,2021-06-21,10315,Repellents
97,2021-06-22,9060,Repellents
98,2021-06-23,10394,Repellents
99,2021-06-24,10656,Repellents
100,2021-06-25,10198,Repellents
101,2021-06-26,9542,Repellents
102,2021-06-27,8283,Repellents
103,2021-06-28,9617,Repellents
104,2021-06-29,5526,Repellents
105,2021-06-30,4664,Repellents
106,2021-07-01,5901,Repellents
107,2021-07-02,7119,Repellents
108,2021-07-03,7974,Repellents
109,2021-07-04,8579,Repellents
110,2021-07-05,8616,Repellents
111,2021-07-06,7710,Repellents
112,2021-07-07,8031,Repellents
113,2021-07-08,8160,Repellents
114,2021-07-09,8817,Repellents
115,2021-07-10,13175,Repellents
116,2021-07-11,10324,Repellents
