,date,value,name_B08NSNCRT5
0,2020-11-30,52481.0,Wall & Tabletop Frames
1,2020-12-01,52481.0,Wall & Tabletop Frames
2,2020-12-02,60002.0,Wall & Tabletop Frames
3,2020-12-03,60002.0,Wall & Tabletop Frames
4,2020-12-04,60002.0,Wall & Tabletop Frames
5,2020-12-05,60002.0,Wall & Tabletop Frames
6,2020-12-06,82987.0,Wall & Tabletop Frames
7,2020-12-07,82987.0,Wall & Tabletop Frames
8,2020-12-08,82987.0,Wall & Tabletop Frames
9,2020-12-09,82987.0,Wall & Tabletop Frames
10,2020-12-10,82987.0,Wall & Tabletop Frames
11,2020-12-11,82987.0,Wall & Tabletop Frames
12,2020-12-12,83818.0,Wall & Tabletop Frames
13,2020-12-13,100649.0,Wall & Tabletop Frames
14,2020-12-14,100649.0,Wall & Tabletop Frames
15,2020-12-15,100649.0,Wall & Tabletop Frames
16,2020-12-16,100649.0,Wall & Tabletop Frames
17,2020-12-17,100649.0,Wall & Tabletop Frames
18,2020-12-18,100649.0,Wall & Tabletop Frames
19,2020-12-19,46397.0,Wall & Tabletop Frames
20,2020-12-20,46397.0,Wall & Tabletop Frames
21,2020-12-21,46397.0,Wall & Tabletop Frames
22,2020-12-22,46397.0,Wall & Tabletop Frames
23,2020-12-23,46397.0,Wall & Tabletop Frames
24,2020-12-24,34867.0,Wall & Tabletop Frames
25,2020-12-25,34867.0,Wall & Tabletop Frames
26,2020-12-26,34867.0,Wall & Tabletop Frames
27,2020-12-27,20312.0,Wall & Tabletop Frames
28,2020-12-28,20312.0,Wall & Tabletop Frames
29,2020-12-29,20312.0,Wall & Tabletop Frames
30,2020-12-30,20312.0,Wall & Tabletop Frames
31,2020-12-31,13862.0,Wall & Tabletop Frames
32,2021-01-01,13862.0,Wall & Tabletop Frames
33,2021-01-02,12530.0,Wall & Tabletop Frames
34,2021-01-03,12530.0,Wall & Tabletop Frames
35,2021-01-04,12530.0,Wall & Tabletop Frames
36,2021-01-05,12530.0,Wall & Tabletop Frames
37,2021-01-06,12530.0,Wall & Tabletop Frames
38,2021-01-07,14727.0,Wall & Tabletop Frames
39,2021-01-08,14727.0,Wall & Tabletop Frames
40,2021-01-09,14727.0,Wall & Tabletop Frames
41,2021-01-10,14727.0,Wall & Tabletop Frames
42,2021-01-11,14727.0,Wall & Tabletop Frames
43,2021-01-12,18237.0,Wall & Tabletop Frames
44,2021-01-13,18237.0,Wall & Tabletop Frames
45,2021-01-14,14283.0,Wall & Tabletop Frames
46,2021-01-15,14283.0,Wall & Tabletop Frames
47,2021-01-16,14283.0,Wall & Tabletop Frames
48,2021-01-17,12522.0,Wall & Tabletop Frames
49,2021-01-18,12522.0,Wall & Tabletop Frames
50,2021-01-19,12522.0,Wall & Tabletop Frames
51,2021-01-20,12522.0,Wall & Tabletop Frames
52,2021-01-21,12522.0,Wall & Tabletop Frames
53,2021-01-22,12522.0,Wall & Tabletop Frames
54,2021-01-23,16065.0,Wall & Tabletop Frames
55,2021-01-24,16065.0,Wall & Tabletop Frames
56,2021-01-25,16065.0,Wall & Tabletop Frames
57,2021-01-26,13097.0,Wall & Tabletop Frames
58,2021-01-27,13097.0,Wall & Tabletop Frames
59,2021-01-28,13097.0,Wall & Tabletop Frames
60,2021-01-29,13097.0,Wall & Tabletop Frames
61,2021-01-30,13097.0,Wall & Tabletop Frames
62,2021-01-31,13097.0,Wall & Tabletop Frames
63,2021-02-01,17082.0,Wall & Tabletop Frames
64,2021-02-02,17082.0,Wall & Tabletop Frames
65,2021-02-03,17082.0,Wall & Tabletop Frames
66,2021-02-04,17082.0,Wall & Tabletop Frames
67,2021-02-05,17082.0,Wall & Tabletop Frames
68,2021-02-06,17082.0,Wall & Tabletop Frames
69,2021-02-07,24104.0,Wall & Tabletop Frames
70,2021-02-08,24104.0,Wall & Tabletop Frames
71,2021-02-09,24104.0,Wall & Tabletop Frames
72,2021-02-10,24104.0,Wall & Tabletop Frames
73,2021-02-11,24104.0,Wall & Tabletop Frames
74,2021-02-12,24104.0,Wall & Tabletop Frames
75,2021-02-13,24104.0,Wall & Tabletop Frames
76,2021-02-14,24104.0,Wall & Tabletop Frames
77,2021-02-15,24104.0,Wall & Tabletop Frames
78,2021-02-16,90662.0,Wall & Tabletop Frames
79,2021-02-17,90662.0,Wall & Tabletop Frames
80,2021-02-18,90662.0,Wall & Tabletop Frames
81,2021-02-19,67701.0,Wall & Tabletop Frames
82,2021-02-20,67701.0,Wall & Tabletop Frames
83,2021-02-21,67701.0,Wall & Tabletop Frames
