,date,value,name_B095YRPTPG
0,2021-05-28,30324.0,Novelty & Gag Toys
1,2021-05-29,30324.0,Novelty & Gag Toys
2,2021-05-30,30324.0,Novelty & Gag Toys
3,2021-05-31,33189.0,Novelty & Gag Toys
4,2021-06-01,38416.0,Novelty & Gag Toys
5,2021-06-02,48202.0,Novelty & Gag Toys
6,2021-06-03,16745.0,Novelty & Gag Toys
7,2021-06-04,16479.0,Novelty & Gag Toys
8,2021-06-05,16479.0,Novelty & Gag Toys
9,2021-06-06,16479.0,Novelty & Gag Toys
10,2021-06-07,16502.0,Novelty & Gag Toys
11,2021-06-08,16502.0,Novelty & Gag Toys
12,2021-06-09,16502.0,Novelty & Gag Toys
13,2021-06-10,20170.0,Novelty & Gag Toys
14,2021-06-11,20170.0,Novelty & Gag Toys
15,2021-06-12,20170.0,Novelty & Gag Toys
16,2021-06-13,20170.0,Novelty & Gag Toys
17,2021-06-14,11199.0,Novelty & Gag Toys
18,2021-06-15,11199.0,Novelty & Gag Toys
19,2021-06-16,7745.0,Novelty & Gag Toys
20,2021-06-17,7745.0,Novelty & Gag Toys
21,2021-06-18,5870.0,Novelty & Gag Toys
22,2021-06-19,8002.0,Novelty & Gag Toys
23,2021-06-20,8002.0,Novelty & Gag Toys
24,2021-06-21,8588.0,Novelty & Gag Toys
25,2021-06-22,10887.0,Novelty & Gag Toys
26,2021-06-23,10710.0,Novelty & Gag Toys
27,2021-06-24,10710.0,Novelty & Gag Toys
28,2021-06-25,8843.0,Novelty & Gag Toys
29,2021-06-26,8843.0,Novelty & Gag Toys
30,2021-06-27,8843.0,Novelty & Gag Toys
31,2021-06-28,6722.0,Novelty & Gag Toys
32,2021-06-29,4700.0,Novelty & Gag Toys
33,2021-06-30,7898.0,Novelty & Gag Toys
34,2021-07-01,7390.0,Novelty & Gag Toys
35,2021-07-02,8146.0,Novelty & Gag Toys
36,2021-07-03,10101.0,Novelty & Gag Toys
37,2021-07-04,10101.0,Novelty & Gag Toys
38,2021-07-05,9197.0,Novelty & Gag Toys
39,2021-07-06,9197.0,Novelty & Gag Toys
40,2021-07-07,9197.0,Novelty & Gag Toys
41,2021-07-08,12325.0,Novelty & Gag Toys
42,2021-07-09,12491.0,Novelty & Gag Toys
