,date,value,name_B01JV2KLTW
0,2020-05-25,4044.0,Supplements & Vitamins
1,2020-05-26,4044.0,Supplements & Vitamins
2,2020-05-27,4044.0,Supplements & Vitamins
3,2020-05-28,3810.0,Supplements & Vitamins
4,2020-05-29,3810.0,Supplements & Vitamins
5,2020-05-30,3810.0,Supplements & Vitamins
6,2020-05-31,3810.0,Supplements & Vitamins
7,2020-06-01,3810.0,Supplements & Vitamins
8,2020-06-02,3731.0,Supplements & Vitamins
9,2020-06-03,3731.0,Supplements & Vitamins
10,2020-06-04,3731.0,Supplements & Vitamins
11,2020-06-05,3615.0,Supplements & Vitamins
12,2020-06-06,3430.0,Supplements & Vitamins
13,2020-06-07,3430.0,Supplements & Vitamins
14,2020-06-08,3430.0,Supplements & Vitamins
15,2020-06-09,3666.0,Supplements & Vitamins
16,2020-06-10,3666.0,Supplements & Vitamins
17,2020-06-11,3666.0,Supplements & Vitamins
18,2020-06-12,3777.0,Supplements & Vitamins
19,2020-06-13,3777.0,Supplements & Vitamins
20,2020-06-14,4179.0,Supplements & Vitamins
21,2020-06-15,4520.0,Supplements & Vitamins
22,2020-06-16,4520.0,Supplements & Vitamins
23,2020-06-17,4520.0,Supplements & Vitamins
24,2020-06-18,3300.0,Supplements & Vitamins
25,2020-06-19,3300.0,Supplements & Vitamins
26,2020-06-20,3112.0,Supplements & Vitamins
27,2020-06-21,4021.0,Supplements & Vitamins
28,2020-06-22,4021.0,Supplements & Vitamins
29,2020-06-23,4021.0,Supplements & Vitamins
30,2020-06-24,3412.0,Supplements & Vitamins
31,2020-06-25,3412.0,Supplements & Vitamins
32,2020-06-26,3412.0,Supplements & Vitamins
33,2020-06-27,3412.0,Supplements & Vitamins
34,2020-06-28,3412.0,Supplements & Vitamins
35,2020-06-29,3866.0,Supplements & Vitamins
36,2020-06-30,3866.0,Supplements & Vitamins
37,2020-07-01,3664.0,Supplements & Vitamins
38,2020-07-02,4371.0,Supplements & Vitamins
