,date,value,name_B08Q4FFJMN
0,2021-01-03,3337.0,Footrests
1,2021-01-04,3337.0,Footrests
2,2021-01-05,3337.0,Footrests
3,2021-01-06,8997.0,Footrests
4,2021-01-07,8997.0,Footrests
5,2021-01-08,8997.0,Footrests
6,2021-01-09,8997.0,Footrests
7,2021-01-10,8997.0,Footrests
8,2021-01-11,8997.0,Footrests
9,2021-01-12,10331.0,Footrests
10,2021-01-13,10331.0,Footrests
11,2021-01-14,10331.0,Footrests
12,2021-01-15,10331.0,Footrests
13,2021-01-16,10331.0,Footrests
14,2021-01-17,22348.0,Footrests
15,2021-01-18,22348.0,Footrests
16,2021-01-19,22348.0,Footrests
17,2021-01-20,22348.0,Footrests
18,2021-01-21,22348.0,Footrests
19,2021-01-22,22348.0,Footrests
20,2021-01-23,13032.0,Footrests
21,2021-01-24,11776.0,Footrests
22,2021-01-25,11776.0,Footrests
23,2021-01-26,11776.0,Footrests
24,2021-01-27,11776.0,Footrests
25,2021-01-28,11776.0,Footrests
26,2021-01-29,14714.0,Footrests
27,2021-01-30,14714.0,Footrests
28,2021-01-31,14714.0,Footrests
29,2021-02-01,14714.0,Footrests
30,2021-02-02,17197.0,Footrests
31,2021-02-03,17197.0,Footrests
32,2021-02-04,17197.0,Footrests
33,2021-02-05,17197.0,Footrests
34,2021-02-06,17197.0,Footrests
35,2021-02-07,8645.0,Footrests
36,2021-02-08,9593.0,Footrests
37,2021-02-09,9593.0,Footrests
38,2021-02-10,9593.0,Footrests
39,2021-02-11,9593.0,Footrests
40,2021-02-12,11101.0,Footrests
41,2021-02-13,11101.0,Footrests
42,2021-02-14,11101.0,Footrests
43,2021-02-15,11101.0,Footrests
44,2021-02-16,11101.0,Footrests
45,2021-02-17,11101.0,Footrests
46,2021-02-18,11305.0,Footrests
47,2021-02-19,11305.0,Footrests
48,2021-02-20,11305.0,Footrests
49,2021-02-21,11305.0,Footrests
50,2021-02-22,11305.0,Footrests
51,2021-02-23,12318.0,Footrests
52,2021-02-24,12318.0,Footrests
53,2021-02-25,19633.0,Footrests
54,2021-02-26,19633.0,Footrests
55,2021-02-27,19633.0,Footrests
56,2021-02-28,19633.0,Footrests
57,2021-03-01,19633.0,Footrests
58,2021-03-02,16738.0,Footrests
59,2021-03-03,16738.0,Footrests
60,2021-03-04,16738.0,Footrests
61,2021-03-05,16738.0,Footrests
62,2021-03-06,16738.0,Footrests
63,2021-03-07,16738.0,Footrests
64,2021-03-08,16738.0,Footrests
65,2021-03-09,26225.0,Footrests
66,2021-03-10,26225.0,Footrests
67,2021-03-11,26225.0,Footrests
68,2021-03-12,26225.0,Footrests
69,2021-03-13,26225.0,Footrests
70,2021-03-14,27623.0,Footrests
71,2021-03-15,27623.0,Footrests
72,2021-03-16,27623.0,Footrests
73,2021-03-17,27623.0,Footrests
74,2021-03-18,27623.0,Footrests
75,2021-03-19,27623.0,Footrests
76,2021-03-20,13438.0,Footrests
77,2021-03-21,13438.0,Footrests
78,2021-03-22,13438.0,Footrests
79,2021-03-23,13438.0,Footrests
80,2021-03-24,30029.0,Footrests
81,2021-03-25,30029.0,Footrests
82,2021-03-26,30029.0,Footrests
83,2021-03-27,30029.0,Footrests
84,2021-03-28,30029.0,Footrests
85,2021-03-29,30029.0,Footrests
86,2021-03-30,30029.0,Footrests
87,2021-03-31,26639.0,Footrests
88,2021-04-01,26639.0,Footrests
89,2021-04-02,26639.0,Footrests
90,2021-04-03,26639.0,Footrests
91,2021-04-04,26639.0,Footrests
92,2021-04-05,26639.0,Footrests
93,2021-04-06,26639.0,Footrests
94,2021-04-07,26639.0,Footrests
95,2021-04-08,26639.0,Footrests
96,2021-04-09,66051.0,Footrests
97,2021-04-10,66051.0,Footrests
98,2021-04-11,46142.0,Footrests
99,2021-04-12,46142.0,Footrests
100,2021-04-13,46142.0,Footrests
