,date,value,name_B08MWXLPKK
0,2020-11-19,18846.0,Pool Hoses
1,2020-11-20,18846.0,Pool Hoses
2,2020-11-21,18846.0,Pool Hoses
3,2020-11-22,18846.0,Pool Hoses
4,2020-11-23,13935.0,Pool Hoses
5,2020-11-24,13935.0,Pool Hoses
6,2020-11-25,13935.0,Pool Hoses
7,2020-11-26,13935.0,Pool Hoses
8,2020-11-27,13935.0,Pool Hoses
9,2020-11-28,13935.0,Pool Hoses
10,2020-11-29,22682.0,Pool Hoses
11,2020-11-30,22682.0,Pool Hoses
12,2020-12-01,22682.0,Pool Hoses
13,2020-12-02,17331.0,Pool Hoses
14,2020-12-03,17331.0,Pool Hoses
15,2020-12-04,17331.0,Pool Hoses
16,2020-12-05,17331.0,Pool Hoses
17,2020-12-06,17331.0,Pool Hoses
18,2020-12-07,17331.0,Pool Hoses
19,2020-12-08,17331.0,Pool Hoses
20,2020-12-09,13085.0,Pool Hoses
21,2020-12-10,13085.0,Pool Hoses
22,2020-12-11,13085.0,Pool Hoses
23,2020-12-12,13085.0,Pool Hoses
24,2020-12-13,13085.0,Pool Hoses
25,2020-12-14,13085.0,Pool Hoses
26,2020-12-15,18379.0,Pool Hoses
27,2020-12-16,18379.0,Pool Hoses
28,2020-12-17,18379.0,Pool Hoses
29,2020-12-18,22492.0,Pool Hoses
30,2020-12-19,22492.0,Pool Hoses
31,2020-12-20,22492.0,Pool Hoses
32,2020-12-21,22492.0,Pool Hoses
33,2020-12-22,22492.0,Pool Hoses
34,2020-12-23,11834.0,Pool Hoses
35,2020-12-24,11834.0,Pool Hoses
36,2020-12-25,11834.0,Pool Hoses
37,2020-12-26,11834.0,Pool Hoses
38,2020-12-27,11834.0,Pool Hoses
39,2020-12-28,11834.0,Pool Hoses
40,2020-12-29,10059.0,Pool Hoses
41,2020-12-30,10059.0,Pool Hoses
42,2020-12-31,20716.0,Pool Hoses
43,2021-01-01,20716.0,Pool Hoses
44,2021-01-02,20716.0,Pool Hoses
45,2021-01-03,20716.0,Pool Hoses
46,2021-01-04,20716.0,Pool Hoses
47,2021-01-05,20765.0,Pool Hoses
48,2021-01-06,20765.0,Pool Hoses
49,2021-01-07,20765.0,Pool Hoses
50,2021-01-08,13669.0,Pool Hoses
51,2021-01-09,13669.0,Pool Hoses
52,2021-01-10,13669.0,Pool Hoses
53,2021-01-11,17746.0,Pool Hoses
54,2021-01-12,17746.0,Pool Hoses
55,2021-01-13,17746.0,Pool Hoses
56,2021-01-14,17746.0,Pool Hoses
57,2021-01-15,17746.0,Pool Hoses
58,2021-01-16,17746.0,Pool Hoses
59,2021-01-17,17746.0,Pool Hoses
60,2021-01-18,17746.0,Pool Hoses
61,2021-01-19,17746.0,Pool Hoses
62,2021-01-20,13849.0,Pool Hoses
63,2021-01-21,13849.0,Pool Hoses
64,2021-01-22,13849.0,Pool Hoses
65,2021-01-23,13849.0,Pool Hoses
66,2021-01-24,13849.0,Pool Hoses
67,2021-01-25,13989.0,Pool Hoses
68,2021-01-26,13989.0,Pool Hoses
69,2021-01-27,13989.0,Pool Hoses
70,2021-01-28,13989.0,Pool Hoses
71,2021-01-29,20066.0,Pool Hoses
72,2021-01-30,20066.0,Pool Hoses
73,2021-01-31,20066.0,Pool Hoses
74,2021-02-01,20066.0,Pool Hoses
75,2021-02-02,20066.0,Pool Hoses
76,2021-02-03,20066.0,Pool Hoses
77,2021-02-04,20066.0,Pool Hoses
78,2021-02-05,12043.0,Pool Hoses
79,2021-02-06,12043.0,Pool Hoses
80,2021-02-07,12043.0,Pool Hoses
81,2021-02-08,12043.0,Pool Hoses
82,2021-02-09,9360.0,Pool Hoses
83,2021-02-10,14169.0,Pool Hoses
84,2021-02-11,14169.0,Pool Hoses
85,2021-02-12,14169.0,Pool Hoses
86,2021-02-13,14169.0,Pool Hoses
87,2021-02-14,16540.0,Pool Hoses
88,2021-02-15,16540.0,Pool Hoses
89,2021-02-16,16540.0,Pool Hoses
90,2021-02-17,16540.0,Pool Hoses
91,2021-02-18,19446.0,Pool Hoses
92,2021-02-19,19446.0,Pool Hoses
93,2021-02-20,19446.0,Pool Hoses
94,2021-02-21,12217.0,Pool Hoses
95,2021-02-22,12217.0,Pool Hoses
96,2021-02-23,12217.0,Pool Hoses
97,2021-02-24,12217.0,Pool Hoses
98,2021-02-25,13347.0,Pool Hoses
99,2021-02-26,13347.0,Pool Hoses
100,2021-02-27,13347.0,Pool Hoses
101,2021-02-28,13347.0,Pool Hoses
102,2021-03-01,13347.0,Pool Hoses
103,2021-03-02,13199.0,Pool Hoses
104,2021-03-03,9515.0,Pool Hoses
105,2021-03-04,9515.0,Pool Hoses
106,2021-03-05,9515.0,Pool Hoses
107,2021-03-06,9515.0,Pool Hoses
108,2021-03-07,9515.0,Pool Hoses
109,2021-03-08,9515.0,Pool Hoses
110,2021-03-09,19763.0,Pool Hoses
111,2021-03-10,19763.0,Pool Hoses
112,2021-03-11,19763.0,Pool Hoses
113,2021-03-12,19763.0,Pool Hoses
114,2021-03-13,19763.0,Pool Hoses
115,2021-03-14,19763.0,Pool Hoses
116,2021-03-15,15619.0,Pool Hoses
117,2021-03-16,15619.0,Pool Hoses
118,2021-03-17,15619.0,Pool Hoses
119,2021-03-18,16623.0,Pool Hoses
120,2021-03-19,16623.0,Pool Hoses
121,2021-03-20,16623.0,Pool Hoses
122,2021-03-21,16623.0,Pool Hoses
123,2021-03-22,16623.0,Pool Hoses
124,2021-03-23,19963.0,Pool Hoses
125,2021-03-24,19963.0,Pool Hoses
126,2021-03-25,12782.0,Pool Hoses
127,2021-03-26,12782.0,Pool Hoses
128,2021-03-27,12782.0,Pool Hoses
129,2021-03-28,12782.0,Pool Hoses
130,2021-03-29,14079.0,Pool Hoses
131,2021-03-30,14079.0,Pool Hoses
132,2021-03-31,13303.0,Pool Hoses
133,2021-04-01,13303.0,Pool Hoses
134,2021-04-02,13303.0,Pool Hoses
135,2021-04-03,13303.0,Pool Hoses
136,2021-04-04,15332.0,Pool Hoses
137,2021-04-05,13418.0,Pool Hoses
138,2021-04-06,13418.0,Pool Hoses
139,2021-04-07,15334.0,Pool Hoses
140,2021-04-08,15334.0,Pool Hoses
141,2021-04-09,15334.0,Pool Hoses
142,2021-04-10,15334.0,Pool Hoses
143,2021-04-11,15334.0,Pool Hoses
144,2021-04-12,11288.0,Pool Hoses
145,2021-04-13,11288.0,Pool Hoses
146,2021-04-14,12889.0,Pool Hoses
147,2021-04-15,12889.0,Pool Hoses
148,2021-04-16,12889.0,Pool Hoses
149,2021-04-17,9733.0,Pool Hoses
150,2021-04-18,9733.0,Pool Hoses
151,2021-04-19,9733.0,Pool Hoses
152,2021-04-20,12015.0,Pool Hoses
153,2021-04-21,12015.0,Pool Hoses
154,2021-04-22,12015.0,Pool Hoses
155,2021-04-23,12015.0,Pool Hoses
156,2021-04-24,12015.0,Pool Hoses
157,2021-04-25,12015.0,Pool Hoses
158,2021-04-26,12015.0,Pool Hoses
159,2021-04-27,12015.0,Pool Hoses
160,2021-04-28,11087.0,Pool Hoses
161,2021-04-29,11087.0,Pool Hoses
162,2021-04-30,11087.0,Pool Hoses
163,2021-05-01,11087.0,Pool Hoses
164,2021-05-02,8876.0,Pool Hoses
165,2021-05-03,8876.0,Pool Hoses
166,2021-05-04,14480.0,Pool Hoses
167,2021-05-05,14480.0,Pool Hoses
168,2021-05-06,8864.0,Pool Hoses
169,2021-05-07,8879.0,Pool Hoses
170,2021-05-08,8879.0,Pool Hoses
171,2021-05-09,9894.0,Pool Hoses
172,2021-05-10,9746.0,Pool Hoses
173,2021-05-11,9746.0,Pool Hoses
174,2021-05-12,11697.0,Pool Hoses
175,2021-05-13,11697.0,Pool Hoses
176,2021-05-14,10246.0,Pool Hoses
