,date,value,name_B07PBPHB48
167,2020-11-09,2714.0,Pencils
168,2020-11-10,2729.0,Pencils
169,2020-11-11,2729.0,Pencils
170,2020-11-12,2729.0,Pencils
171,2020-11-13,4114.0,Pencils
172,2020-11-14,927.0,Pencils
173,2020-11-15,927.0,Pencils
174,2020-11-16,927.0,Pencils
175,2020-11-17,2341.0,Pencils
176,2020-11-18,2341.0,Pencils
177,2020-11-19,2622.0,Pencils
178,2020-11-20,2622.0,Pencils
179,2020-11-21,2622.0,Pencils
180,2020-11-22,2622.0,Pencils
181,2020-11-23,1683.0,Pencils
182,2020-11-24,1683.0,Pencils
183,2020-11-25,1683.0,Pencils
184,2020-11-26,1929.0,Pencils
185,2020-11-27,1929.0,Pencils
186,2020-11-28,1929.0,Pencils
187,2020-11-29,2526.0,Pencils
188,2020-11-30,2341.0,Pencils
189,2020-12-01,2341.0,Pencils
190,2020-12-02,2341.0,Pencils
191,2020-12-03,635.0,Pencils
192,2020-12-04,635.0,Pencils
193,2020-12-05,635.0,Pencils
194,2020-12-06,1629.0,Pencils
195,2020-12-07,1629.0,Pencils
196,2020-12-08,4110.0,Pencils
197,2020-12-09,4110.0,Pencils
198,2020-12-10,4110.0,Pencils
199,2020-12-11,813.0,Pencils
200,2020-12-12,667.0,Pencils
201,2020-12-13,463.0,Pencils
202,2020-12-14,636.0,Pencils
203,2020-12-15,649.0,Pencils
204,2020-12-16,649.0,Pencils
205,2020-12-17,377.0,Pencils
206,2020-12-18,377.0,Pencils
207,2020-12-19,377.0,Pencils
208,2020-12-20,333.0,Pencils
209,2020-12-21,296.0,Pencils
210,2020-12-22,296.0,Pencils
211,2020-12-23,296.0,Pencils
212,2020-12-24,486.0,Pencils
213,2020-12-25,486.0,Pencils
214,2020-12-26,540.0,Pencils
215,2020-12-27,540.0,Pencils
216,2020-12-28,540.0,Pencils
217,2020-12-29,969.0,Pencils
218,2020-12-30,969.0,Pencils
219,2020-12-31,996.0,Pencils
220,2021-01-01,996.0,Pencils
221,2021-01-02,710.0,Pencils
222,2021-01-03,862.0,Pencils
223,2021-01-04,862.0,Pencils
224,2021-01-05,918.0,Pencils
225,2021-01-06,918.0,Pencils
226,2021-01-07,918.0,Pencils
227,2021-01-08,958.0,Pencils
228,2021-01-09,958.0,Pencils
229,2021-01-10,958.0,Pencils
230,2021-01-11,988.0,Pencils
231,2021-01-12,1391.0,Pencils
232,2021-01-13,1391.0,Pencils
233,2021-01-14,1391.0,Pencils
234,2021-01-15,1177.0,Pencils
235,2021-01-16,1177.0,Pencils
236,2021-01-17,1027.0,Pencils
237,2021-01-18,1027.0,Pencils
238,2021-01-19,757.0,Pencils
239,2021-01-20,757.0,Pencils
240,2021-01-21,492.0,Pencils
241,2021-01-22,367.0,Pencils
242,2021-01-23,367.0,Pencils
243,2021-01-24,367.0,Pencils
244,2021-01-25,330.0,Pencils
245,2021-01-26,771.0,Pencils
246,2021-01-27,780.0,Pencils
247,2021-01-28,887.0,Pencils
248,2021-01-29,852.0,Pencils
249,2021-01-30,852.0,Pencils
250,2021-01-31,795.0,Pencils
251,2021-02-01,846.0,Pencils
