,date,value,name_B07W5YTF1F
0,2019-08-12,15445.0,Reusable Grocery Bags
1,2019-08-13,10332.0,Reusable Grocery Bags
2,2019-08-14,7002.0,Reusable Grocery Bags
3,2019-08-15,5344.0,Reusable Grocery Bags
4,2019-08-16,5828.0,Reusable Grocery Bags
5,2019-08-17,6013.0,Reusable Grocery Bags
6,2019-08-18,7411.0,Reusable Grocery Bags
7,2019-08-19,5925.0,Reusable Grocery Bags
8,2019-08-20,5219.0,Reusable Grocery Bags
9,2019-08-21,6253.0,Reusable Grocery Bags
10,2019-08-22,4858.0,Reusable Grocery Bags
11,2019-08-23,4162.0,Reusable Grocery Bags
12,2019-08-24,3288.0,Reusable Grocery Bags
13,2019-08-25,3323.0,Reusable Grocery Bags
14,2019-08-26,3529.0,Reusable Grocery Bags
15,2019-08-27,3638.0,Reusable Grocery Bags
16,2019-08-28,1430.0,Reusable Grocery Bags
17,2019-08-29,2218.0,Reusable Grocery Bags
18,2019-08-30,2471.0,Reusable Grocery Bags
19,2019-08-31,2727.0,Reusable Grocery Bags
20,2019-09-01,3100.0,Reusable Grocery Bags
21,2019-09-02,2763.0,Reusable Grocery Bags
22,2019-09-03,2949.0,Reusable Grocery Bags
23,2019-09-04,1324.0,Reusable Grocery Bags
24,2019-09-05,2274.0,Reusable Grocery Bags
25,2019-09-06,3257.0,Reusable Grocery Bags
26,2019-09-07,4803.0,Reusable Grocery Bags
27,2019-09-08,6946.0,Reusable Grocery Bags
28,2019-09-09,6946.0,Reusable Grocery Bags
29,2019-09-10,6946.0,Reusable Grocery Bags
30,2019-09-11,7045.0,Reusable Grocery Bags
31,2019-09-12,8070.0,Reusable Grocery Bags
32,2019-09-13,8070.0,Reusable Grocery Bags
33,2019-09-14,8070.0,Reusable Grocery Bags
34,2019-09-15,6347.0,Reusable Grocery Bags
35,2019-09-16,5529.0,Reusable Grocery Bags
36,2019-09-17,5824.0,Reusable Grocery Bags
37,2019-09-18,8490.0,Reusable Grocery Bags
38,2019-09-19,7368.0,Reusable Grocery Bags
39,2019-09-20,5765.0,Reusable Grocery Bags
40,2019-09-21,3728.0,Reusable Grocery Bags
41,2019-09-22,3089.0,Reusable Grocery Bags
42,2019-09-23,4515.0,Reusable Grocery Bags
43,2019-09-24,4527.0,Reusable Grocery Bags
44,2019-09-25,5011.0,Reusable Grocery Bags
45,2019-09-26,4964.0,Reusable Grocery Bags
46,2019-09-27,4860.0,Reusable Grocery Bags
47,2019-09-28,4266.0,Reusable Grocery Bags
48,2019-09-29,5364.0,Reusable Grocery Bags
49,2019-09-30,5364.0,Reusable Grocery Bags
50,2019-10-01,5364.0,Reusable Grocery Bags
51,2019-10-02,7251.0,Reusable Grocery Bags
52,2019-10-03,6210.0,Reusable Grocery Bags
53,2019-10-04,5299.0,Reusable Grocery Bags
54,2019-10-05,5299.0,Reusable Grocery Bags
55,2019-10-06,6675.0,Reusable Grocery Bags
56,2019-10-07,6675.0,Reusable Grocery Bags
57,2019-10-08,6675.0,Reusable Grocery Bags
58,2019-10-09,3708.0,Reusable Grocery Bags
59,2019-10-10,7108.0,Reusable Grocery Bags
60,2019-10-11,7108.0,Reusable Grocery Bags
