,date,value,name_B07K9GTWWX
0,2020-05-25,9081.0,Humidors
1,2020-05-26,11174.0,Humidors
2,2020-05-27,11174.0,Humidors
3,2020-05-28,6835.0,Humidors
4,2020-05-29,6835.0,Humidors
5,2020-05-30,12633.0,Humidors
6,2020-05-31,12633.0,Humidors
7,2020-06-01,17513.0,Humidors
8,2020-06-02,17513.0,Humidors
9,2020-06-03,17513.0,Humidors
10,2020-06-04,21021.0,Humidors
11,2020-06-05,21021.0,Humidors
12,2020-06-06,21021.0,Humidors
13,2020-06-07,21021.0,Humidors
14,2020-06-08,21021.0,Humidors
15,2020-06-09,16507.0,Humidors
16,2020-06-10,16507.0,Humidors
17,2020-06-11,17253.0,Humidors
18,2020-06-12,17253.0,Humidors
19,2020-06-13,17253.0,Humidors
20,2020-06-14,9591.0,Humidors
21,2020-06-15,7420.0,Humidors
22,2020-06-16,7420.0,Humidors
23,2020-06-17,7420.0,Humidors
24,2020-06-18,7420.0,Humidors
25,2020-06-19,15647.0,Humidors
26,2020-06-20,15647.0,Humidors
27,2020-06-21,21544.0,Humidors
28,2020-06-22,21544.0,Humidors
29,2020-06-23,21544.0,Humidors
30,2020-06-24,28920.0,Humidors
31,2020-06-25,28920.0,Humidors
32,2020-06-26,28920.0,Humidors
33,2020-06-27,27378.0,Humidors
34,2020-06-28,30973.0,Humidors
35,2020-06-29,30973.0,Humidors
36,2020-06-30,32258.0,Humidors
37,2020-07-01,32258.0,Humidors
38,2020-07-02,32258.0,Humidors
39,2020-07-03,32258.0,Humidors
40,2020-07-04,32258.0,Humidors
41,2020-07-05,36216.0,Humidors
42,2020-07-06,36216.0,Humidors
43,2020-07-07,36216.0,Humidors
44,2020-07-08,36216.0,Humidors
45,2020-07-09,36216.0,Humidors
46,2020-07-10,14510.0,Humidors
47,2020-07-11,11937.0,Humidors
48,2020-07-12,11348.0,Humidors
49,2020-07-13,11521.0,Humidors
50,2020-07-14,11521.0,Humidors
51,2020-07-15,11521.0,Humidors
52,2020-07-16,10568.0,Humidors
53,2020-07-17,10568.0,Humidors
54,2020-07-18,7442.0,Humidors
55,2020-07-19,5419.0,Humidors
56,2020-07-20,4776.0,Humidors
57,2020-07-21,5262.0,Humidors
58,2020-07-22,5231.0,Humidors
59,2020-07-23,6241.0,Humidors
60,2020-07-24,6261.0,Humidors
61,2020-07-25,7790.0,Humidors
62,2020-07-26,9551.0,Humidors
63,2020-07-27,9551.0,Humidors
64,2020-07-28,9335.0,Humidors
65,2020-07-29,9335.0,Humidors
66,2020-07-30,9335.0,Humidors
67,2020-07-31,9129.0,Humidors
68,2020-08-01,9218.0,Humidors
69,2020-08-02,9218.0,Humidors
70,2020-08-03,9218.0,Humidors
71,2020-08-04,10578.0,Humidors
