,date,value,name_B08W1YZJ1L
0,2021-02-22,266368.0,Underground Sprinkler Systems
1,2021-02-23,266368.0,Underground Sprinkler Systems
2,2021-02-24,266368.0,Underground Sprinkler Systems
3,2021-02-25,266368.0,Underground Sprinkler Systems
4,2021-02-26,283436.0,Underground Sprinkler Systems
5,2021-02-27,283436.0,Underground Sprinkler Systems
6,2021-02-28,283436.0,Underground Sprinkler Systems
7,2021-03-01,283436.0,Underground Sprinkler Systems
8,2021-03-02,283436.0,Underground Sprinkler Systems
9,2021-03-03,283436.0,Underground Sprinkler Systems
10,2021-03-04,283436.0,Underground Sprinkler Systems
11,2021-03-05,283436.0,Underground Sprinkler Systems
12,2021-03-06,283436.0,Underground Sprinkler Systems
13,2021-03-07,4377.0,Underground Sprinkler Systems
14,2021-03-08,4377.0,Underground Sprinkler Systems
15,2021-03-09,4377.0,Underground Sprinkler Systems
16,2021-03-10,4303.0,Underground Sprinkler Systems
17,2021-03-11,4303.0,Underground Sprinkler Systems
18,2021-03-12,4303.0,Underground Sprinkler Systems
19,2021-03-13,11001.0,Underground Sprinkler Systems
20,2021-03-14,11001.0,Underground Sprinkler Systems
21,2021-03-15,11001.0,Underground Sprinkler Systems
22,2021-03-16,7758.0,Underground Sprinkler Systems
23,2021-03-17,7758.0,Underground Sprinkler Systems
24,2021-03-18,7758.0,Underground Sprinkler Systems
25,2021-03-19,10883.0,Underground Sprinkler Systems
26,2021-03-20,10883.0,Underground Sprinkler Systems
27,2021-03-21,10883.0,Underground Sprinkler Systems
28,2021-03-22,10883.0,Underground Sprinkler Systems
29,2021-03-23,5748.0,Underground Sprinkler Systems
30,2021-03-24,5748.0,Underground Sprinkler Systems
31,2021-03-25,8046.0,Underground Sprinkler Systems
32,2021-03-26,8046.0,Underground Sprinkler Systems
33,2021-03-27,6856.0,Underground Sprinkler Systems
34,2021-03-28,6856.0,Underground Sprinkler Systems
35,2021-03-29,6856.0,Underground Sprinkler Systems
36,2021-03-30,4213.0,Underground Sprinkler Systems
37,2021-03-31,4213.0,Underground Sprinkler Systems
38,2021-04-01,4213.0,Underground Sprinkler Systems
39,2021-04-02,5364.0,Underground Sprinkler Systems
40,2021-04-03,3660.0,Underground Sprinkler Systems
41,2021-04-04,3336.0,Underground Sprinkler Systems
42,2021-04-05,3336.0,Underground Sprinkler Systems
43,2021-04-06,3336.0,Underground Sprinkler Systems
44,2021-04-07,2924.0,Underground Sprinkler Systems
45,2021-04-08,2924.0,Underground Sprinkler Systems
46,2021-04-09,4861.0,Underground Sprinkler Systems
47,2021-04-10,4861.0,Underground Sprinkler Systems
48,2021-04-11,4861.0,Underground Sprinkler Systems
49,2021-04-12,4779.0,Underground Sprinkler Systems
50,2021-04-13,4779.0,Underground Sprinkler Systems
51,2021-04-14,4628.0,Underground Sprinkler Systems
52,2021-04-15,4628.0,Underground Sprinkler Systems
53,2021-04-16,4628.0,Underground Sprinkler Systems
54,2021-04-17,3506.0,Underground Sprinkler Systems
55,2021-04-18,3506.0,Underground Sprinkler Systems
56,2021-04-19,4522.0,Underground Sprinkler Systems
57,2021-04-20,4522.0,Underground Sprinkler Systems
58,2021-04-21,4522.0,Underground Sprinkler Systems
59,2021-04-22,2980.0,Underground Sprinkler Systems
60,2021-04-23,2980.0,Underground Sprinkler Systems
61,2021-04-24,4310.0,Underground Sprinkler Systems
62,2021-04-25,4310.0,Underground Sprinkler Systems
63,2021-04-26,4310.0,Underground Sprinkler Systems
64,2021-04-27,6009.0,Underground Sprinkler Systems
65,2021-04-28,6009.0,Underground Sprinkler Systems
66,2021-04-29,7468.0,Underground Sprinkler Systems
67,2021-04-30,7468.0,Underground Sprinkler Systems
68,2021-05-01,7468.0,Underground Sprinkler Systems
69,2021-05-02,7468.0,Underground Sprinkler Systems
70,2021-05-03,4883.0,Underground Sprinkler Systems
71,2021-05-04,4883.0,Underground Sprinkler Systems
72,2021-05-05,6018.0,Underground Sprinkler Systems
73,2021-05-06,5864.0,Underground Sprinkler Systems
74,2021-05-07,5864.0,Underground Sprinkler Systems
75,2021-05-08,4865.0,Underground Sprinkler Systems
76,2021-05-09,4865.0,Underground Sprinkler Systems
77,2021-05-10,4355.0,Underground Sprinkler Systems
78,2021-05-11,4355.0,Underground Sprinkler Systems
79,2021-05-12,5149.0,Underground Sprinkler Systems
80,2021-05-13,5149.0,Underground Sprinkler Systems
81,2021-05-14,5136.0,Underground Sprinkler Systems
82,2021-05-15,5136.0,Underground Sprinkler Systems
83,2021-05-16,6189.0,Underground Sprinkler Systems
84,2021-05-17,6189.0,Underground Sprinkler Systems
85,2021-05-18,5358.0,Underground Sprinkler Systems
86,2021-05-19,5718.0,Underground Sprinkler Systems
87,2021-05-20,5718.0,Underground Sprinkler Systems
88,2021-05-21,5718.0,Underground Sprinkler Systems
89,2021-05-22,5718.0,Underground Sprinkler Systems
90,2021-05-23,5718.0,Underground Sprinkler Systems
91,2021-05-24,6774.0,Underground Sprinkler Systems
92,2021-05-25,7317.0,Underground Sprinkler Systems
93,2021-05-26,7317.0,Underground Sprinkler Systems
94,2021-05-27,6708.0,Underground Sprinkler Systems
95,2021-05-28,6174.0,Underground Sprinkler Systems
96,2021-05-29,6174.0,Underground Sprinkler Systems
97,2021-05-30,6174.0,Underground Sprinkler Systems
98,2021-05-31,8200.0,Underground Sprinkler Systems
99,2021-06-01,5887.0,Underground Sprinkler Systems
100,2021-06-02,5887.0,Underground Sprinkler Systems
101,2021-06-03,5456.0,Underground Sprinkler Systems
102,2021-06-04,5456.0,Underground Sprinkler Systems
103,2021-06-05,10256.0,Underground Sprinkler Systems
104,2021-06-06,6406.0,Underground Sprinkler Systems
105,2021-06-07,5514.0,Underground Sprinkler Systems
106,2021-06-08,5514.0,Underground Sprinkler Systems
107,2021-06-09,7435.0,Underground Sprinkler Systems
108,2021-06-10,7435.0,Underground Sprinkler Systems
109,2021-06-11,7698.0,Underground Sprinkler Systems
110,2021-06-12,7698.0,Underground Sprinkler Systems
111,2021-06-13,8815.0,Underground Sprinkler Systems
112,2021-06-14,8815.0,Underground Sprinkler Systems
113,2021-06-15,8815.0,Underground Sprinkler Systems
114,2021-06-16,6929.0,Underground Sprinkler Systems
115,2021-06-17,8028.0,Underground Sprinkler Systems
116,2021-06-18,8028.0,Underground Sprinkler Systems
117,2021-06-19,7627.0,Underground Sprinkler Systems
118,2021-06-20,8222.0,Underground Sprinkler Systems
119,2021-06-21,8222.0,Underground Sprinkler Systems
120,2021-06-22,8222.0,Underground Sprinkler Systems
121,2021-06-23,8222.0,Underground Sprinkler Systems
122,2021-06-24,7597.0,Underground Sprinkler Systems
123,2021-06-25,7597.0,Underground Sprinkler Systems
124,2021-06-26,6868.0,Underground Sprinkler Systems
125,2021-06-27,5919.0,Underground Sprinkler Systems
126,2021-06-28,6863.0,Underground Sprinkler Systems
127,2021-06-29,6863.0,Underground Sprinkler Systems
128,2021-06-30,8089.0,Underground Sprinkler Systems
129,2021-07-01,8089.0,Underground Sprinkler Systems
130,2021-07-02,6453.0,Underground Sprinkler Systems
131,2021-07-03,6525.0,Underground Sprinkler Systems
132,2021-07-04,6525.0,Underground Sprinkler Systems
133,2021-07-05,8752.0,Underground Sprinkler Systems
134,2021-07-06,6000.0,Underground Sprinkler Systems
135,2021-07-07,6000.0,Underground Sprinkler Systems
136,2021-07-08,6000.0,Underground Sprinkler Systems
137,2021-07-09,119184.0,Underground Sprinkler Systems
138,2021-07-10,119184.0,Underground Sprinkler Systems
139,2021-07-11,65078.0,Underground Sprinkler Systems
