,date,value,name_B08QGXR9SS
0,2021-02-05,7810.0,Flagpole Hardware
1,2021-02-06,7810.0,Flagpole Hardware
2,2021-02-07,7815.0,Flagpole Hardware
3,2021-02-08,7815.0,Flagpole Hardware
4,2021-02-09,7815.0,Flagpole Hardware
5,2021-02-10,7815.0,Flagpole Hardware
6,2021-02-11,7815.0,Flagpole Hardware
7,2021-02-12,28025.0,Flagpole Hardware
8,2021-02-13,28025.0,Flagpole Hardware
9,2021-02-14,28025.0,Flagpole Hardware
10,2021-02-15,28025.0,Flagpole Hardware
11,2021-02-16,11963.0,Flagpole Hardware
12,2021-02-17,11963.0,Flagpole Hardware
13,2021-02-18,11519.0,Flagpole Hardware
14,2021-02-19,27029.0,Flagpole Hardware
15,2021-02-20,27029.0,Flagpole Hardware
16,2021-02-21,27029.0,Flagpole Hardware
17,2021-02-22,27029.0,Flagpole Hardware
18,2021-02-23,27029.0,Flagpole Hardware
19,2021-02-24,27029.0,Flagpole Hardware
20,2021-02-25,118121.0,Flagpole Hardware
21,2021-02-26,118121.0,Flagpole Hardware
22,2021-02-27,118121.0,Flagpole Hardware
23,2021-02-28,118121.0,Flagpole Hardware
24,2021-03-01,118121.0,Flagpole Hardware
25,2021-03-02,118121.0,Flagpole Hardware
26,2021-03-03,156925.0,Flagpole Hardware
27,2021-03-04,156925.0,Flagpole Hardware
28,2021-03-05,156925.0,Flagpole Hardware
29,2021-03-06,156925.0,Flagpole Hardware
30,2021-03-07,156925.0,Flagpole Hardware
31,2021-03-08,157649.0,Flagpole Hardware
32,2021-03-09,110100.0,Flagpole Hardware
33,2021-03-10,30299.0,Flagpole Hardware
34,2021-03-11,30299.0,Flagpole Hardware
35,2021-03-12,30299.0,Flagpole Hardware
36,2021-03-13,59774.0,Flagpole Hardware
37,2021-03-14,59774.0,Flagpole Hardware
38,2021-03-15,27019.0,Flagpole Hardware
39,2021-03-16,27019.0,Flagpole Hardware
40,2021-03-17,41006.0,Flagpole Hardware
41,2021-03-18,41006.0,Flagpole Hardware
42,2021-03-19,41006.0,Flagpole Hardware
43,2021-03-20,8521.0,Flagpole Hardware
44,2021-03-21,8521.0,Flagpole Hardware
45,2021-03-22,8521.0,Flagpole Hardware
46,2021-03-23,10884.0,Flagpole Hardware
47,2021-03-24,10884.0,Flagpole Hardware
48,2021-03-25,10884.0,Flagpole Hardware
49,2021-03-26,13619.0,Flagpole Hardware
50,2021-03-27,13619.0,Flagpole Hardware
51,2021-03-28,7239.0,Flagpole Hardware
52,2021-03-29,7239.0,Flagpole Hardware
53,2021-03-30,7239.0,Flagpole Hardware
54,2021-03-31,4975.0,Flagpole Hardware
55,2021-04-01,4975.0,Flagpole Hardware
56,2021-04-02,4975.0,Flagpole Hardware
57,2021-04-03,4975.0,Flagpole Hardware
58,2021-04-04,4975.0,Flagpole Hardware
59,2021-04-05,6177.0,Flagpole Hardware
60,2021-04-06,6177.0,Flagpole Hardware
61,2021-04-07,6177.0,Flagpole Hardware
62,2021-04-08,6177.0,Flagpole Hardware
63,2021-04-09,9845.0,Flagpole Hardware
64,2021-04-10,9845.0,Flagpole Hardware
65,2021-04-11,9845.0,Flagpole Hardware
66,2021-04-12,18629.0,Flagpole Hardware
67,2021-04-13,18629.0,Flagpole Hardware
68,2021-04-14,8690.0,Flagpole Hardware
69,2021-04-15,8690.0,Flagpole Hardware
70,2021-04-16,8690.0,Flagpole Hardware
71,2021-04-17,10881.0,Flagpole Hardware
72,2021-04-18,10881.0,Flagpole Hardware
73,2021-04-19,10881.0,Flagpole Hardware
74,2021-04-20,7860.0,Flagpole Hardware
75,2021-04-21,7860.0,Flagpole Hardware
76,2021-04-22,4296.0,Flagpole Hardware
77,2021-04-23,4296.0,Flagpole Hardware
78,2021-04-24,3742.0,Flagpole Hardware
79,2021-04-25,3742.0,Flagpole Hardware
80,2021-04-26,3742.0,Flagpole Hardware
81,2021-04-27,3935.0,Flagpole Hardware
82,2021-04-28,3935.0,Flagpole Hardware
83,2021-04-29,3935.0,Flagpole Hardware
84,2021-04-30,5749.0,Flagpole Hardware
85,2021-05-01,5749.0,Flagpole Hardware
86,2021-05-02,5749.0,Flagpole Hardware
87,2021-05-03,5116.0,Flagpole Hardware
88,2021-05-04,5116.0,Flagpole Hardware
89,2021-05-05,5116.0,Flagpole Hardware
90,2021-05-06,8293.0,Flagpole Hardware
91,2021-05-07,8293.0,Flagpole Hardware
92,2021-05-08,8293.0,Flagpole Hardware
93,2021-05-09,6524.0,Flagpole Hardware
94,2021-05-10,6524.0,Flagpole Hardware
95,2021-05-11,4942.0,Flagpole Hardware
96,2021-05-12,4942.0,Flagpole Hardware
97,2021-05-13,4942.0,Flagpole Hardware
98,2021-05-14,4942.0,Flagpole Hardware
99,2021-05-15,4942.0,Flagpole Hardware
100,2021-05-16,4942.0,Flagpole Hardware
101,2021-05-17,4942.0,Flagpole Hardware
102,2021-05-18,4942.0,Flagpole Hardware
103,2021-05-19,4942.0,Flagpole Hardware
104,2021-05-20,4942.0,Flagpole Hardware
105,2021-05-21,4942.0,Flagpole Hardware
106,2021-05-22,6019.0,Flagpole Hardware
107,2021-05-23,3488.0,Flagpole Hardware
108,2021-05-24,3488.0,Flagpole Hardware
109,2021-05-25,4284.0,Flagpole Hardware
110,2021-05-26,3877.0,Flagpole Hardware
111,2021-05-27,3877.0,Flagpole Hardware
112,2021-05-28,5073.0,Flagpole Hardware
113,2021-05-29,9704.0,Flagpole Hardware
114,2021-05-30,9704.0,Flagpole Hardware
115,2021-05-31,20216.0,Flagpole Hardware
116,2021-06-01,20216.0,Flagpole Hardware
117,2021-06-02,20216.0,Flagpole Hardware
118,2021-06-03,20216.0,Flagpole Hardware
119,2021-06-04,20216.0,Flagpole Hardware
120,2021-06-05,13600.0,Flagpole Hardware
121,2021-06-06,13600.0,Flagpole Hardware
122,2021-06-07,7019.0,Flagpole Hardware
123,2021-06-08,7019.0,Flagpole Hardware
124,2021-06-09,7019.0,Flagpole Hardware
125,2021-06-10,7243.0,Flagpole Hardware
126,2021-06-11,5930.0,Flagpole Hardware
127,2021-06-12,5930.0,Flagpole Hardware
128,2021-06-13,5930.0,Flagpole Hardware
129,2021-06-14,5930.0,Flagpole Hardware
130,2021-06-15,4925.0,Flagpole Hardware
131,2021-06-16,4925.0,Flagpole Hardware
132,2021-06-17,4925.0,Flagpole Hardware
133,2021-06-18,4925.0,Flagpole Hardware
134,2021-06-19,5234.0,Flagpole Hardware
135,2021-06-20,5263.0,Flagpole Hardware
136,2021-06-21,5263.0,Flagpole Hardware
137,2021-06-22,5263.0,Flagpole Hardware
138,2021-06-23,3107.0,Flagpole Hardware
139,2021-06-24,3107.0,Flagpole Hardware
140,2021-06-25,2377.0,Flagpole Hardware
141,2021-06-26,2377.0,Flagpole Hardware
142,2021-06-27,2567.0,Flagpole Hardware
143,2021-06-28,2567.0,Flagpole Hardware
144,2021-06-29,3144.0,Flagpole Hardware
145,2021-06-30,3277.0,Flagpole Hardware
146,2021-07-01,3277.0,Flagpole Hardware
147,2021-07-02,3277.0,Flagpole Hardware
148,2021-07-03,4304.0,Flagpole Hardware
149,2021-07-04,4304.0,Flagpole Hardware
150,2021-07-05,3583.0,Flagpole Hardware
151,2021-07-06,3583.0,Flagpole Hardware
152,2021-07-07,4037.0,Flagpole Hardware
153,2021-07-08,3742.0,Flagpole Hardware
154,2021-07-09,4449.0,Flagpole Hardware
155,2021-07-10,4660.0,Flagpole Hardware
