,date,value,name_B082XRK3WP
0,2019-12-22,42638.0,Kitchen & Dining
1,2019-12-23,34103.0,Kitchen & Dining
2,2019-12-24,36033.0,Kitchen & Dining
3,2019-12-25,32598.0,Kitchen & Dining
4,2019-12-26,38985.0,Kitchen & Dining
5,2019-12-27,16901.0,Kitchen & Dining
6,2019-12-28,21309.0,Kitchen & Dining
7,2019-12-29,21309.0,Kitchen & Dining
8,2019-12-30,15101.0,Kitchen & Dining
9,2019-12-31,19416.0,Kitchen & Dining
10,2020-01-01,19416.0,Kitchen & Dining
11,2020-01-02,20427.0,Kitchen & Dining
12,2020-01-03,20427.0,Kitchen & Dining
13,2020-01-04,17229.0,Kitchen & Dining
14,2020-01-05,17229.0,Kitchen & Dining
15,2020-01-06,14930.0,Kitchen & Dining
16,2020-01-07,12414.0,Kitchen & Dining
17,2020-01-08,18314.0,Kitchen & Dining
18,2020-01-09,19079.0,Kitchen & Dining
19,2020-01-10,19058.0,Kitchen & Dining
20,2020-01-11,19058.0,Kitchen & Dining
21,2020-01-12,17652.0,Kitchen & Dining
22,2020-01-13,16666.0,Kitchen & Dining
23,2020-01-14,16666.0,Kitchen & Dining
24,2020-01-15,22955.0,Kitchen & Dining
25,2020-01-16,23872.0,Kitchen & Dining
26,2020-01-17,20526.0,Kitchen & Dining
27,2020-01-18,27119.0,Kitchen & Dining
28,2020-01-19,32559.0,Kitchen & Dining
29,2020-01-20,6438.0,Kitchen & Dining
30,2020-01-21,11797.0,Kitchen & Dining
31,2020-01-22,11797.0,Kitchen & Dining
32,2020-01-23,18056.0,Kitchen & Dining
33,2020-01-24,18624.0,Kitchen & Dining
34,2020-01-25,19961.0,Kitchen & Dining
35,2020-01-26,19961.0,Kitchen & Dining
36,2020-01-27,19961.0,Kitchen & Dining
37,2020-01-28,19961.0,Kitchen & Dining
38,2020-01-29,19961.0,Kitchen & Dining
39,2020-01-30,18239.0,Kitchen & Dining
40,2020-01-31,18239.0,Kitchen & Dining
41,2020-02-01,18239.0,Kitchen & Dining
42,2020-02-02,19240.0,Kitchen & Dining
43,2020-02-03,17817.0,Kitchen & Dining
44,2020-02-04,17817.0,Kitchen & Dining
45,2020-02-05,17817.0,Kitchen & Dining
46,2020-02-06,17817.0,Kitchen & Dining
47,2020-02-07,17817.0,Kitchen & Dining
48,2020-02-08,19419.0,Kitchen & Dining
49,2020-02-09,19419.0,Kitchen & Dining
50,2020-02-10,24910.0,Kitchen & Dining
51,2020-02-11,21493.0,Kitchen & Dining
52,2020-02-12,21490.0,Kitchen & Dining
53,2020-02-13,35191.0,Kitchen & Dining
54,2020-02-14,35191.0,Kitchen & Dining
55,2020-02-15,35191.0,Kitchen & Dining
56,2020-02-16,35191.0,Kitchen & Dining
57,2020-02-17,27200.0,Kitchen & Dining
58,2020-02-18,27200.0,Kitchen & Dining
59,2020-02-19,27200.0,Kitchen & Dining
60,2020-02-20,30519.0,Kitchen & Dining
61,2020-02-21,43591.0,Kitchen & Dining
62,2020-02-22,38139.0,Kitchen & Dining
63,2020-02-23,38139.0,Kitchen & Dining
64,2020-02-24,35541.0,Kitchen & Dining
65,2020-02-25,45070.0,Kitchen & Dining
66,2020-02-26,45070.0,Kitchen & Dining
67,2020-02-27,22413.0,Kitchen & Dining
68,2020-02-28,33567.0,Kitchen & Dining
69,2020-02-29,33567.0,Kitchen & Dining
70,2020-03-01,33567.0,Kitchen & Dining
71,2020-03-02,33567.0,Kitchen & Dining
72,2020-03-03,33567.0,Kitchen & Dining
73,2020-03-04,33567.0,Kitchen & Dining
74,2020-03-05,26219.0,Kitchen & Dining
75,2020-03-06,29700.0,Kitchen & Dining
76,2020-03-07,29700.0,Kitchen & Dining
77,2020-03-08,29700.0,Kitchen & Dining
78,2020-03-09,29700.0,Kitchen & Dining
79,2020-03-10,29700.0,Kitchen & Dining
80,2020-03-11,19922.0,Kitchen & Dining
81,2020-03-12,19922.0,Kitchen & Dining
82,2020-03-13,19922.0,Kitchen & Dining
83,2020-03-14,19922.0,Kitchen & Dining
84,2020-03-15,19922.0,Kitchen & Dining
85,2020-03-16,17632.0,Kitchen & Dining
86,2020-03-17,17632.0,Kitchen & Dining
87,2020-03-18,22679.0,Kitchen & Dining
88,2020-03-19,22679.0,Kitchen & Dining
89,2020-03-20,22679.0,Kitchen & Dining
90,2020-03-21,22679.0,Kitchen & Dining
