,date,value,name_B08XZHVHVL
0,2021-03-14,97849.0,Bath Rugs
1,2021-03-15,97849.0,Bath Rugs
2,2021-03-16,97849.0,Bath Rugs
3,2021-03-17,70485.0,Bath Rugs
4,2021-03-18,70485.0,Bath Rugs
5,2021-03-19,70485.0,Bath Rugs
6,2021-03-20,70485.0,Bath Rugs
7,2021-03-21,70485.0,Bath Rugs
8,2021-03-22,70485.0,Bath Rugs
9,2021-03-23,70485.0,Bath Rugs
10,2021-03-24,70485.0,Bath Rugs
11,2021-03-25,70485.0,Bath Rugs
12,2021-03-26,88568.0,Bath Rugs
13,2021-03-27,88568.0,Bath Rugs
14,2021-03-28,88568.0,Bath Rugs
15,2021-03-29,88568.0,Bath Rugs
16,2021-03-30,88568.0,Bath Rugs
17,2021-03-31,88568.0,Bath Rugs
18,2021-04-01,88568.0,Bath Rugs
19,2021-04-02,83225.0,Bath Rugs
20,2021-04-03,83225.0,Bath Rugs
21,2021-04-04,83225.0,Bath Rugs
22,2021-04-05,83225.0,Bath Rugs
23,2021-04-06,98764.0,Bath Rugs
24,2021-04-07,98764.0,Bath Rugs
25,2021-04-08,98764.0,Bath Rugs
26,2021-04-09,50497.0,Bath Rugs
27,2021-04-10,50497.0,Bath Rugs
28,2021-04-11,50497.0,Bath Rugs
29,2021-04-12,107413.0,Bath Rugs
30,2021-04-13,107413.0,Bath Rugs
31,2021-04-14,107413.0,Bath Rugs
32,2021-04-15,76058.0,Bath Rugs
33,2021-04-16,83377.0,Bath Rugs
34,2021-04-17,83377.0,Bath Rugs
35,2021-04-18,83377.0,Bath Rugs
36,2021-04-19,83377.0,Bath Rugs
37,2021-04-20,83377.0,Bath Rugs
38,2021-04-21,137738.0,Bath Rugs
39,2021-04-22,137738.0,Bath Rugs
40,2021-04-23,137738.0,Bath Rugs
41,2021-04-24,137738.0,Bath Rugs
42,2021-04-25,137738.0,Bath Rugs
43,2021-04-26,68619.0,Bath Rugs
44,2021-04-27,66989.0,Bath Rugs
45,2021-04-28,66989.0,Bath Rugs
46,2021-04-29,77011.0,Bath Rugs
47,2021-04-30,77011.0,Bath Rugs
48,2021-05-01,77011.0,Bath Rugs
49,2021-05-02,63772.0,Bath Rugs
50,2021-05-03,63772.0,Bath Rugs
51,2021-05-04,63772.0,Bath Rugs
52,2021-05-05,63772.0,Bath Rugs
53,2021-05-06,63772.0,Bath Rugs
54,2021-05-07,63772.0,Bath Rugs
55,2021-05-08,63772.0,Bath Rugs
56,2021-05-09,63772.0,Bath Rugs
57,2021-05-10,69703.0,Bath Rugs
58,2021-05-11,69703.0,Bath Rugs
59,2021-05-12,69703.0,Bath Rugs
60,2021-05-13,69703.0,Bath Rugs
61,2021-05-14,69703.0,Bath Rugs
62,2021-05-15,69703.0,Bath Rugs
63,2021-05-16,69703.0,Bath Rugs
64,2021-05-17,69703.0,Bath Rugs
65,2021-05-18,69703.0,Bath Rugs
66,2021-05-19,69703.0,Bath Rugs
67,2021-05-20,69703.0,Bath Rugs
68,2021-05-21,97047.0,Bath Rugs
69,2021-05-22,97047.0,Bath Rugs
70,2021-05-23,97047.0,Bath Rugs
71,2021-05-24,97047.0,Bath Rugs
72,2021-05-25,96457.0,Bath Rugs
73,2021-05-26,91278.0,Bath Rugs
74,2021-05-27,91278.0,Bath Rugs
75,2021-05-28,91278.0,Bath Rugs
76,2021-05-29,91278.0,Bath Rugs
77,2021-05-30,91278.0,Bath Rugs
78,2021-05-31,91278.0,Bath Rugs
79,2021-06-01,116643.0,Bath Rugs
80,2021-06-02,116713.0,Bath Rugs
81,2021-06-03,116713.0,Bath Rugs
82,2021-06-04,116713.0,Bath Rugs
83,2021-06-05,116713.0,Bath Rugs
84,2021-06-06,116713.0,Bath Rugs
85,2021-06-07,95169.0,Bath Rugs
86,2021-06-08,95169.0,Bath Rugs
87,2021-06-09,95169.0,Bath Rugs
88,2021-06-10,95169.0,Bath Rugs
89,2021-06-11,95169.0,Bath Rugs
90,2021-06-12,95169.0,Bath Rugs
91,2021-06-13,83141.0,Bath Rugs
92,2021-06-14,83141.0,Bath Rugs
93,2021-06-15,83141.0,Bath Rugs
94,2021-06-16,83141.0,Bath Rugs
95,2021-06-17,83141.0,Bath Rugs
96,2021-06-18,96904.0,Bath Rugs
97,2021-06-19,96904.0,Bath Rugs
98,2021-06-20,96904.0,Bath Rugs
99,2021-06-21,96904.0,Bath Rugs
100,2021-06-22,35859.0,Bath Rugs
101,2021-06-23,13046.0,Bath Rugs
102,2021-06-24,13046.0,Bath Rugs
103,2021-06-25,52688.0,Bath Rugs
104,2021-06-26,52688.0,Bath Rugs
105,2021-06-27,52688.0,Bath Rugs
106,2021-06-28,103390.0,Bath Rugs
107,2021-06-29,103390.0,Bath Rugs
108,2021-06-30,103390.0,Bath Rugs
109,2021-07-01,103390.0,Bath Rugs
110,2021-07-02,140518.0,Bath Rugs
111,2021-07-03,140518.0,Bath Rugs
112,2021-07-04,140518.0,Bath Rugs
113,2021-07-05,93125.0,Bath Rugs
114,2021-07-06,93125.0,Bath Rugs
115,2021-07-07,93125.0,Bath Rugs
116,2021-07-08,93125.0,Bath Rugs
117,2021-07-09,166394.0,Bath Rugs
