,date,value,name_B084JF7ZGG
139,2020-06-27,9203.0,Fitted Sheets
140,2020-06-28,8682.0,Fitted Sheets
141,2020-06-29,10442.0,Fitted Sheets
142,2020-06-30,10127.0,Fitted Sheets
143,2020-07-01,9594.0,Fitted Sheets
144,2020-07-02,10006.0,Fitted Sheets
145,2020-07-03,7867.0,Fitted Sheets
146,2020-07-04,7867.0,Fitted Sheets
147,2020-07-05,7867.0,Fitted Sheets
148,2020-07-06,8006.0,Fitted Sheets
149,2020-07-07,8006.0,Fitted Sheets
150,2020-07-08,5634.0,Fitted Sheets
151,2020-07-09,5068.0,Fitted Sheets
152,2020-07-10,4326.0,Fitted Sheets
153,2020-07-11,4556.0,Fitted Sheets
154,2020-07-12,4028.0,Fitted Sheets
155,2020-07-13,4028.0,Fitted Sheets
156,2020-07-14,3391.0,Fitted Sheets
157,2020-07-15,3391.0,Fitted Sheets
158,2020-07-16,2696.0,Fitted Sheets
159,2020-07-17,2724.0,Fitted Sheets
160,2020-07-18,2539.0,Fitted Sheets
161,2020-07-19,2097.0,Fitted Sheets
162,2020-07-20,2286.0,Fitted Sheets
163,2020-07-21,2317.0,Fitted Sheets
164,2020-07-22,2160.0,Fitted Sheets
165,2020-07-23,2247.0,Fitted Sheets
166,2020-07-24,2247.0,Fitted Sheets
167,2020-07-25,2359.0,Fitted Sheets
168,2020-07-26,2746.0,Fitted Sheets
169,2020-07-27,3034.0,Fitted Sheets
170,2020-07-28,3333.0,Fitted Sheets
171,2020-07-29,3058.0,Fitted Sheets
172,2020-07-30,2822.0,Fitted Sheets
173,2020-07-31,2653.0,Fitted Sheets
174,2020-08-01,2340.0,Fitted Sheets
175,2020-08-02,1633.0,Fitted Sheets
176,2020-08-03,1761.0,Fitted Sheets
177,2020-08-04,1706.0,Fitted Sheets
178,2020-08-05,1706.0,Fitted Sheets
179,2020-08-06,1437.0,Fitted Sheets
180,2020-08-07,1339.0,Fitted Sheets
181,2020-08-08,1339.0,Fitted Sheets
182,2020-08-09,1034.0,Fitted Sheets
183,2020-08-10,1034.0,Fitted Sheets
184,2020-08-11,775.0,Fitted Sheets
185,2020-08-12,687.0,Fitted Sheets
186,2020-08-13,682.0,Fitted Sheets
187,2020-08-14,601.0,Fitted Sheets
188,2020-08-15,648.0,Fitted Sheets
189,2020-08-16,507.0,Fitted Sheets
